"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"bidA",565.716,824.162,749.96,613.427,1413.33,1332.46,641.143,659.638,1540.25,1482.55,773.852,822.715,1932.64,1446.61,902.765,810.376,1523.07,1553.78,1550.61,1317.41
"mlc",890.172,1067.71,878.824,889.296,772.844,773.158,769.14,787.086,1591.47,1014.19,582.799,568.118,2146.33,1473.28,686.173,664.469,834.484,864.039,1146.76,991.957
"ynfL",690.032,678.87,794.79,636.551,521.92,642.625,643.01,647.414,618.305,609.651,603.2,545.879,441.953,492.289,590.129,607.527,507.621,541.724,797.164,699.757
"ynfM",647.501,667.545,817.131,844.219,532.586,701.84,700.684,769.661,663.833,625.095,877.106,864.013,550.064,610.35,873.288,924.263,523.722,552.104,1128.9,947.017
"asr",934.384,767.541,854.905,785.679,1052.65,1086.59,662.882,792.203,630.915,614.425,681.991,717.621,644.139,613.67,765.723,741.257,1069.54,1272.16,691.347,706.14
"mdtI",399.181,420.524,440.678,344.096,345.204,342.55,351.851,300.113,274.702,335.039,352.634,310.96,298.233,251.916,430.515,390.52,300.944,312.526,475.988,475.887
"mdtJ",601.275,624.775,606.263,469.589,645.35,700.502,473.838,591.307,501.663,506.167,504.794,481.401,293.7,362.399,615.91,588.674,391.843,367.645,759.338,786.858
"tqsA",380.945,457.27,459.254,389.34,528.055,604.395,415.526,443.287,381.72,369.08,354.441,335.25,372.419,329.19,403.026,339.298,362.139,306.151,465.798,460.331
"pntB",791.276,864.534,771.863,664.883,745.215,588.314,750.347,966.679,939.993,752.907,905.696,837.171,1687.73,1249.31,934.071,959.1,1759.87,1580.89,1252.37,1064.73
"pntA",714.192,745.946,800.169,784.364,667.502,827.252,863.214,732.158,965.497,908.636,792.606,792.211,1843.86,1816.4,885.766,785.547,1721.98,2054.65,1132.31,1047.97
"ydgH",1212.75,1497.6,720.063,744.563,1937.7,1843.94,660.861,784.407,1935.4,2008.29,828.346,854.374,2969.22,2751.63,808.293,850.718,1576.21,1728.6,963.77,921.256
"ydgI",1427.32,1578.62,389.551,379.196,1402.84,1207.52,508.478,447.63,500.083,478.79,425.887,336.034,315.885,378.147,379.356,365.828,313.834,327.377,313.504,403.511
"folM",1174.46,1166.35,535.281,424.211,1238.36,982.58,575.449,496.457,584.537,662.168,432.804,396.194,402.57,460.188,402.645,444.111,411.4,367.609,370.776,437.81
"ydgC",300.6,382.792,660.355,749.876,297.761,343.943,916.714,633.46,280.667,221.53,547.694,460.375,218.952,224.884,570.445,643.806,255.631,242.808,362.886,520.884
"rstA",940.869,995.225,763.936,987.917,1468.69,1475.06,946.836,965.815,1680.02,1801.44,1008.3,902.355,2455.62,2280.85,1046.16,962.589,1059.13,1076.92,958.46,954.542
"rstB",637.339,614.861,851.165,980.6,839.251,928.658,973.665,939.707,1138,1053.59,819.103,737.476,1551.57,1381.12,731.208,803.682,773.297,818.49,705.902,702.447
"tus",613.692,684.281,1421.38,1502.9,593.554,737.482,1431.65,1258.81,735.79,709.497,1119.92,1070.4,757.339,787.428,963.129,1294.79,604.557,707.674,801.519,811.876
"fumC",442.575,461.098,2674.42,3000.67,306.73,386.922,2668.38,1854.47,663.389,511.837,2059.31,2059.99,871.098,741.835,1589.1,1807.79,1226.64,1084.4,740.343,862.887
"fumA",1969.08,1909.43,2401.44,2605.45,1009.75,903.756,2166.59,1979.77,2202.08,1578.48,1835.21,2024.6,4104.64,3647.23,1295.1,1234.32,5173.38,5076.76,1352.17,1291.35
"manA",600.411,654.507,666.647,608.304,707.835,829.989,691.047,648.058,936.646,864.169,690.831,624.904,1327.09,1214.65,621.302,657.266,863.407,904.527,679.435,807.121
"ydgA",977.983,933.993,1055.43,1104.78,1166.71,1271.71,1095.49,1144.11,1492.79,1310.81,1064.77,1086.65,2090.49,1829.33,1144.98,1017.83,1163.97,1487.99,1046.52,934.576
"uidC",474.68,443.876,423.776,376.816,350.979,493.598,368.067,361.598,268.949,358.407,344.695,300.433,241.968,276.602,304.714,318.749,306.157,305.654,199.108,290.552
"uidB",359.028,376.741,355.955,329.21,276.898,362.124,276.679,274.138,310.86,324.564,267.205,256.279,198.899,266.962,192.227,191.572,248.078,276.968,198.181,259.496
"uidR",629.216,698.602,799.348,840.836,578.681,732.794,751.465,774.283,777.648,637.432,877.384,902.843,917.641,778.084,800.296,809.525,869.777,1054.21,833.487,853.231
"malI",772.704,799.516,918.932,964.578,571.074,674.967,697.948,766.2,780.965,690.733,647.957,641.603,895.202,908.94,604.208,580.072,628.297,631.015,733.256,684.252
"malX",755.491,636.201,822.167,769.497,518.495,558.371,666.337,779.514,854.699,799.855,595.325,569.753,990.225,934.986,521.111,555.008,612.25,595.61,607.161,623.78
"malY",363.855,529.36,465.209,473.169,345.882,458.18,523.253,490.102,569.268,487.883,492.441,525.69,698.379,637.556,373.362,415.79,447.704,522.5,335.199,418.515
"add",883.085,1055.32,992.535,1216.1,1687.52,1653.75,1156.55,1129.84,1140.47,1287.14,1213.05,1145.49,944.128,851.065,1168.01,1181.74,890.466,834.949,1186.21,1042.19
"ydgJ",719.873,667.019,598.441,671.742,620.721,646.149,608.01,640.742,676.651,671.896,657.448,575.194,680.05,676.947,622.19,591.371,592.974,711.457,587.586,543.099
"blr",860.966,844.837,958.441,1032.45,905.29,941.17,963.955,933.609,934.375,723.907,1058.34,1051.36,871.442,591.664,876.159,787.867,420.505,365.4,617.2,639.71
"cnu",863.435,966.789,1332.54,1480.58,837.371,761.858,1617.51,1321.6,647.548,702.573,1644.13,1500.2,657.828,506.845,1024.69,1100.72,446.109,381.965,505.909,632.57
"ydgK",880.252,1017.02,993.985,1140.32,1059.11,903.94,1299.35,1161.18,527.037,626.828,1469.24,1577.86,413.273,424.674,1087.77,1190.71,332.729,225.533,700.581,736.267
"rsxA",867.036,1054.64,1081.69,1048.12,1091.04,1014.46,1427.67,1224.36,644.585,690.925,1494.55,1658.65,333.937,465.307,1367.02,1356.96,294.974,244.73,700.196,770.968
"rsxB",1877.29,1674.42,1611.12,2000.78,1969.06,1664.66,2282.08,2182.48,1252.39,1195.18,2488.46,2979.36,774.782,812.341,2436.97,2221.61,456.427,383.202,1837.9,1877.59
"rsxC",1841.66,1658.93,1195.34,1497.8,2111.93,2194.57,1958.68,1672.61,1331.43,1442.38,1907.94,2016.91,847.91,971.757,1942.36,1888.4,476.654,528.692,1725.44,1336.92
"rsxD",950.518,1061.23,616.863,818.784,1506.36,1368.37,1094.04,1107.8,871.789,862.678,1263.21,1141.42,609.08,663.599,1238.36,1189.09,353.008,323.123,1006.62,1077.59
