"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"glaH",29.3789,24.2814,28.2344,32.9993,25.6231,36.4903,20.6661,17.9822,27.6556,14.926,20.8906,18.5794,29.5704,9.49444,28.7434,20.1775,29.7099,28.2341,27.2482,26.494
"lhgD",19.2706,29.8503,53.3429,13.4956,7.79361,33.5114,3.95948,2.78913,7.17056,4.13191,19.3028,2.59234,28.2315,26.7691,9.70913,25.0365,13.9137,50.7322,16.6392,34.4873
"gabD",4.98189,2.82648,7.78863,32.8411,2.47231,19.5151,3.00462,25.7373,4.06085,66.469,2.29192,1.40888,4.73112,2.65194,7.44884,2.66888,7.75794,2.1215,67.1391,59.5695
"gabT",4.43497,9.7128,5.61332,1.63248,6.17587,4.99745,3.22147,4.10863,4.64273,7.27485,5.45141,2.35912,6.1283,11.9428,5.57339,3.49574,13.3346,5.66225,1.88717,2.83639
"gabP",308.331,320.061,346.549,264.047,310.86,203.303,274.338,243.261,225.337,272.339,209.861,227.623,146.247,240.389,227.285,203.285,253.912,253.594,235.916,259.193
"glaR",427.608,357.673,430.508,342.06,365.929,392.541,376.553,384.752,328.47,402.109,344.48,316.458,236.059,393.865,328.395,374.086,412.362,448.016,427.927,340.811
"kbp",704.063,725.122,767.522,616.789,602.748,770.701,775.104,683.055,587.753,561.2,718.927,630.987,401.447,493.822,621.499,634.135,603.164,605.643,618.247,637.346
"yqaE",611.882,696.428,595.802,578.725,637.423,457.87,706.602,558.189,511.196,602.785,630.494,554.609,429.179,420.968,599.415,601.61,600.089,613.583,574.084,626.045
"ygaV",449.625,429.31,512.524,469.182,417.214,292.993,477.331,420.978,319.832,377.23,430.043,411.987,305.166,342.829,391.249,403.499,473.626,460.539,449.445,439.534
"ygaP",600.046,586.875,542.574,656.419,500.752,490.378,567.971,582.598,476.317,415.108,601.957,512.691,391.693,322.491,575.316,498.881,510.251,458.176,528.821,549.46
"stpA",622.504,683.576,803.674,816.051,979.138,546.892,902.642,856.361,458.29,419.9,1040.89,1023.76,291.525,377.106,862.718,804.81,307.162,323.655,690.468,699.583
"alaE",2617.14,2887.72,2470.82,3126.45,3197.84,3204.99,2501.84,2653.01,2540.83,2226.22,3208.12,3840.16,2974.7,2348.26,3050.45,3026.59,3351.2,3621.6,1893.26,2066.8
"ygaC",672.136,829.265,674.213,746.836,540.519,538.129,696.236,967.97,529.554,444.86,960.549,970.981,315.801,293.847,751.844,987.526,483.95,481.622,514.775,687.702
"ygaM",1.1268,5.96845,0.77419,0.786254,0.481937,7.38998,4.08527,7.94954,3.5517,1.48207,6.31513,0.328399,0.811218,1.31074,0.670069,0.926464,3.30946,6.84233,1.60667,4.41711
"nrdH",632.633,627.204,990.053,986.371,550.39,384.197,1187.72,907.445,468.15,534.266,988.936,948.127,318.755,409.13,595.855,630.427,618.757,489.712,472.927,657.573
"nrdI",414.73,392.17,661.14,620.166,316.953,355.825,820.107,601.843,352.56,341.989,578.695,545.79,243.399,323.513,358.82,380.193,335,284.138,263.999,437.327
"nrdE",469.069,437.036,656.955,591.61,450.825,481.537,719.464,531.917,424.835,364.92,570.238,489.584,308.34,366.167,401.874,426.899,533.998,470.226,396.14,462.454
"nrdF",306.895,363.197,355.825,310.556,236.544,181.802,373.558,285.344,203.573,278.267,229.491,193.688,139.605,193.642,203.869,219.603,270.557,216.377,190.4,297.554
"proV",528.885,505.236,484.727,471.965,498.011,504.205,472.474,537.016,469.254,482.743,489.161,474.813,321.221,429.948,474.807,577.529,437.145,560.337,562.044,539.744
"proW",272.884,287.44,320.864,247.373,273.492,302.459,274.94,319.994,236.092,248.586,301.55,268.961,169.43,234.942,315.754,284.555,294.179,348.765,272.293,316.906
"proX",478.755,436.953,451.98,418.837,436.185,444.918,487.843,415.294,415.192,444.626,397.526,351.732,254.961,289.825,427.118,358.984,483.217,454.468,572.365,441.538
"ygaY",525.876,585.827,625.072,563.065,432.801,552.504,668.691,773.222,445.254,446.604,793.174,651.503,323.051,372.729,902.531,912.981,471.346,514.515,886.226,863.835
"ygaZ",486.016,513.285,834.264,745.38,521.131,535.551,807.611,756.919,562.769,569.275,810.161,779.171,495.776,507.016,1019.51,939.537,623.26,659.103,1033.45,989.974
"ygaH",302.145,340.597,566.903,486.655,381.903,332.232,538.642,543.484,411.635,363.525,505.923,461.248,371.31,314.503,700.771,639.63,342.264,376.468,670.25,623.296
"mprA",768.857,713.794,1908.34,2551.47,840.026,933.552,2279.25,2048.48,975.916,951.091,2739.81,3164.03,1104.5,1009.56,3329.63,3124.07,893.181,974.891,3063.12,2504.31
"emrA",522.312,527.679,1650.44,1787.13,593.987,599.764,2129.12,1940.11,483.582,485.433,2435.29,2731.21,288.903,375.632,2959.09,3180.22,504.741,502.94,2813.38,2736.74
"emrB",346.157,339.295,740.166,721.568,356.492,325.385,966.501,978.802,308.855,393.371,1307.55,1195.41,196.223,267.084,1740.58,1747.3,307.834,348.051,1768.91,1607.16
"luxS",997.012,987.751,1034.39,1057.25,1155.02,1366.14,1220.34,1262.66,1135.63,1185.89,1388.89,1541.59,1339.6,1492.89,1390.35,1461.44,1747.74,1920.12,1402.38,1466.77
"micA",279.983,382.71,444.905,335.873,301.641,360.024,401.475,493.431,324.873,332.721,586.016,547.214,295.017,222.384,842.72,877.347,351.45,328.252,1490.93,983.214
"gshA",18.1831,19.2342,65.7067,60.7798,10.311,8.9299,6.82097,32.2569,37.3132,3.7482,21.8865,5.81975,35.0684,14.1026,11.7648,34.9913,29.3699,22.9112,31.6634,24.9508
"yqaA",854.751,762.273,817.212,877.264,1053.08,887.297,1012.49,1006.44,791.665,855.08,982.087,940.801,828.672,702.526,1024.89,1076.48,712.655,514.846,769.06,755.738
"yqaB",542.384,517.654,611.293,514.454,766.499,799.172,551.569,484.704,592.222,590.147,511.326,519.448,566.96,612.563,395.577,487.729,476.488,514.256,355.018,440.433
"csrA",1585.85,1687.02,1494.6,1766.51,2152.63,2047.99,1572.6,1541.49,2251.17,1906.66,1502.65,1887.3,3197.48,2696.57,1672.88,1720,2529.71,2413.73,1551.23,1517.47
"alaS",1984.59,2251.1,1427.33,1628.24,2711.36,3004.62,1666.64,1809.32,3183.57,2993.73,1851.76,2028.58,3860.05,3653.32,2044.1,1932.86,2245.11,2208.62,2086.88,1879.67
"recX",650.387,643.01,670.28,693.661,606.772,640.865,846.382,946.893,506.353,535.578,953.984,898.214,316.93,421.363,942.174,907.973,390.747,333.902,678.611,672.799
"recA",1524.58,1645.46,1412.78,2159.4,2188.31,2036.39,1963.18,1940.1,1952.6,1958.61,2071.49,2421.67,2179.69,2124.31,1985.03,1875.96,2118.85,2506.13,2070.58,1891.52
"pncC",747.41,861.954,760.402,689.204,811.716,756.638,762.495,745.213,1028.39,1069.34,859.76,849.461,874.753,891.148,775.052,851.687,824.061,743.185,809.79,912.281
"mltB",4.77599,4.83674,2.42485,1.92285,2.20144,32.0733,5.75946,38.9727,7.88361,2.30667,19.2935,20.7193,9.59541,8.36868,36.0209,40.4375,6.33687,7.78436,80.2516,43.2537
"srlA",363.915,451.642,354.74,298.585,318.855,206.321,296.296,305.263,309.953,304.389,336.871,276.11,258.209,176.358,273.909,295.175,414.013,314.58,255.032,330.184
"srlB",357.955,340.935,297.371,303.658,344.922,254.734,280.271,262.873,323.265,285.137,268.676,246.011,236.535,327.324,200.375,216.429,345.199,314.548,260.104,242.911
"srlD",389.786,436.799,380.273,412.178,354.135,553.479,366.012,370.443,376.388,380.431,396.328,367.561,269.646,406.095,296.781,308.484,436.693,464.275,292.519,420.775
"gutM",464.189,451.253,423.573,352.493,403.912,417.006,402.273,413.194,448.596,403.527,406.782,325.135,296.41,313.017,323.935,351.099,412.617,391.303,324.047,386.253
"srlR",1.62692,1.63673,1.47907,1.06805,2.25219,11.574,4.27605,10.6529,6.47538,7.63755,6.17383,6.37908,1.41824,23.6658,22.746,8.98884,4.23539,17.1942,3.87975,3.08827
"gutQ",490.467,402.968,556.411,442.127,409.86,454.517,551.74,680.592,517.275,549.176,631.342,540.871,582.986,496.225,407.794,421.648,574.688,680.725,564.263,488.948
"norR",486.588,634.02,671.835,602.744,536.055,496.577,938.686,910.262,426.885,494.935,1233.18,985.126,309.73,291.119,591.2,557.914,576.506,629.264,569.743,644.199
"norV",3.09817,60.9095,34.4638,31.1215,55.1989,33.0767,15.284,19.2699,55.9282,18.4704,39.2368,22.369,4.96228,2.50924,38.1113,22.7282,52.1212,31.2362,60.2844,34.9036
"norW",819.158,742.493,703.081,565.572,599.312,751.779,710.395,572.675,617.719,643.629,533.512,532.838,386.378,515.002,441.975,440.073,688.741,574.267,433.839,551.657
"hypF",621.818,788.211,672.694,598.372,655.377,784.679,630.329,612.9,995.836,888.127,608.368,602.637,957.637,1037.45,586.495,564.348,726.763,984.517,500.286,622.517
"hydN",632.872,741.261,630.68,483.474,825.131,820.278,524.428,451.493,1990.29,1783.07,480.628,419.565,2404.87,2487.78,393.4,435.741,1576.89,1384.63,435.15,474.635
"ascG",696.827,666.684,714.987,666.009,685.647,678.521,635.094,633.764,740.465,645.291,589.573,535.726,758.697,686.683,510.557,572.632,741.427,897.193,716.633,698.485
"ascF",560.198,560.675,598.552,516.035,482.64,602.467,590.654,511.902,484.281,548.482,500.119,442.553,468.791,472.03,446.353,424.592,524.736,500.325,444.113,502.834
"ascB",20.7726,4.51824,22.8506,11.0307,2.86806,5.26132,21.4404,16.7167,46.2601,20.9196,17.4684,10.937,10.4695,4.12706,8.99607,7.92258,12.0333,4.42189,7.98972,17.5998
"hycH",721.066,638.646,610.922,608.434,819.933,761.066,598.042,636.396,1650.02,1520.12,547.538,482.596,2518.84,2061.79,520.897,531.115,2333.93,2710.24,626.907,592.02
"hycG",414.067,409.281,408.639,371.628,571.679,782.384,378.485,421.56,1419.87,1308.87,366.804,293.629,2142.43,1900.11,329.112,260.897,1446.28,1978.01,318.893,331.937
"hycF",541.398,644.303,531.521,467.659,758.412,982.862,544.127,471.372,1848.05,1687.43,479.076,441.332,2304.94,2183.79,448.742,439.039,1803.92,2273.08,469.596,496.22
"hycE",630.255,661.927,631.991,499.589,920.144,1161.16,575.253,521.164,1849.25,1884.84,510.476,461.548,2739.5,2495.72,465.82,470.227,2060.38,2184.6,493.813,537.111
"hycD",514.138,535.163,509.879,411.615,668.513,752.046,514.28,455.036,1305.28,1200.94,473.526,384.661,1874.14,1695.06,407.935,413.563,1437.16,1275.73,474.483,479.535
"hycC",619.46,658.22,525.286,435.698,712.12,848.645,447.85,536.521,1409.02,1243.89,448.294,391.149,1570.04,1485.33,410.848,398.572,1140.02,1157.62,472.385,473.106
"hycB",2.53181,3.18121,1.82949,25.2569,2.83612,7.23052,2.54699,13.1964,5.41878,3.06289,5.02397,1.4544,3.43996,2.53601,2.22631,3.53446,2.63244,5.69914,3.82112,2.03444
"hycA",722.668,874.055,600.129,491.759,1094.37,1586.26,563.774,505.509,1973.4,2019.07,477.216,438.296,2673.65,2518.45,370.943,387.51,1957.92,2129.11,394.567,484.572
"hypA",778.032,790.351,641.415,588.37,1013.18,1226.89,583.359,604.533,1952.72,1760.24,507.619,536.043,2476.47,2303.83,502.473,507.083,1803.65,2174.47,743.651,799.624
"hypB",908.124,1021.54,828.973,733.098,1241.63,1612.99,699.599,716.7,2562.75,2220.35,707.609,730.73,3183.32,2892.72,738.259,730.798,2696.64,2868.28,1345.24,1123.3
"hypC",566.476,647.335,559.515,458.202,847.671,1028.16,517.604,533.118,2021.04,1739.87,453.863,450.384,2262.48,1951.13,513.438,450.29,1676.74,1894.95,756.885,786.34
"hypD",442.562,528.341,432.507,398.4,588.428,886.361,420.243,474.313,1464.3,1237.92,407.121,401.315,1837.44,1504.71,459.517,458.399,1256.92,1449.43,651.394,650.513
"hypE",1.42133,1.0534,14.7338,2.99838,1.35045,18.4312,7.73873,7.02879,1.61662,16.5511,0.580185,0.588464,1.26849,2.2988,1.43389,6.39112,1.00912,0.811231,2.0225,8.54766
"fhlA",916.026,876.144,800.524,630.509,892.388,941.235,746.384,704.226,1218.9,1095.86,672.411,690.967,959.762,799.473,732.739,831.878,828.704,793.493,1092.56,903.465
"ygbA",368.635,424.171,388.692,361.163,386.441,373.089,392.145,408.277,328.702,347.603,341.419,355.375,198.162,290.744,338.405,280.785,373.666,498.281,315.69,282.47
"mutS",30.2787,6.88157,47.5223,18.5459,55.386,11.7224,13.5776,14.5503,12.6895,69.4587,10.5484,31.7576,7.67156,6.10138,42.6005,7.2852,43.5108,38.1343,12.0343,49.9439
"pphB",1.2065,14.6105,17.6725,2.2055,0.846733,3.2446,1.34558,8.5821,3.46473,9.55767,0.959351,0.910058,2.20973,1.92074,7.80699,2.04186,2.21001,5.88539,19.5592,6.50148
"ygbI",42.8546,24.8262,44.5375,34.2274,44.2905,17.7144,42.7124,20.431,8.58515,52.6275,59.4228,41.2213,47.5923,26.307,67.9759,43.065,29.908,31.3022,62.5513,48.1905
"ygbJ",9.25562,7.21788,12.0034,1.84784,2.65673,3.49696,1.60183,1.34885,17.542,4.20715,1.46993,1.16401,5.37184,9.64795,28.2307,2.65798,44.8243,9.608,2.76547,1.94309
"ygbK",38.8832,14.3392,28.9488,1.89015,23.2317,32.855,22.8855,29.203,12.066,40.6595,15.4906,22.0401,20.8825,4.25848,10.8624,33.8577,31.8353,46.1004,60.6189,7.73301
"ygbL",23.1138,39.7566,33.8185,19.5862,63.7191,38.5084,71.0321,56.8431,38.8043,29.8989,40.5873,21.7465,20.3131,33.4601,46.2229,49.7727,75.7798,53.7571,61.0374,23.5299
"ygbM",14.8709,29.6492,22.9283,35.7804,19.3079,34.6533,28.3307,29.0524,2.55516,51.829,32.4318,3.12599,66.8195,29.6722,30.2362,45.4792,79.7235,17.754,34.7179,18.2034
"ygbN",17.7554,1.64888,28.9995,23.5426,35.5552,33.7839,24.0437,24.8384,23.583,37.5451,32.3304,4.37643,28.894,5.50481,33.4955,9.59924,22.0146,28.3076,39.6166,50.3522
"rpoS",1657.18,1655.26,2794.18,3225.41,1002.19,968.198,2733.45,2616,1151.88,1003.58,3011.4,3665.13,1711.28,1309.25,2943.36,3300.05,3419.46,3911.68,3294.28,2982.58
"nlpD",2658.13,2391.65,3006.87,3665.41,2548.89,2576.7,3135.19,2710.83,2392.02,2414.14,3074.31,3593.86,3306.63,2914.42,3557.68,3670.06,3722.17,5184.53,3820.63,3437.44
"pcm",789.362,725.38,822.926,1062.97,840.843,918.458,1061.31,1009.39,1094.57,982.991,1093.11,1101.91,1199.79,1085.75,1210.15,1200.87,900.333,1140.79,1366.03,1267.48
"umpG",802.325,848.3,951.879,975.468,991.156,969.525,1179.89,1105.92,1210.59,1179.57,1192.32,1217.45,1395.56,1129.25,1510.03,1363.61,1068.97,938.407,1680.77,1590.85
"truD",1064.29,1047.31,1134.94,1130.85,1219.88,1319.12,1299.81,1346.43,1223.6,1408.28,1447.13,1402.85,1170.48,1174.38,1659.43,1658.03,1042.24,1028.99,1781.58,1667.69
"ispF",698.357,744.438,851.714,780.062,926.972,860.551,1025.54,869.125,1021.85,996.121,1242.43,1132.32,939.917,806.087,1309.94,1343.72,718.645,723.389,1488.73,1456.03
"ispD",608.806,670.653,727.033,750.443,801.131,899.212,922.27,848.502,868.731,792.731,1010.32,935.615,741.975,668.886,1108.01,1138.81,549.278,599.924,1158.25,1085.43
"ftsB",1086.62,1033.2,1090.78,1371.57,1424.06,1159.9,1275.54,1260.1,1401.54,1541.23,1485.47,1732.81,1553.13,1614.14,1728.16,1645.7,867.637,922.547,1598.32,1526.14
"ygbE",886.461,873.31,796.965,838.616,1094.1,1065.42,879.126,875.439,810.583,795.973,931.542,858.912,758.197,719.935,968.177,937.724,809.424,781.24,984.901,946.862
"cysC",267.553,349.946,324.876,289.86,532.362,570.58,355.09,385.941,262.73,257.103,322.419,293.659,190.963,261.27,285.155,323.12,317.501,306.817,284.121,297.002
"cysN",7.17818,5.39012,8.65645,16.6087,30.8815,19.7813,11.492,18.8945,39.8779,8.87015,5.93528,4.83528,3.32774,11.5991,11.9874,19.1841,26.4021,7.02841,12.5069,5.35399
"cysD",2.9152,2.8048,3.1381,26.2038,3.56035,4.23525,1.11133,1.04181,3.85363,3.32439,1.33526,1.10457,2.11686,2.23605,1.07177,1.42415,5.2066,5.64511,3.1045,1.47354
"iap",77.5087,87.1463,113.926,9.55149,102.103,42.0689,115.281,27.7726,84.2168,107.002,97.8473,18.8093,64.285,49.4008,25.2532,71.1014,73.1994,84.9281,104.142,50.9579
"cas2",0.760736,1.0658,5.38953,1.11273,3.12815,3.96027,1.38344,5.36816,2.66858,5.11564,1.81132,0.589407,9.97152,2.10638,1.09159,2.32211,4.00197,35.4952,2.22854,1.02252
"cas1",5.79194,5.81782,2.76975,2.53215,10.5931,1.58441,2.67941,13.8914,46.2534,5.38314,8.49232,1.3565,4.36955,4.47986,8.31165,8.33473,22.6817,2.18782,14.8772,17.8853
"casE",2.59673,3.10606,7.22984,0.583256,1.31573,8.74002,3.86958,5.99339,28.311,0.722972,9.49679,7.60007,2.6645,2.21987,3.22524,3.96327,3.76842,19.8547,2.68856,1.95912
"casD",1.61752,4.00253,1.40792,3.40779,24.6124,1.90249,1.92186,1.107,25.2124,1.42744,1.09328,8.4624,1.89285,2.79365,1.76135,1.08836,24.6776,19.4343,3.65546,6.08125
"casC",4.92306,15.7004,5.3182,10.7987,6.91975,1.65889,21.1665,5.21788,14.9767,27.9329,22.0651,11.354,3.59768,20.4775,21.6506,13.8887,39.2698,32.1833,23.0766,3.54463
"casB",36.1124,12.2749,5.84858,1.33865,20.5162,3.77236,12.442,1.25187,1.82708,12.7192,2.78977,6.21668,20.9686,27.5583,2.79443,2.73861,3.45194,31.5481,24.3002,1.32966
"casA",16.3765,27.8172,28.6552,46.1222,10.201,3.5623,18.2245,11.0589,4.6623,14.7562,20.3446,10.7972,4.64213,24.5281,20.9456,17.7595,18.9805,26.4271,3.07091,15.0849
"cas3",4.43668,13.3704,1.87089,5.7094,45.3015,3.83125,2.46814,2.03672,4.84888,28.4476,2.8894,2.20241,18.3911,2.12363,2.67911,8.07583,2.07221,12.7775,20.3381,1.51927
"cysH",12.7563,2.03638,13.5813,18.7679,1.53109,2.49994,7.44975,5.99608,36.0782,2.76008,9.27653,1.69113,41.4248,20.7453,1.95172,9.7414,0.464617,0.44826,31.3359,20.649
"cysI",637.817,694.98,545.605,543.54,1485.76,1842.55,548.349,521.37,528.87,561.553,526.096,475.164,374.659,453.484,501.074,525.122,551.743,699.45,559.438,571.509
"cysJ",417.735,504.299,372.961,433.092,2037.31,2564.96,383.068,387.617,359.38,426.047,556.563,355.976,245.534,317.58,425.118,468.978,381.222,397.556,392.532,495.695
"queD",1558.47,1615.32,734.069,691.291,2035.02,1613.12,774.879,760.518,1322.37,1470.38,851.868,797.892,890.956,910.353,874.6,861.479,706.274,672.611,714.232,774.249
"ygcN",335.475,468.308,542.683,351.716,472.553,404.104,429.142,409.549,641.098,563.087,403.434,330.141,595.875,551.086,333.257,359.681,519.953,584.553,402.107,424.891
"ygcO",319.26,269.169,412.92,341.159,260.336,307.074,347.354,346.781,551.831,395.665,294.336,263.308,460.799,463.537,238.543,254.648,398.88,373.113,212.91,253.583
"ygcP",710.743,681.409,966.078,723.66,560.24,490.493,784.445,606.061,959.878,739.341,547.649,519.44,677.796,846.061,469.148,502.15,720.937,695.208,420.374,491.207
"ygcR",561.851,610.249,537.564,493.528,461.761,515.491,523.577,465.561,521.563,564.279,390.442,410.153,383.544,474.85,368.026,363.019,539.132,534.672,287.26,435.861
"ygcS",287.318,322.935,294.498,284.042,312.707,215.778,263.542,232.223,249.787,292.674,238.597,232.982,227.806,203.037,220.9,199.472,278.312,180.218,161.314,239.107
"ygcW",553.548,554.271,390.916,304.934,383.418,347.778,334.305,340.563,398.442,371.56,293.161,254.014,377.298,353.709,288.653,329.591,429.535,405.161,262.993,292.127
"yqcE",619.122,611.798,566.429,475.066,507.99,450.801,430.699,409.334,519.018,521.244,411.956,363.214,402.956,435.415,385.785,346.789,632.509,574.865,357.717,415.761
"ygcE",607.116,690.382,579.381,502.907,525.89,554.207,519.813,567.858,583.739,603.952,477.646,416.776,567.427,618.163,481.546,440.422,848.27,887.268,474.552,465.912
"queE",779.887,847.631,634.677,735.927,867.71,992.431,621.654,694.375,701.249,804.419,745.522,687.39,587.682,663.381,655.754,636.171,722.461,814.005,680.783,640.168
"ygcG",2.33101,12.1739,22.9196,2.01442,10.6686,1.73192,7.82391,8.83927,51.3131,9.57271,18.8587,1.30138,26.5717,21.13,2.72893,14.4297,28.6451,41.2558,10.4575,8.67791
"eno",2631.96,2978.38,2178.25,2700.21,4323,4095.56,2882.28,2838.62,5401.48,5210.23,2930.61,3289.62,7321.24,6342.2,3319.96,3237.65,4279.68,4912.21,3958.48,3804.35
"pyrG",2865.15,2613.15,2578.7,3640.22,3724.21,3649.86,3132.49,2706.83,4131.14,4046.71,2960.5,3348.89,3526.69,3483.66,3408.17,3490.21,1651.28,1846.95,3525.29,2971.11
"mazG",883.297,786.053,1207.33,1350.78,810.461,788.963,1101.97,1178.7,982.409,878.546,1109.33,1189.34,1158.19,1027.83,1353.8,1252.84,947.735,1181.7,1559.57,1344.09
"mazF",952.862,835.382,1423.76,1769.58,954.032,963.063,1292.95,1571.94,1187.94,972.408,1429.88,1450.47,1582.48,1276.89,1607.4,1580.53,1289.91,1765.56,1837.62,1658.87
"mazE",930.755,913.053,1645.3,1534.52,864.786,975.258,1379.38,1747.18,1407.04,938.863,1545.71,1483.23,1842.03,1244.26,1967.25,1861.96,1630.24,1462.63,2329.18,1851.18
"relA",13.1606,15.6939,23.8704,33.5021,6.16122,23.5242,19.3959,16.4605,2.71857,18.2599,13.745,22.7919,5.0727,26.473,27.8867,5.27685,20.4666,10.3108,25.408,33.2032
"rlmD",872.852,821.5,982.282,961.335,859.182,823.783,835.122,984.617,1292.6,1290.59,857.228,842.346,1499.96,1432.89,904.536,886.696,1221.65,1411.94,1013.53,885.701
"barA",746.757,856.456,848.127,751.879,840.171,809.2,681.26,671.546,805.518,886.904,626.569,588.031,659.248,731.96,621.869,568.243,806.126,812.923,568.392,634.102
"gudX",439.316,507.604,538.277,456.431,470.895,508.166,539.677,494.631,437.021,443.306,490.168,399.289,445.918,346.267,551.675,491.978,638.334,514.175,529.846,548.964
"gudP",512.075,542.474,500.866,444.728,425.478,367.599,426.546,447.624,362.326,402.894,363.529,339.535,255.866,298.792,332.823,324.825,455.425,465.572,291.383,383.045
"yqcA",26.1332,36.9188,38.6126,39.9129,14.4811,29.8997,2.71188,6.21187,28.3746,13.0205,20.4051,14.1746,9.10301,39.1272,12.8024,31.5806,3.35583,8.30661,7.65299,11.7905
"truC",950.032,884.931,706.307,727.07,935.506,974.481,569.757,594.008,610.88,649.931,515.815,467.292,427.792,470.593,350.339,403.085,474.69,475.242,359.245,401.835
"yqcC",1411.14,1227.1,890.712,1031.7,1591.36,1775.25,778.887,735.698,793.214,885.201,637.629,645.832,540.877,650.318,482.561,514.996,582.403,606.711,366.451,473.988
"csrB",6500.63,5924.79,6014.14,7942.59,8241.34,7678.88,5383.42,4875.62,8846.65,8410.32,5050.96,6681.83,10178.1,8555.2,6521.62,6214.73,11535.6,11398.3,7181.33,6064.99
"syd",736.503,744.46,647.542,543.306,849.498,467.44,609.857,447.618,617.866,623.263,609.008,619.156,550.223,561.212,696.567,692.59,604.384,542.824,632.923,695.058
"queF",1039.96,951.034,934.987,861.279,1222.94,1244.29,792.306,919.895,1039.43,1030.48,1028.91,925.44,908,1052.16,925.737,916.696,815.093,990.502,877.831,917.903
"ppnN",950.224,788.766,1097.49,1200.51,803.459,953.753,932.177,1063.3,1820.05,1545.67,890.165,793.259,3038.39,2349.66,1002.25,926.841,2603.61,3259.03,1201.85,1035.86
"sdaC",1727.89,1809.92,870.024,827.216,1978.6,1853.13,1068.78,914.202,2454.57,2668.98,947.121,889.828,1596.78,1874.2,751.818,608.4,805.175,909,949.963,879.695
"sdaB",1727.15,1755.07,840.628,828.033,1680.14,1910.96,981.956,862.491,2104.62,2483.28,855.714,728.648,1341.96,1470.81,773.685,604.038,783.764,865.687,978.547,900.105
"ygdG",826.455,610.906,669.493,603.905,706.828,734.975,671.047,666.534,732.056,648.853,585.115,488.434,550.737,675.44,521.772,469.006,707.169,758.816,490.212,492.643
"fucO",620.671,612.061,753.979,592.153,470.884,461.72,627.615,590.229,675.118,578.207,528.098,444.094,1648.19,1196.29,432.111,414.108,3680.34,3229.91,446.395,541.013
"fucA",715.709,716.408,707.18,633.841,453.555,489.033,669.805,532.737,744.12,675.656,524.987,484.09,1012.57,882.424,430.003,421.328,1111.21,1279.58,455.006,519.156
"fucP",742.574,650.665,1006.82,894.58,598.876,652.976,793.007,811.188,765.63,749.863,640.438,559.049,604.536,629.756,477.073,520.1,840.517,747.036,519.197,560.299
"fucI",755.201,651.358,979.662,893.672,560.409,488.671,867.293,748.735,714.663,577.405,609.557,590.533,640.766,739.795,492.453,459.764,895.793,659.673,537.055,568.344
"fucK",650.625,639.187,974.314,949.206,462.027,556.498,980.114,792.345,621.465,636.493,725.94,667.138,689.963,750.715,438.294,506.1,734.329,720.504,416.56,504.409
"fucU",504.023,466.207,572.655,623.136,386.713,352.95,580.183,635.192,395.85,408.954,486.695,503.635,489.565,600.083,425.942,393.032,629.68,738.157,445.814,449.798
"fucR",641.385,637.394,690.326,702.132,603.145,573.15,735.107,647.191,1017.16,990.862,554.671,575.459,1371,1416.14,519.507,526.737,1596.25,1997.48,522.892,536.912
"rlmM",622.458,680.939,529.449,541.839,755.65,777.774,569.951,525.647,531.397,556.873,579.295,601.732,483.578,522.207,545.233,582.088,698.748,769.928,674.517,673.394
"ygdD",717.927,776.805,537.174,497.011,939.908,888.393,470.034,524.733,564.155,555.893,609.784,631.472,447.584,408.542,661.383,682.14,626.088,716.764,552.599,744.934
"gcvA",576.812,567.088,499.075,532.066,553.208,643.678,478.514,483.906,449.875,437.88,525.998,489.713,384.064,406.909,558.286,516.078,449.961,624.228,654.316,605.929
"gcvB",4390.18,5003.08,3450.32,4541.1,7157,7550.52,3688.22,3162.8,7042.22,6815.78,3841.91,5588.38,7934.72,7807.23,5447.98,5165.02,7810,8578.01,5617.18,5142.6
"ygdI",717.078,673.245,638.384,618.837,587.797,639.39,561.102,669.43,500.744,524.586,585.726,560.849,360.981,428.995,591.726,574.469,616.968,477.86,525.155,562.748
"csdA",1750.11,1895.3,2475.35,3163.2,1997.4,2079.95,3084.81,3053.35,1256.87,1320.41,3030.46,3118.34,851.279,1013.27,2859.65,2769.83,1030.03,983.726,2212.84,1985.8
"csdE",1265.59,1083.64,1416.77,1632.86,1152.41,1389.87,2160.04,2234.96,850.073,824.828,2064.27,1831.39,567.847,497.995,2170.62,2116.58,852.838,612.843,1525.88,1406.85
"tcdA",957.332,1093.38,858.519,938.238,1163.15,1099.01,1037.34,1067.47,756.507,910.838,1226.55,1331.01,654.335,759.041,1165.05,1088.86,776.855,777.39,1079.91,913.409
"mltA",2.77679,6.43403,2.67491,1.53884,13.3947,0.678669,3.64278,11.7619,4.21279,2.71257,4.41912,7.99524,14.5441,4.30582,13.9245,4.91432,17.7765,27.3637,1.76535,2.10891
"argA",843.962,763.382,590.379,503.437,483.384,594.125,568.333,576.879,375.201,422.549,466.56,517.876,342.477,389.652,445.004,435.471,514.162,495.161,511.099,590.271
"recD",18.353,14.7748,3.0046,5.07959,4.88035,7.13462,1.67381,20.081,6.10915,8.19687,2.04491,0.669147,3.13726,22.3064,2.64148,0.779939,16.0312,16.6405,13.7981,5.70265
