"","0","0 | 1","36000","36000 | 1","126000","126000 | 1"
"map",4732.9792,5279.7307,3561.8155,3885.5681,6907.6863,7392.8008
"rpsB",47699.25285,49271.79845,39036.82855,37481.5062,31115.6834,32692.67385
"tsf",25820.5117,27118.8091,15633.27865,17154.5042,12535.0762,13038.0106
"pyrH",7358.42285,8029.2228,5070.27025,4997.6554,2275.58545,2773.47575
"frr",2942.21465,2781.06995,1186.0385,1049.9824,2277.39555,1818.8276
"dxr",1374.00085,1448.4806,596.42685,485.88085,1065.4322,967.03805
"ispU",8291.13415,7798.49795,6349.932,5674.1083,5316.9187,5267.98305
"cdsA",5455.98205,5059.2284,3327.4541,3298.71015,3418.9603,3490.0997
"rseP",3844.30045,4084.2701,3788.5548,3594.563,2557.1228,2953.3256
"bamA",8347.92595,8628.64675,4968.5222,5150.2367,5298.3599,4430.3856
"skp",4132.927,3948.49995,2564.08325,2375.1661,2972.3379,3067.9012
"lpxD",4400.0057,4330.02005,2708.5427,2736.6768,3894.20335,3521.64735
"fabZ",8794.18985,9192.35715,7407.09215,7475.07485,7291.2813,6753.4981
"lpxA",3629.19145,3770.7402,4335.10575,3911.6404,3553.001,3463.8779
"lpxB",1461.77685,1221.3956,2104.5653,1827.20895,2519.0425,2430.91945
"rnhB",2734.00005,2767.01375,1464.86215,1498.38485,2871.93035,2859.08655
"dnaE",2886.22685,3227.9052,1301.11535,1478.2821,2466.6886,2631.93395
"accA",4568.1322,5134.18805,2136.6165,2040.7845,3895.243,3794.21845
"ldcC",254.95155,282.57575,653.28785,465.17505,2056.0568,1443.0403
"yaeR",147.8465,164.8127,190.4302,162.68855,708.6821,570.2315
"tilS",136.1835,149.5014,105.86565,90.7107,306.6492,223.89865
"rof",96.6189,153.2178,493.7181,364.6413,206.49235,197.0619
"yaeQ",5327.97075,5410.40565,3940.7463,4014.4003,3465.0216,3675.4169
"arfB",1616.00855,1633.0609,1685.8081,1573.76385,1359.65645,1225.6058
"nlpE",672.3408,898.85595,2063.00295,1959.58935,904.8346,1109.9018
"yaeF",160.2256,167.21155,217.91415,194.7508,73.6938,93.66225
"proS",2418.3736,2468.27225,1007.25465,899.6483,717.961,703.1521
"trmO",699.80715,660.5061,343.5322,284.83215,408.18895,421.55265
"rcsF",3090.386,3922.0869,1712.6129,2062.79085,1765.21585,2117.87775
"metQ",9874.88075,12505.6779,18150.73625,18343.14705,7594.21845,8700.4869
"metI",7146.5668,8037.7304,17035.2944,17063.9195,3574.68555,4746.08765
"metN",3366.7071,5087.9625,10342.2493,10814.46865,1793.1712,2596.8768
"gmhB",1423.88875,1688.3743,1583.9915,1626.83825,1996.6319,1782.52525
"dkgB",1303.8614,1661.4926,400.0305,500.08755,600.02945,583.9009
"yafC",261.75505,242.53405,201.3445,172.4543,390.81965,273.0219
"yafD",837.1631,934.9303,1394.70515,1366.0864,1777.8245,1378.9081
"yafE",108.26725,122.3742,151.10275,136.86355,171.16475,132.884
"mltD",521.4845,442.5312,1432.1435,1110.7943,441.42685,457.0709
"gloB",297.5529,321.5169,385.2085,348.62145,960.45725,677.87255
"yafS",252.5255,295.18095,305.1312,350.7331,443.11185,356.5735
"rnhA",391.1068,361.9081,339.38285,280.00695,553.24155,523.46325
"dnaQ",541.5271,582.2045,748.6994,528.3982,758.1858,666.46045
"yafT",2812.5274,2643.09445,1982.63135,1565.6605,361.07715,286.48535
"yafU",270.0983,306.8454,171.72345,208.3773,81.2903,85.43775
"yafV",82.9041,86.55255,119.5436,95.16315,165.4019,125.48255
"ivy",265.253,266.9181,308.7021,286.5935,1687.94725,1182.45515
"fadE",143.8472,125.17045,704.57405,179.1443,781.20005,499.93005
"gmhA",638.90695,646.51815,375.4167,296.55155,976.7505,824.9553
"yafJ",645.80495,746.16835,342.3824,362.6214,634.3103,564.25965
"dpaA",2893.57365,4600.95655,1420.77305,2996.8739,1629.85885,2666.30655
"yafQ",320.7267,317.9646,717.3248,948.54625,441.3489,556.6324
"dinJ",180.8796,288.3461,553.13115,1106.52945,432.28615,822.61085
"yafL",58.93425,53.31475,57.4096,54.03955,56.0503,53.5411
"rayT",669.46635,444.2852,475.5069,614.63985,587.15655,339.465
"lfhA",45.449,44.37275,47.76385,44.8995,52.85755,46.24135
"lafU",47.7733,46.83685,52.6042,48.6984,45.4412,45.79885
"dinB",310.6804,311.54955,827.3995,723.1754,423.8755,479.7618
"yafN",461.15635,494.6629,1253.4395,1266.2936,727.8044,740.409
"yafO",546.2251,633.31575,1581.17385,1311.61015,744.9613,704.30685
"yafP",102.4739,161.4414,432.54575,373.04415,142.58265,151.947
"ykfJ",57.14685,54.1276,70.7853,59.56455,56.6271,52.1051
"prfH",70.7688,76.99325,97.8245,76.4908,62.81115,56.118
"pepD",7715.3715,7042.98755,3577.5157,3184.04345,8903.97835,5883.69415
"gpt",2447.2182,3401.97615,753.2747,1063.14815,619.81785,891.0336
"frsA",1145.0058,1337.94525,1426.03575,1117.18345,1051.7674,988.76935
"crl",1980.0151,2886.72115,7115.68585,6875.13675,4190.53585,3981.92845
"phoE",259.74015,362.51785,618.90955,554.71405,736.04385,184.6649
"proB",3787.0559,4577.7597,6780.0073,6708.39155,2825.7191,2801.167
"proA",2314.16485,2198.9883,3630.3746,3457.7031,2051.21975,1998.8648
"ykfI",749.31685,871.42795,2809.85855,2856.8018,454.1331,819.2197
"yafW",748.93645,924.5798,2813.09955,2916.92685,398.6582,903.5611
"ykfG",79.11655,83.6776,327.9227,167.7051,81.1668,115.86055
"yafX",1159.69765,1148.2665,3085.1134,3162.85635,775.0016,1221.23295
"ykfF",718.8724,736.91215,1311.39785,1385.20475,340.94545,574.77115
"ykfB",1097.3225,1098.8578,2122.82755,2033.03665,563.41815,920.43395
"yafY",925.34395,863.50785,1432.7756,1667.5566,539.3831,706.56485
"yafZ",161.9143,164.33835,230.70895,214.7742,112.93115,118.412
"ykfA",63.8575,68.8367,97.4081,77.3259,72.78035,69.98855
"perR",710.04745,625.94365,783.95315,867.90355,274.09095,285.7473
"insI1",647.2983,650.6162,755.8105,660.7317,1039.51925,808.79565
"ykfC",127.8313,115.41935,129.99895,116.53375,113.9003,110.6123
"insH1",15420.31715,17142.1702,16394.0587,15966.8128,10249.35455,11028.6559
"mmuP",539.68725,521.92925,1734.90915,1603.70805,354.5028,426.02605
"mmuM",123.6153,137.0476,385.2993,274.8483,276.2577,236.37245
"afuC",74.4181,72.7782,101.15345,94.89195,65.04145,73.02385
"afuB",114.0248,124.88715,262.26395,238.04375,64.6041,106.1608
"insB2",2376.9148,2855.516,4687.2741,4676.00835,752.3272,1011.0125
"insA2",3099.75895,3675.2488,5115.1078,5974.34435,908.99645,1460.9474
"yagB",55.8476,57.44495,57.22735,54.33385,70.95375,72.43215
"yagA",82.1799,72.62075,95.5639,64.8397,89.7248,78.73045
"yagE",711.95835,721.3714,696.408,383.0876,2015.75155,1515.83755
"yagF",362.98265,312.74835,292.0573,192.36575,664.656,492.30795
"yagG",64.7416,63.439,72.3415,55.4364,116.0073,74.39335
"yagH",70.30355,64.1552,67.20965,50.5969,92.1448,68.801
"xynR",110.75945,110.6749,96.99415,97.3823,126.9552,151.19325
"argF",153.10165,147.5497,156.97935,145.2097,195.0925,175.23645
"yagJ",109.62975,121.3995,120.93655,172.2231,74.70005,75.8866
"yagK",226.16285,230.14485,674.4346,688.95385,185.28835,171.8725
"yagL",73.0384,69.5024,120.61125,125.1709,91.54475,98.6371
"yagM",81.5519,82.1909,110.54625,126.5685,96.1583,91.756
"yagN",105.0622,166.94395,235.60485,471.4991,712.7212,646.26995
"intF",1206.41405,1510.9381,2846.9434,3534.3835,2500.45045,2353.5311
"yagP",938.74025,1323.0084,6805.44035,7067.5427,447.9719,1016.45715
"paoD",127.15085,145.6377,606.2414,540.52025,116.0224,126.61055
"paoC",90.1617,104.4116,81.268,76.1396,105.0179,91.44625
"paoB",52.69595,54.2561,57.45335,53.9279,61.25455,55.32725
"paoA",58.37485,66.64605,55.76415,63.50505,84.5807,64.4005
"yagU",3631.38015,4692.04495,14068.12835,14731.242,8068.4818,9913.73325
"ykgJ",304.21715,369.4415,1038.36675,1193.12085,153.28555,209.18695
"ecpE",115.87725,120.3579,164.7316,155.6617,78.7114,85.78395
"ecpD",94.77575,78.89515,83.2191,90.1142,71.37615,75.6044
"ecpC",124.097,115.382,106.7355,106.7802,87.1684,91.0628
"ecpB",71.5318,78.0033,180.89165,157.68585,77.0355,70.93525
"ecpA",70.00125,80.9513,505.52935,363.8727,77.4537,75.5021
"matA",480.6387,628.6212,2763.5948,2902.65595,184.3246,210.93855
"ykgL",94.8891,109.8951,148.3519,169.1814,72.81425,75.1417
"ykgM",161.4198,170.94215,80.318,114.7455,107.10495,108.95975
"eaeH",60.93485,62.2483,53.07195,64.56745,49.82,49.8615
"insE1",498.7984,502.2181,470.33355,509.8014,270.37085,313.3731
"insF1",155.74445,199.586,244.87435,158.9571,114.1078,123.156
"ykgA",332.64915,392.9272,373.54855,594.5908,308.25755,346.7963
"rclC",2324.98735,2355.16155,4181.8398,6212.2658,1176.1726,1722.17105
"rclB",305.3561,297.96105,630.2687,955.76305,218.61195,243.23085
"rclA",132.0883,136.86245,74.6463,112.5511,201.07865,160.0021
"rclR",55.6419,61.93965,74.87505,71.16215,72.6531,67.4892
"ykgE",220.13825,167.13,130.40885,108.9557,143.9525,132.5416
"ykgF",581.0293,621.951,324.98085,408.14175,456.85835,428.84905
"ykgG",602.76125,548.91205,378.1527,522.5827,393.4189,433.2995
"ykgH",246.7776,253.70945,1577.9249,1498.82955,136.3172,205.42595
