"","0","0 | 1","32400","32400 | 1","32400 | 2","32400 | 3"
"yiiE",597.247,549.018,886.363,391.166,285.747,732.308
"yiiF",559.383,556.161,434.473,707.81,1217.69,1091.71
"fdhE",1409.15,1680.28,775.02,617.157,101.041,143.081
"fdoI",2877.26,3503.84,35.8553,22.3384,293.109,322.161
"fdoH",3409.18,3957.21,57.0732,407.648,1075.5,494.333
"fdoG",3358.09,3629.38,122.123,675.791,37.4424,353.73
"fdhD",792.11,839.95,151.263,1103.22,66.0012,587.496
"frvR",481.769,469.06,419.4,682.377,74.6737,210.045
"frvX",617.851,695.514,626.155,4410.31,2024.76,377.453
"frvB",633.918,624.124,351.245,443.354,126.507,205.067
"frvA",509.727,486.618,1415.39,54.7592,653.841,1073.76
"rhaD",1.4519,2.85587,660.242,1209.3,309.094,1091.56
"rhaA",1.24122,1.68146,111.045,665.251,395.564,787.823
"rhaB",6.70606,11.2076,116.413,358.537,1106.2,505.465
"rhaS",243.934,223.881,403.653,287.703,201.192,162.702
"rhaR",676.432,779.119,49.5691,600.236,648.867,459.954
"sodA",3644.18,2754.19,653.404,413.918,74.1624,389.908
"kdgT",739.976,785.908,670.599,543.526,324.219,393.478
"yiiM",656.23,649.952,1344.2,792.603,395.938,558.276
"cpxA",978.243,1023.48,147.725,352.26,275.592,591.174
"cpxR",2098.35,1875.96,1097.13,662.34,1107.4,133.019
"fieF",1117.93,1157.95,661.318,56.6453,664.156,746.564
"pfkA",1242.05,1314,256.274,519.388,348.184,875.077
"sbp",616.89,662.508,936.446,347.616,810.171,389.105
"cdh",1179.67,1261.71,510.592,482.842,332.648,1357.01
"tpiA",2245.84,1902.85,77.9565,485.764,221.961,382.143
"yiiQ",619.089,692.009,162.753,540.668,150.274,615.184
"yiiR",458.994,474.153,1043.33,25.2479,271.631,163.521
"yiiS",854.535,801.062,1437.09,641.934,1045.38,361.84
"uspD",1003.74,961.773,1578.4,1074.62,1048.44,1422.82
"fpr",924.878,732.718,666.474,367.152,308.025,225.985
"glpX",1643.69,1499.36,123.48,64.8298,320.575,348.551
"glpK",3242.06,2621.12,138.846,437.907,969.253,270.174
"glpF",3572.75,3730.46,187.012,516.974,480.095,718.264
"zapB",2298.13,2571.93,1193.98,417.043,53.0537,88.3253
"rraA",1588.47,2102.91,225.91,745.068,90.0466,790.287
"menA",841.469,1408.72,232.438,557.539,100.692,582.296
"hslU",1605.4,5343.35,580.432,405.42,443.94,369.303
"hslV",1554.56,5503.81,738.643,393.218,109.257,62.7052
"ftsN",1782.82,2155.19,78.7914,333.61,729.097,553.378
"cytR",1281.46,1387.25,792.906,546.738,484.314,237.674
"priA",775.636,922.181,917.197,624.062,1031.49,644.954
"rpmE",4634.01,5669.37,774.646,784.639,816.271,732.007
"yiiX",463.63,608.199,907.151,495.879,858.854,1361.96
"metJ",1028.19,1251.89,1162.4,191.013,1018.21,710.836
"metB",671.418,764.086,285.885,371.437,38.8335,259.599
"metL",605.617,625.617,733.154,764.787,122.514,711.21
"metF",636.163,720.854,198.32,554.156,409.416,789.175
"katG",1915.2,1706.9,899.556,48.7513,791.69,577.167
"yijE",512.791,539.039,85.2691,474.724,562.828,202.033
"yijF",583.4,730.933,511.481,362.516,1127.93,201.685
"gldA",443.719,417.074,868.901,67.4267,2060.03,977.179
"fsaB",434.477,469.729,1471.69,808.769,366.423,1442.48
"ptsA",653.606,704.34,127.776,405.131,138.724,450.37
"frwC",586.02,538.754,219.79,317.287,966.122,106.776
"frwB",341.316,308.302,89.6852,953.865,190.081,300.662
"pflD",757.859,782.34,119.709,17.199,223.64,515.159
"pflC",391.898,348.957,176.128,616.323,397.593,743.279
"frwD",528.604,543.363,176.488,908.902,3502.59,757.574
"yijO",760.297,883.49,621.823,761.518,1055.12,795.232
"eptC",1484.56,1425.91,114.704,561.53,676.75,673.118
"ppc",1303.2,1349.42,138.298,79.3166,475.837,180.025
"argE",904.519,838.705,75.5707,106.431,239.221,122.984
"argC",647.981,625.146,238.601,206.513,518.112,881.93
"argB",785.526,765.238,1796.64,887.27,913.413,686.304
"argH",476.298,517.041,214.327,763.469,829.009,1158.98
