"","0","35400"
"yaiS",253.107,139.112
"tauA",296.825,103.101
"tauB",265.371,105.374
"tauC",156.315,74.7795
"hemB",1169.85,1061.58
"iprA",257.211,109.981
"sbmA",563.015,433.154
"yaiW",773.733,590.984
"yaiY",640.78,616.057
"yaiZ",482.427,261.979
"ddlA",884.454,1080.9
"iraP",1122.58,2209.17
"phoA",1112.41,1066.04
"psiF",427.166,368.971
"dgcC",320.82,133.169
"proC",805.079,944.401
"yaiI",687.943,854.59
"aroL",965.536,1057.85
"yaiA",899.567,876.265
"aroM",550.189,550.177
"ppnP",1460.34,1723.01
"ykiA",423.79,412.853
"rdgC",1426.02,1530.17
"araJ",518.352,281.995
"sbcC",624.796,505.415
"sbcD",685.41,862.948
"phoB",1869.86,1158.31
"phoR",840.608,386.713
"brnQ",1402.09,1508.54
"proY",1749.08,1687.15
"malZ",347.5,258.5
"acpH",684.707,595.927
"queA",3595.22,3258.8
"tgt",3960.02,4622.56
"yajC",5243.88,6378.8
"secD",3732.49,4015.21
"secF",3449.66,3870.53
"yajD",1768.92,1279.91
"tsx",1078.22,2025.13
"nrdR",2990.22,3163.8
"ribD",2021.46,1889.08
"ribE",4489.7,4993.42
"nusB",2898.73,3288.3
"thiL",728.201,924.596
"pgpA",1218.57,1282.06
"yajO",821.678,615.353
"dxs",1398.04,1236.7
"ispA",2251.32,2046.55
"xseB",3117.24,3268.53
"thiI",1395.87,1373.95
"yajL",385.691,360.964
"panE",1125.92,1047.68
"yajQ",2156.06,2229.74
"yajR",633.629,373.921
"cyoE",1206.89,3403.29
"cyoD",1554.77,3898.76
"cyoC",1683.82,4158.67
"cyoB",2647.95,5663.36
"cyoA",3851.48,7119.61
"ampG",884.896,910.959
"bolA",788.595,595.528
"tig",10057.9,11125
"clpP",3993.3,4140.05
"clpX",3032.7,3382
"lon",1746.57,1763.15
"hupB",3495.42,4223.51
"ppiD",4378.17,5733.88
"ybaV",637.422,502.246
"fadM",569.793,338.764
"queC",906.837,805.601
"ybaE",149.545,68.2248
"cof",925.475,967.165
"mdlA",466.439,298.222
"mdlB",579.626,536.61
"glnK",315.1,107.164
"amtB",301.771,191.236
"tesB",830.053,1127.34
"ybaY",313.55,538.93
"ybaZ",279.684,172.043
"ffs",5198.77,2548.21
"ybaA",931.321,320.409
"pdeB",440.117,273.907
"ylaC",1693.29,2044.03
"maa",1437.59,1641.14
"hha",3142.77,4526.51
"tomB",2974.45,3336.55
"acrA",3688.32,4320.95
"acrR",818.544,460.198
"mscK",886.513,969.843
"ybaM",402.345,279.552
"priC",649.805,634.975
"ybaN",910.225,638.057
"apt",3443.51,3856.59
"dnaX",1690.32,1964.09
"ybaB",6571.69,8298.5
"recR",3078.29,5376.73
"htpG",1142.34,1149.65
"adk",3948.4,6162.63
"hemH",932.568,612.237
"aes",321.215,137.089
"gsk",1241.3,1122.43
"ybaL",1530.39,1429.92
"fsr",404.858,230.23
"ushA",907.419,745.91
"ybaK",531.751,456.945
"ybaP",268.742,193.656
"ybaQ",484.984,278.487
"copA",339.749,238.506
"glsA",460.985,211.109
"ybaT",290.321,121.581
"cueR",1449.69,984.794
"ybbJ",574.799,664.994
"fetA",453.878,495.565
"fetB",433.349,493.485
"cnoX",1311.84,1399.09
"ybbO",1549.78,1377.2
"tesA",841.543,725.283
"ybbA",683.217,390.515
"ybbP",231.849,132.177
"rhsD",390.557,357.028
"ybbC",300.552,441.538
"ylbH",469.165,353.519
"ylbG",544.019,343.692
"selU",764.415,514.761
"allS",410.788,193.468
"allA",493.293,324.328
"allR",829.612,769.72
"gcl",342.167,129.789
"hyi",174.512,67.6197
"glxR",227.271,128.312
"allB",303.633,307.46
"ybbY",220.505,102.471
"glxK",207.226,91.8178
"allE",376.399,373.144
"allC",187.119,86.7504
"allD",275.229,93.3321
"fdrA",360.252,164.398
"ylbF",252.235,76.3489
"ybcF",256.389,145.574
"purK",549.094,811.796
"purE",743.529,952.877
"lpxH",798.042,723.094
"ppiB",3154.84,4622.57
"cysS",2372.42,2425.07
"ybcJ",754.194,669.91
"folD",1146.83,1504.64
"sfmA",339.36,133.402
"sfmC",241.387,86.4457
"sfmD",232.024,122.32
"sfmH",218.854,102.635
"sfmF",161.041,65.8372
"fimZ",410.752,162.78
"intD",792.895,603.859
"exoD",339.638,153.804
"renD",69.3523,155.743
"emrE",411.297,546.337
"ybcK",331.806,147.27
"ybcL",279,298.153
"ybcM",409.704,798.235
"ybcN",142.645,34.5819
"ninE",370.076,107.345
"ybcO",310.535,100.443
"quuD",249.59,139.235
"nmpC",509.061,1561.13
"essD",398.075,341.734
"rrrD",438.325,243.355
"rzpD",377.284,618.476
"ybcV",234.419,101.14
"ybcW",667.383,736.022
"nohD",706.774,219.198
"tfaD",414.351,178.628
"ybcY",923.021,571.892
"tfaX",286.972,192.599
"appY",479.945,821.469
"ompT",2175.03,7523.82
"envY",178.111,73.6237
"nfrA",537.295,491.486
"nfrB",595.461,408.004
"cusS",784.83,407.243
"cusR",949.382,528.062
"cusC",208.475,78.0769
"cusF",184.814,249.928
"cusB",270.436,214.805
"cusA",456.921,227.275
"pheP",385.148,436.188
"ybdG",877.843,786.78
"nfsB",1235.49,1316.93
"ybdF",612.843,505.317
"ybdJ",592.646,662.541
"ybdK",191.453,42.4769
"hokE",201.917,90.254
"entD",389.36,196.161
"fepA",427.461,199.504
"fes",305.364,150.173
"entF",386.575,173.073
"fepE",244.848,76.4993
"fepC",362.894,127.922
"fepG",236.509,166.114
"fepD",479.849,258.577
"entS",312.626,143.382
"fepB",269.219,147.256
"entC",273.033,128.085
"entE",120.612,49.5497
"entB",297.493,117
"entA",285.978,232.452
"entH",391.694,251.794
"cstA",590.603,515.431
"hcxA",363.999,479.151
"ybdL",362.237,221.973
"ybdM",281.528,172.823
"ybdN",375.912,181.582
"ybdO",317.748,146.285
"dsbG",625.621,599.921
"ahpC",6242.68,5448.37
"uspG",1903.45,2057.11
"ybdR",548.415,329.426
"rnk",502.791,544.235
"rna",569.82,653.986
"citT",275.898,87.2571
"citG",254.55,93.3791
"citX",312.446,119.263
"citF",276.272,113.644
"citE",346.702,106.665
"citD",367.079,112.161
"dpiB",519.729,449.597
"dpiA",569.108,367.257
"dcuC",396.691,192.554
"pagP",517.394,381.901
"cspE",1037.99,5296.36
"crcB",965.225,1326.31
"tatE",2093.36,3969.1
"lipA",2067.04,2345.41
"ybeF",359.029,171.295
"lipB",1025.77,1046.76
"ybeD",2165.64,2180.23
"dacA",1451.75,2561.26
"rlpA",1488.86,1824.17
"mrdB",1157.35,1048.64
"mrdA",2298.68,1734.72
"rlmH",5637.74,4773.81
"rsfS",8641.64,7732.21
"cobC",472.507,484.48
"nadD",1256.54,1414.58
"holA",1135.64,1179.21
"lptE",2799.89,3031.92
"leuS",3966.49,3627.12
"ybeL",213.357,251.677
"ybeQ",261.616,152.618
"ybeR",341.438,148.1
"djlB",188.895,56.5088
"ybeT",208.7,98.2509
"ybeU",254.751,182.737
"djlC",387.279,273.036
"hscC",402.344,236.093
"rihA",270.871,187.298
"gltL",573.675,588.379
"gltK",326.483,222.934
"gltJ",335.372,285.261
"gltI",667.7,833.532
"lnt",510.614,425.649
"ybeX",2016.9,2131.23
"ybeY",1100.59,1163.75
"ybeZ",1475.23,1523.64
"miaB",2556.9,3457.73
"ubiF",1061.8,1045.29
"asnB",520.922,393.341
"umpH",1402.02,2165.22
"nagC",1229.36,1206.09
"nagA",692.143,609.642
"nagB",399.671,334.363
"nagE",313.292,374.368
"glnS",2255.58,2603.25
"chiP",186.001,74.8559
"chiQ",268.404,133.514
"fur",7937.28,9619.03
"fldA",3859.64,5183.19
"ybfE",3433.87,3981.48
"ybfF",398.984,670.964
"seqA",2747.28,2955.69
"pgm",2576.35,3503.16
"ybfP",377.371,252.107
"ybfG",443.182,176.727
"potE",510.042,248.164
"speF",265.633,92.8828
"kdpE",913.295,586.675
"kdpD",1046.81,697.016
"kdpC",567.317,371.622
"kdpB",304.168,320.38
"kdpA",197.334,104.635
"ybfA",518.337,701.619
"rhsC",361.392,235.87
"ybfB",265.582,271.332
"ybfO",282.582,179.951
"ybfC",314.409,225.473
"ydcC",2138.37,1039.68
"ybfD",541.294,230.567
"ybgA",241.058,106.321
"phr",376.302,371.625
"ybgI",914.059,1081.67
"pxpB",671.843,649.322
"pxpC",848,832.502
"pxpA",745.871,731.191
"nei",598.57,401.011
"abrB",454.369,167.254
"ybgO",413.648,163.543
"ybgP",337.691,111.991
"ybgQ",320.232,121.252
"ybgD",429.421,150.158
"gltA",279.367,185.711
"sdhC",303.466,340.477
"sdhD",516.127,698.578
"sdhA",459.922,612.267
"sdhB",699.91,1416.28
"sucA",540.082,753.2
"sucB",868.281,1337.69
"sucC",748.747,1149.71
"sucD",768.04,880.619
"mngR",780.095,689.657
"mngA",222.505,82.2109
"mngB",525.342,312.606
"cydA",7440.66,8001.7
"cydB",6651.26,8292.13
"ybgE",2202.44,2533.63
"ybgC",3755.92,3796.2
"tolQ",3748.61,4098.77
"tolR",3376.49,3245.59
"tolA",5269.73,5291.58
"tolB",6389.93,8582.12
"pal",5979.92,7962.26
"cpoB",4923.56,6041.44
"nadA",435.593,285.466
"pnuC",373.825,178.922
"ybgS",236.103,112.381
"aroG",799.942,802.904
"gpmA",1324.28,2099.47
"galM",1206.67,1232.43
"galK",728.463,995.311
"galT",459.701,377.036
"galE",498.727,517.807
"modF",268.955,129.884
"modE",725.837,785.315
"acrZ",1326.07,2370.09
"modC",601.222,764.837
"ybhA",812.298,884.473
"pgl",320.436,228.191
"ybhD",323.133,168.4
"ybhH",187.202,67.9226
"ybhI",212.496,77.4108
"ybhJ",474.69,256.307
"ybhC",2353.03,2768.73
"ybhB",475.615,459.442
"bioA",360.261,188.862
"bioF",156.238,74.9968
"bioD",330.29,124.759
"uvrB",3049.6,1463.37
"ybhK",890.44,693.91
"moaA",1073.4,705.263
"moaB",802.982,670.98
"moaC",611.155,557.599
"moaD",612.347,486.989
"moaE",500.598,449.885
"ybhL",826.123,900.904
"ybhM",585.169,400.775
"ybhN",268.319,141.994
"ybhP",447.79,192.085
"ybhQ",716.301,416.581
"ybhR",333.031,201.667
"ybhS",220.209,114.584
"ybhG",430.625,301.862
"cecR",580.438,224.484
"rhlE",3187.86,4069.18
"ybiA",448.914,178.546
"dinG",919.632,537.272
"ybiB",456.302,368.917
"hcxB",600.033,616.97
"ybiJ",2567.97,2475.8
"ybiI",239.238,127.074
"ybiX",280.755,129.627
"fiu",211.626,91.9195
"mcbA",225.633,113.232
"rlmF",2478.6,1544.04
"ybiO",514.407,221.062
"glnQ",2390.85,2094.93
"glnP",2492.78,2064.47
"glnH",5785.45,4319.82
"dps",2348.77,2817.55
"rhtA",460.044,298.47
"ompX",8227.48,10850.9
"opgE",662.116,819.724
"rybA",2251.79,1989.42
"mntR",828.237,1254.52
"ldtB",5304.43,6945.01
"ybiT",3612.18,3940.32
"ybiU",194.625,107.921
"ybiV",474.974,738.839
"ybiY",204.796,84.2633
"fsaA",297.364,185.728
"moeB",283.388,299.36
"moeA",651.579,886.307
"iaaA",655.956,535.808
"gsiA",557.098,269.343
"gsiB",380.428,209.563
"gsiC",369.257,189.221
"gsiD",269.51,212.246
"pdeI",350.314,363.325
"dgcI",259.326,307.354
"rimO",1818.55,1904.65
"bssR",278.346,105.941
"yliI",384.373,146.54
"gstB",500.24,637.971
"dacC",647.983,1017.71
"deoR",736.009,727.729
"ybjG",1290.49,2010.83
"mdfA",1571.36,1983.19
"ybjH",764.149,809.771
"ybjI",324.138,309.329
"ybjJ",355.404,248.96
"rcdA",245.343,144.365
"rybB",435.05,134.043
