"","0","35400"
"yfaH",472.354,210.831
"glpQ",376.22,346.74
"glpT",189.978,157.246
"glpB",357.197,241.383
"glpC",311.914,157.086
"rpnE",282.801,97.9691
"yfaX",275.859,77.5404
"yfaY",533.117,400.229
"yfaZ",892.607,1053.93
"nudI",285.836,240.442
"ais",366.922,221.655
"arnB",362.723,292.563
"arnC",595.339,292.024
"arnA",176.102,135.7
"arnD",446.795,226.318
"arnT",328.167,154.273
"arnF",202.881,154.719
"pmrD",801.821,738.63
"menE",491.162,493.048
"menC",757.317,909.135
"menB",989.51,1177.59
"menH",164.965,239.92
"menD",699.768,1119.54
"menF",863.742,1282.94
"elaB",499.484,495.305
"elaA",451.469,441.151
"rbn",574.705,616.365
"elaD",320.434,118.055
"yfbK",198.644,94.4704
"yfbL",255.718,133.597
"yfbM",346.706,194.727
"yfbN",242.439,110.974
"yfbO",311.551,190.99
"yfbP",420.16,246.876
"nuoN",821.651,1293.91
"nuoM",117.249,267.722
"nuoL",775.359,2015.93
"nuoK",713,2267.48
"nuoJ",989.722,2582.94
"nuoI",1105.69,2981.68
"nuoH",695.401,1509.18
"nuoG",205.718,560.182
"nuoF",609.731,1110.5
"nuoE",864.282,1877.22
"nuoC",1407.25,2453.91
"nuoB",1212.19,2369.21
"nuoA",1419.73,2754.89
"lrhA",2255.1,3126.8
"alaA",1082.65,1266.09
"yfbR",405.639,286.467
"yfbS",927.104,488.975
"hxpA",1018.55,1116.18
"yfbU",1858.56,1617.58
"ackA",7314.07,8403.31
"pta",4245.98,5985.69
"yfcC",254.322,88.6524
"yfcD",1688.24,1503.95
"yfcE",1365.51,1526.63
"yfcF",471.253,277.837
"yfcG",313.731,110.902
"folX",2009.81,2509.67
"yfcH",1232.1,1221.89
"rpnB",267.879,153.792
"hisP",392.751,299.94
"hisM",326.341,238.946
"hisQ",321.538,273.089
"hisJ",474.915,674.993
"argT",351.706,312.857
"ubiX",845.656,736.997
"purF",889.872,810.661
"cvpA",1805.09,2238.7
"dedD",2167.05,2482.96
"folC",1793.41,1894.51
"accD",4292.3,5390.22
"truA",2251.57,2743.43
"pdxB",1508.97,1613.38
"flk",803.034,655.197
"yfcJ",627.955,334.488
"fabB",6203.37,6198.75
"mnmC",444.93,383.298
"yfcL",856.408,763.513
"epmC",874.031,985.215
"yfcA",457.857,578.875
"mepA",809.263,1021.97
"aroC",1808.82,2180.91
"prmB",2983.59,2987.58
"smrB",929.971,890.198
"yfcO",1146.11,929.135
"yfcP",336.684,142.199
"yfcQ",277.823,138.085
"yfcR",358.505,162.886
"yfcS",405.962,185.901
"yfcV",182.994,107.674
"sixA",2533.88,2207.11
"fadJ",318.373,122.814
"fadI",429.859,187.974
"yfcZ",1498.27,1830.48
"fadL",6625.67,7800.83
"yfdF",227.072,125.639
"mlaA",1998,3099.08
"yfdC",285.207,154.35
"intS",730.511,395.222
"yfdG",1941.61,2354.37
"yfdH",1316.42,2183.07
"yfdI",392.543,740.065
"tfaS",558.313,421.753
"yfdK",324.457,251.495
"yfdL",211.079,81.205
"yfdM",197.6,79.9254
"yfdN",228.272,87.3087
"yfdO",304.392,85.6725
"yfdP",297.442,186.904
"yfdQ",377.858,276.885
"yfdR",166.934,67.9314
"yfdS",221.517,73.1122
"yfdT",419.035,146.103
"dsdC",367.356,143.762
"dsdA",363.291,287.781
"emrY",249.642,89.9135
"emrK",197.792,60.294
"evgA",591.76,813.88
"evgS",185.011,128.305
"yfdE",236.726,134.192
"yfdV",342.558,167.85
"oxc",408.798,219.568
"frc",221.467,103.494
"yfdX",318.599,225.505
"ypdI",267.001,150.423
"yfdY",636.367,468.207
"lpxP",1384.02,768.085
"alaC",344.199,226.18
"pyrS",747.859,670.915
"pyrR",399.755,256.885
"ypdC",231.524,127.068
"fryA",184.215,61.527
"ypdE",205.395,122.308
"ypdF",242.808,89.032
"fryC",182.445,103.945
"fryB",218.475,112.838
"glk",1370.68,1282.32
"yfeO",325.048,215.291
"mntH",530.914,456.702
"nupC",401.888,687.271
"pdeA",1550.49,903.297
"yfeC",402.842,290.003
"yfeD",461.13,314.61
"gltX",2802.53,3112.29
"xapR",472.879,393.318
"xapB",249.334,137.224
"xapA",183.577,71.4509
"yfeN",503.391,311.5
"yfeR",511.289,367.087
"yfeH",476.427,391.398
"ligA",1517.15,1592.36
"zipA",1545.49,2099.29
"cysZ",797.227,1253.4
"cysK",842.316,887.504
"ptsH",2430.58,3039.85
"crr",2019.36,2772.27
"pdxK",588.973,497.906
"yfeS",619.182,277.013
"cysM",459.517,366.783
"cysA",398.805,250.41
"cysW",467.475,259.16
"cysU",429.592,214.101
"cysP",357.487,151.251
"ucpA",1024.56,976.158
"murR",166.38,71.6804
"murQ",329.767,234.505
"murP",52.0684,14.0154
"yfeW",422.811,293.349
"yfeX",2057.96,1942.87
"yfeY",3269.64,3044.6
"amiA",1806.22,1980.55
"hemF",1393.26,940.278
"eutR",638.048,225.915
"eutK",205.695,157.046
"eutL",532.033,399.81
"eutC",562.827,442.278
"eutB",778.773,686.672
"intZ",482.747,311.364
"yffL",584.661,366.066
"yffM",185.741,73.4868
"yffN",204.151,69.6465
"yffO",452.806,221.697
"yffP",466.654,222.907
"yffQ",246.089,176.053
"yffR",680.553,517.854
"yffS",739.775,620.436
"eutA",232.647,120.816
"eutG",235.991,140.107
"eutJ",269.617,96.1244
"eutN",185.702,65.2679
"eutM",307.796,240.535
"eutD",242.484,116.735
"eutT",257.344,143.236
"eutQ",319.524,140.957
"eutP",142.455,104.306
"maeB",320.699,475.481
"talA",266.02,124.55
"tktB",346.068,218.481
"ypfG",1368.39,1404.55
"nudK",593.402,394.241
"aegA",431.99,179.785
"narQ",679.079,453.365
"acrD",382.232,239.896
"yffB",957.978,1363.83
"dapE",1508.71,1397.86
"ypfH",446.078,283.5
"tmcA",522.917,418.227
"ypfJ",1263.64,1146.96
"purC",468.856,515.073
"bamC",2953.2,2553.09
"dapA",2967.09,3754.34
"gcvR",1349.69,1575.98
"bcp",2075.57,1889.01
"hyfA",449.685,190.294
"hyfB",399.017,127.131
"hyfC",223.247,99.1542
"hyfD",216.16,80.4506
"hyfE",463.678,318.608
"hyfF",276.647,103.652
"hyfG",368.088,150.562
"hyfH",320.339,129.016
"hyfI",255.525,115.799
"hyfJ",405.914,145.783
"hyfR",255.372,87.5652
"focB",350.112,151.159
"yfgO",1001.03,1053.8
"bepA",722.73,720.543
"yfgD",840.922,743.688
"hda",1585.9,1421.58
"uraA",577.051,554.823
"upp",3446.86,3558.37
"purM",613.304,1058.97
"purN",1311.37,1496.78
"ppk",571.061,583.877
"ppx",307.96,376.495
"pdeF",291.193,99.5178
"yfgG",991.987,1274.17
"yfgH",240.769,135.496
"guaB",3849.39,5319.25
"xseA",1677.49,1913.42
"yfgJ",1355.44,1263.31
"der",2864.75,3224.28
"bamB",4481.58,4515.87
"yfgM",3660.97,3877.45
"hisS",5578.83,6007.15
"ispG",3070.52,3591.69
"rodZ",1760.78,1781.46
"rlmN",1418.64,1835.64
"ndk",681.041,2405.01
"yfhM",665.845,419.639
"ryfA",1952.78,1812.21
"sseB",1752.09,1861.75
"iscX",4512.69,4155.06
"fdx",4077.08,3869.34
"hscA",3130.16,2798.64
"hscB",5096.23,4248.21
"iscA",6956.38,6156.91
"iscU",7107.88,6028.16
"iscS",7572.54,6969.88
"iscR",5890.13,4844.43
"trmJ",4286.02,4436.42
"suhB",3481.08,4635.15
"yfhR",508.464,246.757
"csiE",295.141,109.6
"hcaT",730.584,576.862
"hcaR",229.171,110.069
"hcaE",380.583,260.24
"hcaF",538.704,247.608
"hcaC",421.116,214.619
"hcaB",210.685,119.122
"hcaD",432.914,228.192
"yphA",394.729,170.758
"yphB",358.285,211.721
"yphD",305.462,194.108
"yphE",471.03,300.237
"yphF",428.471,286.198
"yphG",186.634,63.7159
"yphH",330.954,108.466
"glyA",1175.68,1252.26
"hmp",465.045,438.586
"glnB",1101.95,1526.15
"glrR",797.688,734.316
"qseG",1492.17,1508.83
"glrK",613.689,390.09
"glmY",5519.02,5802.56
"purL",680.111,948.856
"mltF",566.466,868.597
"tadA",1565.25,1052.83
"pgpC",660.683,563.195
"yfhH",770.665,883.133
"yfhL",3287.98,3182.98
"acpS",990.235,1173.7
"pdxJ",1600.95,2047.13
"recO",1272.81,1147.66
"rnc",5190.42,4450.51
"lepB",5628.36,6460.98
"lepA",5967.73,6565.6
"rseC",1629.51,1200.59
"rseA",5866.58,4634.79
"rpoE",3185.48,1963.33
"nadB",440.118,166.929
"yfiC",893.768,674.72
"srmB",2001.21,1961.21
"yfiE",323.977,172.95
"eamB",375.759,213.721
"grcA",2628.06,6748.6
"ung",821.107,721.096
"yfiF",2520.11,1815.83
"trxC",591.43,610.948
"tapT",696.294,743.288
"patZ",502.339,299.19
"pssA",1901.76,1936.8
"yfiM",275.016,255.173
"kgtP",3298.01,3478.55
"rrsG",20064.7,18774.5
"clpB",1458.75,754.157
"yfiH",1448.88,1478.26
"rluD",2643.07,2690.24
"bamD",1996.24,2496.18
"raiA",1052.59,969.892
"pheL",308.411,284.844
"pheA",588.458,683.213
"tyrA",776.624,693.556
"aroF",1863.67,2039.24
"yfiL",199.879,77.3716
"yfiR",960.332,814.625
"dgcN",466.901,324.655
"yfiB",408.269,395.695
"rplS",11707.1,11072.2
"trmD",12884.1,11648.9
"rimM",17346.8,15595.7
"rpsP",15129.6,14655.9
"ffh",3136.51,3404.6
"ypjD",1141.23,1492.64
"grpE",1609.37,1191.88
"nadK",618.413,481.588
"recN",3185.94,651.098
"bamE",2573.37,3124.71
"yfjF",1379.11,2122.37
"ratA",1991.43,2646.38
"smpB",3146.86,3405.13
"ssrA",16235.7,12580.2
"intA",585.193,305.844
"yfjH",331.307,258.471
"alpA",297.137,118.219
"yfjI",276.179,112.424
"yfjJ",283.303,130.908
"abpB",362.424,260.178
"abpA",896.968,651.938
"yfjM",820.823,593.96
"rnlA",2470.58,2845.87
"rnlB",3340.63,3090.62
"yfjP",364.202,142.072
"yfjQ",311.475,116.072
"yfjR",338.298,177.079
"ypjK",292.711,155.145
"yfjS",222.601,117.995
"yfjT",371.818,187.543
"yfjU",533.715,305.263
"yfjV",157.753,127.378
"yfjW",330.864,220.234
"yfjX",287.511,123.212
"yfjY",245.492,71.8267
"yfjZ",288.906,91.9829
"ypjF",490.445,235.54
"ypjA",337.827,133.175
"pinH",219.726,108.432
"ypjB",202.72,70.7983
"ypjC",115.395,28.3919
"glaH",339.371,213.097
"lhgD",294.415,138.866
"gabD",105.103,57.948
"gabT",214.869,124.556
"gabP",178.799,76.3063
"glaR",490.287,359.139
"kbp",699.351,658.372
"yqaE",555.619,636.919
"ygaV",344.279,364.413
"ygaP",304.704,261.047
"stpA",709.322,1356.45
"alaE",1334.95,817.491
"ygaC",656.887,501.592
"ygaM",212.763,71.4074
"nrdH",626.506,514.66
"nrdI",311.128,205.1
"nrdE",426.846,208.041
"nrdF",163.944,98.8412
"proV",573.302,342.095
"proW",268.513,137.574
"proX",372.338,307.512
"ygaY",338.319,155.861
"ygaZ",711.018,718.105
"ygaH",505.84,541.229
"mprA",1998.04,2343.84
"emrA",897.409,716.126
"emrB",306.864,264.583
"luxS",2251.66,1811.91
"micA",1878.88,376.15
"gshA",2926.88,2492.43
"yqaA",2929.99,2177.56
"yqaB",2630.07,1727.88
"csrA",3714.52,4754.29
"alaS",5180.44,6180.56
"recX",870.206,302.468
"recA",4280.56,3506.18
"pncC",1027.93,962.976
"mltB",798.333,718.84
"srlA",223.943,96.201
"srlB",268.47,93.8832
"srlD",255.576,107.586
"gutM",261.825,149.364
"srlR",699.973,771.515
"gutQ",370.812,316.921
"norR",797.089,455.87
"norV",402.223,237.647
"norW",681.364,297.857
"hypF",422.98,211.533
"hydN",348.221,176.916
"ascG",702.663,447.622
"ascF",465.272,209.593
"ascB",370.851,181.758
"hycH",730.638,630.395
"hycG",363.685,237.077
"hycF",409.214,181.216
"hycE",447.359,215.735
"hycD",338.502,184.053
"hycC",451.694,234.269
"hycB",85.3369,27.3357
"hycA",306.485,111.321
"hypA",337.044,233.9
"hypB",503.765,384.231
"hypC",361.905,284.944
"hypD",325.966,219.078
"hypE",523.197,321.176
"fhlA",397.646,210.022
"ygbA",475.351,203.945
"mutS",798.805,958.896
"pphB",557.497,310.536
"ygbI",1176.86,910.881
"ygbJ",363.991,152.575
"ygbK",546.446,465.561
"ygbL",501.1,272.256
"ygbM",471.96,246.493
"ygbN",369.332,188.126
"rpoS",2539.08,2406.25
"nlpD",4453.21,4956.46
"pcm",1099.76,1710.03
"umpG",1022.68,1984.65
"truD",965.628,2053.14
"ispF",698.798,1794.36
"ispD",438.719,1267.24
"ftsB",1023.64,2878.61
"ygbE",453.414,367.7
"cysC",208.805,189.7
"cysN",320.194,165.538
"cysD",209.963,77.5444
"iap",1318.33,1559.87
"cas2",475.098,324.982
"cas1",457.608,242.792
"casE",390.078,312.424
"casD",295.033,259.898
"casC",374.431,252.151
"casB",230.234,192.051
"casA",186.567,133.942
"cas3",243.717,158.069
"cysH",232.039,148.376
"cysI",373.299,197.124
"cysJ",357.349,203.127
"queD",1894.19,1751.56
"ygcN",687.828,620.272
"ygcO",299.331,147.961
"ygcP",448.548,272.958
"ygcR",342.131,144.707
"ygcS",162.87,134.143
"ygcW",219.337,100.689
"yqcE",286.692,148.931
"ygcE",301.661,105.886
"queE",667.95,730.479
"ygcG",248.985,92.2036
"eno",2077.31,4340.91
"pyrG",3204.54,6608.11
"mazG",612.777,762.381
"mazF",1.97977,5.35685
"mazE",4.92332,0.988873
"relA",1586.98,2079.24
"rlmD",667.63,895.03
"barA",536.519,502.289
"gudX",404.979,252.104
"gudP",259.275,108.088
"yqcA",279.625,317.38
"truC",653.562,729.893
"yqcC",1027.91,1194.58
"csrB",3373.24,5397.5
"syd",978.933,682.948
"queF",1427.41,1635.76
"ppnN",766.939,590.109
"sdaC",2486.08,2348.17
"sdaB",1801.55,1718.04
"ygdG",941.332,576.364
"fucO",435.86,173.624
"fucA",330.24,138.708
"fucP",625.217,144.185
"fucI",471.504,211.564
"fucK",365.152,183.506
"fucU",611.094,548.653
"fucR",501.239,290.375
"rlmM",1919.23,1635.78
"ygdD",2999.15,3324.25
"gcvA",724.283,743.125
"gcvB",16109.3,13798
"ygdI",485.597,259.62
"csdA",3242.52,2451.54
"csdE",1923.94,1610.67
"tcdA",2047.84,1792.8
"mltA",872.158,1058.83
"argA",660.435,341.351
"recD",293.528,243.603
"recB",624.748,542.334
"ptrA",614.817,491.439
"recC",465.685,324.108
"ppdC",363.302,264.179
"ygdB",497.429,326.663
"ppdA",282.396,137.834
"thyA",1641.25,3001.96
"lgt",1223.88,1794.91
"ptsP",1369.45,1219.25
"rppH",2806,2615.41
"mutH",782.582,459.904
"ygdQ",1145.78,1095.39
"ygdR",1459.98,1341.19
"tas",1047.41,897.799
"lplT",476.628,334.871
"aas",492.076,374.791
"omrA",507.673,329.863
"omrB",402.404,189.906
"galR",625.828,537.235
"lysA",519.411,170.411
"lysR",485.867,270.515
"ygeA",805.477,542.688
"araE",260.494,231.892
"kduD",387.361,250.149
"kduI",342.931,221.394
"yqeF",299.866,197.959
"yqeG",1097.29,950.48
"yqeH",177.338,87.606
"yqeI",239.165,193.054
"yqeJ",273.12,173.625
"yqeK",158.159,43.4147
"ygeF",303.336,86.4932
"ygeG",225.883,64.108
"ygeH",313.401,89.1448
"ygeI",121.068,71.5554
"pbl",171.858,48.9144
"ygeK",177.278,82.5081
"ygeL",225.942,65.0299
"ygeN",220.563,212.942
"ygeO",520.13,344.343
"ygeP",1161.19,1124.52
"ygeQ",2098.76,1949.95
"xdhA",263.932,119.936
"xdhB",303.486,114.442
"xdhC",381.671,129.435
"ygeV",603.147,346.859
"ygeW",333.316,216.529
"ygeX",313.14,163.873
"ygeY",391.387,196.337
"hyuA",189.755,96.3955
"yqeA",254.634,171.909
"yqeB",347.935,171.263
"yqeC",356.461,177.664
"mocA",368.793,485.884
"ygfK",156.482,87.1894
"ssnA",323.587,126.669
"ygfM",313.222,132.541
"xdhD",972.354,976.515
"xanQ",263.526,103.301
"guaD",411.695,203.077
"ygfT",351.676,137.581
"uacT",314.56,127.266
"idi",491.52,423.678
"lysS",4440.53,5815.16
"recJ",1236.34,1352.92
"dsbC",2525.43,2684.91
"xerD",2539.5,2466.01
"fldB",1180.46,1446.28
"ygfX",1357.86,1404.01
"sdhE",2201.91,2072.41
"ygfZ",1478.03,1574.12
"yqfA",558.263,502.388
"yqfB",1053.61,1305.22
"bglA",1541.69,1315.32
"ygfF",339.9,157.034
"gcvP",739.003,759.238
"gcvH",1256.41,1928.19
"gcvT",767.23,810.749
"ubiI",368.291,607.453
"ubiH",1063.66,1411.3
"pepP",1178.09,1674.1
"ygfB",1825.01,2740.65
"zapA",5931.77,4711.59
"ssrS",11224.9,9080.96
"fau",648.884,325.418
"sibC",1761.26,1241.81
"serA",503.548,711.246
"rpiA",1395.03,1719.98
"yqfE",202.084,80.8564
"argP",722.868,529.09
"argK",360.042,169.39
"scpB",293.848,147.055
"scpC",271.72,133.441
"yggE",1675.14,3058.42
"argO",920.05,1345.97
"mscS",2209.48,2983.84
"fbaA",1861.48,2703.5
"pgk",2299.23,2730.51
"epd",2386.31,1632.25
"yggC",1363.05,763.82
"fumE",1418.9,1240.81
"yggF",294.058,172.412
"cmtA",329.02,164.507
"cmtB",221.8,76.8173
"tktA",2402.36,3703.42
"loiP",1406.82,2212.87
"speB",3885.28,5595.25
"speA",3255.56,3280.86
"yqgB",1211.05,1791.34
"yqgC",315.324,223.835
"yqgD",234.046,98.2468
"metK",3770.52,7114.27
"galP",481.473,514.519
"yggI",586.569,319.823
"endA",628.435,342.584
"rsmE",1065.57,1015.8
"gshB",1675.79,1498.96
"yqgF",1597.53,2381.65
"yggR",489.215,200.98
"yggS",858.06,2241.52
"yggT",2345.6,4379.88
"yggU",1654.51,2742.66
"rdgB",1129.07,1906.68
"hemW",740.868,873.383
"yggM",431.562,202.31
"ansB",876.337,506.975
"yggN",2153.1,1630.44
"yggL",3502.16,3460.33
"trmB",2945.4,2421.15
"mutY",1041.26,1148.34
"yggX",1155.46,1584.04
"mltC",718.831,633.454
"nupG",500.751,293.665
"speC",538.718,723.682
"yqgA",439.027,207.931
"yghD",439.295,235.365
"yghE",344.482,247.168
"yghF",450.414,243.021
"yghG",364.554,284.85
"pppA",407.623,386.762
"glcA",215.61,188.417
"glcB",408.583,391.762
"glcG",489.896,333.274
"glcD",357.543,154.695
"glcC",268.915,185.018
"yghO",308.061,126.311
"yghQ",381.408,219.707
"yghR",351.908,160.549
"yghS",274.795,148.381
"yghT",290.274,136.267
"pitB",288.739,145.647
"gss",374.587,234.885
"yghU",406.482,395.661
"hybG",817.482,587.208
"hybF",298.352,230.517
"hybE",1118.16,782.327
"hybD",1368.17,1045.04
"hybC",1043.26,969.856
"hybB",411.895,661.67
"hybA",693.439,1059.71
"hybO",779.816,1076.21
"yghW",341.139,204.039
"gpr",354.231,243.926
"yqhA",1071.67,3126.38
"yghA",302.355,149.569
"exbD",2751.91,2058.02
"exbB",1078.29,448.924
"metC",425.018,288.122
"yghB",846.868,813.81
"yqhD",593.061,511.691
"dkgA",362.101,201.37
"yqhH",330.946,160.702
"ftsP",1986.75,2437.89
"plsC",3219.8,3654.16
"parC",2935.12,2183.14
"ygiS",5609.14,3592.6
"mqsA",11.7185,11.0939
"mqsR",10.1365,9.99413
"ygiV",778.29,675.865
"ygiW",859.31,1279.3
"qseB",495.965,308.854
"qseC",411.147,231.938
"ygiZ",300.585,136.742
"mdaB",1145.69,1278.46
"ygiN",1639.94,1486.41
"parE",894.829,1250.16
"yqiA",1715.77,1791.85
"cpdA",2166.42,2242.74
"yqiB",1306.99,1229.24
"nudF",1400.8,1426.59
"tolC",2524.47,4604.33
"ygiB",1217.17,1596.38
"ygiC",911.504,1119.4
"ygiD",431.694,230.9
"zupT",820.456,767.826
"ribB",1150.94,1251.42
"ubiK",1429.64,2215.79
"ygiL",405.838,491.195
"yqiG",347.579,288.225
"yqiH",253.444,157.428
"yqiI",314.204,136.363
"glgS",650.6,717.29
"yqiJ",492.326,373.5
"yqiK",232.353,114.192
"sibD",11541.8,6955.31
"hldE",1103.73,660.326
"glnE",534.202,501.79
"ygiF",1476.36,1635.67
"ygiM",852.943,754.201
"cca",1180.87,763.716
"bacA",2070.1,2762.76
"plsY",912.124,757.488
"ttdR",296.26,129.876
"ttdA",411.12,166.261
"ttdB",297.27,168.66
"ttdT",355.002,148.862
"tsaD",1788.26,1409.37
"rpsU",9312.75,11097.8
"dnaG",5581.51,4418.65
"rpoD",8290.5,7587.96
"mug",829.604,973.492
"nfeF",702.065,340.668
"nfeR",1532.85,1078.75
"aer",514.29,392.078
"ygjH",299.549,155.466
"ebgR",506.813,424.927
"ebgA",130.266,77.2667
"ebgC",290.333,107.736
"ygjI",442.331,181.039
"ygjJ",247.569,129.663
"ygjK",305.966,158.94
"fadH",270.776,132.517
"higA",831.259,759.22
"higB",801.096,901.15
"rlmG",1331.04,1308.15
"ygjP",1064.5,904.324
"ygjQ",347.962,215.08
"ygjR",309.428,227.129
"sstT",960.896,735.565
"ygjV",505.466,243.195
"uxaC",445.206,161.808
"exuT",360.819,251.17
"exuR",2277.48,1886.78
"yqjA",1675.57,1845.95
"mzrA",928.559,1178.06
"yqjC",1163.92,1584.94
"yqjD",1303.22,1746.5
"yqjE",374.244,464.254
"yqjK",618.635,554.659
"yqjG",202.364,169.471
"yhaH",468.468,490.718
"yhaI",326.531,209.007
"yhaJ",772.95,678.998
"yhaK",429.501,212.945
"yhaL",955.234,742.564
"cyuP",403.474,218.336
"tdcF",264.319,194.911
"tdcE",288.489,222.115
"tdcD",233.687,193.367
"tdcC",291.894,222.619
"tdcB",378.768,201.486
"tdcA",331.517,185.004
"tdcR",203.198,83.1614
"yhaB",317.866,107.661
"yhaC",274.746,107.882
"rnpB",13622.9,10415.2
"garR",190.055,144.825
"garL",270.692,174.305
"garP",217.271,92.627
"garD",416.284,171.575
"prlF",751.112,790.527
"yhaV",717.545,836.305
"kbaZ",250.756,85.9933
"agaV",255.428,120.403
"agaW",269.961,111.172
"agaA",431.182,191.585
"agaS",176.848,79.6817
"kbaY",185.026,116.902
"agaB",242.402,107.956
"agaI",287.841,142.649
"yraH",411.48,357.25
"yraI",278.77,107.333
"yraJ",455.345,271.175
"yraK",333.996,203.438
"rsmI",778.993,921.125
"lpoA",930.458,1179.35
"yraN",1386.27,1466.53
"diaA",1614.65,1924.01
"dolP",1429.65,1755.87
"yraQ",1359.63,1350.62
"yraR",803.273,560.37
"yhbO",368.883,115.373
"yhbP",416.991,292.968
"yhbQ",815.749,766.905
"yhbS",888.835,749.29
"ubiT",1625.71,1523.34
"ubiU",215.686,111.686
"ubiV",361.18,141.964
"yhbW",351.082,194.739
"mtr",628.964,373.191
"deaD",11248.7,10743.6
"nlpI",13754,12660.4
"pnp",10954.1,9096.69
"sraG",321.426,134.966
"rpsO",9673.73,9664.31
"truB",6274.45,5414.26
"rbfA",6379.48,5490.76
"infB",8835.57,8722.25
"nusA",10530.1,10713.8
"rimP",12275.1,10538.1
"argG",778.872,566.052
"yhbX",384.309,174.009
"secG",9366.72,9790.32
"glmM",1264.21,1779.05
"folP",1283.9,1237.47
"ftsH",5801.03,5505.48
"rlmE",3510.22,3307.62
"yhbY",4151.41,4672.5
"greA",4809.89,5418.12
"dacB",924.806,948.796
"obgE",5558.9,7743.06
"yhbE",7087.72,7708.51
"rpmA",9027.93,11423.1
"rplU",14061.3,12272.8
"ispB",3215.77,4098.63
"sfsB",622.224,434.633
"murA",2297.1,2644.93
"ibaG",3349.69,4199.01
"mlaB",3236.81,4217.74
"mlaC",3725.67,4755.56
"mlaD",3511.78,5228.13
"mlaE",1804.13,2594.89
"mlaF",2166.89,2827.42
"yrbG",1640.51,1530.98
"kdsD",2776.86,2668.74
"kdsC",3478.1,3879.87
"lptC",3341.72,3856.47
"lptA",3030.31,4072.19
"lptB",2547.92,3318.74
"rpoN",3724.53,4729.81
"hpf",4718.24,5654.37
"ptsN",2368.84,2684.55
"rapZ",1280.5,1645.79
"npr",813.356,618.194
"yrbL",2712.35,3028.37
"mtgA",496.426,468.209
"elbB",1098.84,1219.52
"arcZ",266.487,201.911
"arcB",529.338,547.924
"gltB",630.295,673.36
"gltD",183.166,209.883
"gltF",642.363,711.993
"yhcA",470.188,311.548
"yhcD",319.196,150.145
"yhcF",762.366,849.848
"yhcG",690.145,347.934
"nanK",291.338,198.586
"nanE",227.458,154.021
"nanT",255.436,128.858
"nanR",791.175,837.803
"dcuD",234.774,65.2988
"sspB",3484.3,4493.55
"sspA",5283.25,7325.65
"rpsI",13347.5,13132.9
"rplM",14463.1,13953.8
"zapE",215.211,258.287
"zapG",4151.3,4898.14
"degQ",825.444,847.14
"degS",627.436,758.904
"mdh",3169.64,4555.46
"argR",1833.97,1853.94
"yhcN",1803.28,2572.15
"yhcO",328.121,146.639
"aaeB",663.349,680.322
"aaeA",761.562,942.762
"aaeX",1082.35,1471.28
"aaeR",1361.58,1105.24
"tldD",889.684,825.24
"rng",1661.54,1080.08
"yhdE",2083.74,2174.24
"mreD",1965.65,2362.85
"mreC",2873.26,3473.85
"mreB",3461.28,3775.37
"csrD",1863.46,1238.62
"yhdH",634.706,562.146
"accB",4589.59,5424
"accC",3012.48,3943.65
"yhdT",1329.4,1430.78
"panF",1676.94,1817.21
"prmA",1376.33,1895.99
"dusB",14763.2,13617.4
"fis",11988.6,14438.1
"yhdJ",1026.91,581.123
"yhdU",493.657,346.327
"envR",310.506,103.426
"acrE",528.268,252.612
"yhdV",152.05,67.2506
"yhdW",297.323,138.405
"yhdX",302.199,128.163
"yhdY",236.177,103.202
"yhdZ",299.927,232.494
"yrdA",796.766,824.338
"yrdB",930.27,1031.11
"aroE",1022.48,1485.2
"tsaC",1572.39,2113.32
"smg",3686.72,3364.78
"def",3651.25,4019.19
"rsmB",1615.39,1811.28
"trkA",1218.68,1492.91
"mscL",1523.99,2253.95
"zntR",2300.7,1265.31
"yhdN",3320.39,2335.62
"rplQ",11430.8,12935
"rpoA",15233.2,13200.6
"rpsD",15430.9,13839.8
"rpsK",17802.1,15738.9
"rpsM",15842.7,13266.4
"rpmJ",15373.7,13592.5
"secY",15516.7,13974.6
"rplO",15018.8,13343.7
"rpmD",16458.4,14051.3
"rpsE",14459.4,12211.7
"rplR",16059.2,15791.3
"rplF",18216.9,16425.3
"rpsH",19094.5,16862.7
"rpsN",16642.2,14068.4
"rplE",18457.8,15930.1
"rplX",18485.5,18148.6
"rplN",16396.3,15543.2
"rpsQ",13510.7,12924.4
"rpmC",11443.5,10811.7
"rplP",16281.1,15401.7
"rpsC",18680.8,16865.2
"rplV",14739.8,14243.1
"rpsS",17595.6,16647.7
"rplB",14575.6,13477.5
"rplW",17253.1,16348.8
"rplD",13891.8,13461.4
"rplC",18150.8,14688.5
"rpsJ",15524.1,15219.9
"gspB",883.71,672.862
"gspA",375.451,216.411
"gspC",442.953,272.4
"gspD",370.146,252.532
"gspE",401.333,182.348
"gspF",308.569,129.614
"gspG",335.017,115.821
"gspH",367.519,161.384
"gspI",299.398,117.081
"gspJ",361.181,150.095
"gspK",267.733,142.084
"gspL",334.862,144.35
"gspM",369.522,191.263
"gspO",289.671,123.076
"bfr",723.464,566.818
"bfd",777.59,626.493
"chiA",511.993,525.721
"tufA",14356.7,12908.4
"fusA",15255.2,14933.9
"rpsG",13594.6,13783.5
"rpsL",12342.8,12515.3
"tusB",1626.61,1499.36
"tusC",880.652,1046.61
"tusD",977.53,1075.19
"yheO",1569.21,1722.91
"fkpA",2039.78,3696.1
"slyX",3039.58,2545.91
