"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"paaZ",143.58,136.09,141.83,181.82,176.94,160.5,153.91,155.64,143.43,177.32,114.99,143.42,173.78,143.74,146.99,179.72,145.72,163.11
"ydhT",26.36,23.34,26.3,26.32,26.39,26.2,22.49,24.88,26.3,28.42,26.3,27.27,26.3,29.67,28.2,27.89,26.33,26.55
"yliI",113.62,152.88,168.29,215.57,202.77,175.62,210.98,211.49,287.46,208.96,254.69,289.67,225.83,220.43,229.89,243.89,241.89,281.61
"wbbJ",4900.2,5085.75,4981.11,2475.79,2832.9,2889.15,3062.76,2981.03,3303.06,3618.81,4574.4,3571.53,3356.89,3050.44,3319.41,3653.48,3496.6,3362.24
"inaA",975.13,1184.89,1035.17,2334.26,2604.06,2221.7,1301.25,1165.6,1147.14,1336.75,1615.18,1458.7,2732.45,3015.02,2765.27,920.61,642.81,966.04
"sraB",5877.97,5566.83,5598.61,2982,2990.86,3221.07,2988.94,3265.93,3305.81,2860.78,4196.5,4910.35,3158.14,2829.88,2695.94,2992.02,2977.7,3026.4
"citE",741.46,703.22,640.75,1051.58,889.04,949.83,796.29,810.35,755.46,758.15,621.56,583.55,874.08,853.78,803.85,803.2,809.3,807.09
"moaE",513.46,490.87,485.76,383.84,418.94,357.65,337.07,372.48,438.79,485.84,488.94,485.01,1011.65,852.15,875.3,486.23,573.78,561.42
"rutD",296.43,230.03,294.42,437.64,392.08,362.07,307.84,350.26,332.19,295.37,252.6,135.6,359.01,333.68,333.03,431.85,332.36,402.34
"ybdM",4.75,4.75,4.74,4.74,4.76,6.26,4.97,4.74,4.74,4.74,4.74,4.71,4.74,4.68,4.75,4.77,4.74,4.81
"yffR",300.53,296.3,279.18,367.86,386.42,332.14,357.37,324.59,324.7,292.56,322.99,214.01,387.18,322.17,344.09,324.92,351.1,321.3
"rtcR",587.46,586.22,537.11,645.35,624.05,723.93,637.8,640.5,474.66,483.95,488.01,258.1,585.76,457.81,578.41,585.44,660.25,629.67
"rhaA",1158.51,1023.62,1085.25,1466.51,1402.07,1963.92,1391.6,1456.96,875.32,1482.56,963.24,1124.65,1673.67,882.84,1045.64,1317.09,1458.39,1232.09
"dinI",1032.05,906.47,951.11,878.76,839.21,611.22,767.01,794.99,826.67,824.69,1142.63,541.84,590.7,600,747.32,788.89,635.07,728.67
"uvrB",610.45,711.46,622.54,521.75,534.01,537.03,557.74,595.32,637.46,856.87,918.61,1005.58,869.25,789.57,835.03,797.31,779.9,773.57
"tusE",3085.23,2765.88,2925.18,1903.08,2080.01,1895.24,2598.51,2428.77,2700.17,1654.61,2066.97,1310.55,1318.19,1324.19,1411.86,1481.07,2147.48,2188.61
"rsmH",1297.55,1465.11,1293.07,717.83,803.38,844.15,1389.79,1411.81,1439.58,921.33,994.55,1419.26,1251.82,1368.51,1237.46,913.93,1014.01,977.49
"yihV",345.84,403.45,309.57,411.76,402.4,439.42,368.61,367.01,310.65,541.36,393.15,403.53,454.46,421.06,403.11,423.29,447.81,405.91
"rdcB",315.64,320.69,280.68,330.98,362.89,418.43,348.36,311.01,271.7,308.19,319.51,319.46,350.81,245.93,288.64,330.69,327.96,319.75
"gcvA",552.14,541.69,523.61,484.04,484.9,462.64,566,505.45,574.31,513.15,514.81,429.43,390.78,368.47,378.53,428.8,414.47,478.67
"ychA",2269.24,2271.45,2231.29,1729.3,1653.76,1499.87,1918.31,1878.28,2315.7,1979.71,2546.68,3214.77,2190.48,1978.67,1812.86,1794.22,1775.14,1993.16
"paaB",15.58,12.66,15.6,20.16,21.59,20.73,21.59,15.89,16.81,15.61,11.55,9.31,15.79,12.83,15.82,17.35,19.68,15.93
"aceA",295.23,331.71,314.91,331.14,331.41,341.95,331.49,355.87,328.17,337.59,320.94,348.05,368.16,299.37,337.46,315.32,331.3,292.98
"motA",106.8,106.27,106.01,146.05,143.21,144.77,131.73,142.24,112.77,160.36,123.53,134.58,136.45,100.23,140.55,148.79,137.31,127.7
"ffs",3870.64,3075.21,2777.64,1290.84,1428.91,1194.55,2175.94,2041.78,2265.14,5246.54,3524.44,4450.09,2827.42,2681.74,2623.95,2251.95,3147.74,2846.53
"fucU",634.82,647.1,716.05,738.75,736.89,849.62,713.54,767.23,703.35,719.97,725.09,692.81,841.1,888.49,794.08,730.45,696.55,717.15
"yfdT",337.49,346.37,337.24,369.49,343.5,339.4,337.74,337.41,304.9,504.9,338.3,771.76,338.65,335.83,302.48,337.39,292.85,329.62
"ybjI",1721.79,1697.55,1961.58,2175.3,2126.98,1941.87,1935.62,1909.96,1968.84,1992.42,1639.99,1280.85,1866.66,2199.07,1980.94,2006.35,1809.72,1946.09
"fdnH",141.46,116.33,109.47,135.91,119.92,151.61,121.62,122.16,119.82,235.38,187.49,193.58,233.71,187.45,238.65,265.61,201.9,204.36
"narW",553.27,506.67,493,904.92,734.1,704.93,713.89,595.06,614.06,657.56,448.51,457.96,584.31,596.72,580.4,685.97,624.55,691.54
"pstB",2958.43,3213.49,2678.03,2490.42,2378.59,3210.09,3491.34,3593.48,3479.81,3547.46,2870.6,4592.91,3257.03,2776.78,2378.35,3369.79,4204,4497.69
"wcaC",292.06,324.31,244.83,390.02,390.28,378.33,2984.51,2964.45,4452.86,385.36,334.44,341.19,756.09,926.65,695.83,1390.29,1522.81,1687.09
"yjgR",658.87,660.35,569.8,737.39,724.12,824.95,680.37,711.34,602.25,575.14,571.43,657.09,763.07,660.22,643.54,643.68,660.36,689.29
"secA",6255.87,6556.48,6075.23,5873.32,6165.06,6439.69,6286.18,6052.39,6743.77,5477,5400.75,7876.64,4666.51,4751.23,4173.3,4387.9,4031.6,4760
"yggT",3895.89,3532.76,3610.43,3378.82,3131.88,3204.93,3145.56,3369.13,3565.86,2400.46,2711.18,3166.27,2256.03,2719.91,2245.58,2664.22,3147.72,3066.86
"yheO",2631.65,2589.83,2416.74,1849.03,2086.72,1962.01,2355.8,2495.97,2527.43,1774.36,2104.28,3266.84,2029.88,1820.99,1736.55,1738.11,1717.77,1954.07
"ygbK",145,140.34,138.82,194.49,190.91,193.75,145.35,158.64,151.25,133.21,114.63,109.54,161.94,140.22,127.62,157.71,114.3,143.4
"ddpX",13.73,9.57,14.62,18.15,17.22,18.19,14.95,12.1,12.91,19.75,10.18,19.99,14.65,10.71,12.85,15.57,15.85,13.66
"rpnB",258.53,260.92,257.98,342.57,269.43,260.73,276.33,261.16,260.52,358.43,273.27,261.29,259.56,260.78,239.31,260.43,280.58,292.4
"parE",3369.79,3214.45,2929.69,2344.25,2158.33,2384.04,2403.47,2534.71,2711.73,2081.02,2283.66,2755.99,2562.09,2590.28,2588.71,2087.72,2670.62,3147.5
"dkgA",1039,979.84,1054.1,1737.48,1540.83,1518.84,1665.23,1822.4,1899.45,1445.41,1215.96,1023.88,2041.51,2150.25,2173.07,1306.84,1561.35,1392.22
"aldA",275.19,347.84,324.79,195.84,212.97,173.85,149.7,173.03,202.67,127.11,98.44,261.56,172.45,153.44,173.03,127.47,109.11,133.53
"ecpD",128.03,133.92,131.09,155.54,133.95,168.16,133.84,133.71,133.73,133.74,116.73,123.68,162.51,133.79,145.08,133.78,133.84,128.42
"waaQ",1790.12,1990.86,1911.56,1288.07,1126.01,1150.32,1274.56,1260.41,1440.2,1859.19,1755.51,3446.4,1519.77,1581.79,1350.63,1424.87,1348.02,1419.99
"ygjI",315.03,289.46,279.83,327.04,351.56,335.83,289.48,296.8,259.99,280.77,235.06,238.58,280.22,281.53,256.81,283.92,222.28,279
"fliS",77.6,75.9,83.76,101.53,124.97,98.39,95.34,109.75,85.92,94.34,85.72,76.65,111.83,115.98,96.26,107.35,99.96,90.05
"yqeB",440.8,446.95,425.71,457.74,496.13,536.06,419.95,442.21,420.3,442.93,446.41,443.72,950.47,850.35,781.88,438.13,493.96,449.34
"glxR",8.55,8.75,8.73,8.73,8.87,14.59,7.17,8.73,6.56,8.84,8.93,11.03,8.75,6.58,8.74,8.73,9.13,8.74
"araJ",57.37,50.18,57.23,57.32,57.38,57.35,59.44,57.34,57.59,57.03,57.19,57.33,57.33,57.44,58.6,57.38,57.35,57.6
"ydgK",378.14,364.72,358.91,173.4,183.2,164.47,292.72,284.58,294.09,370.06,348.91,322.21,296.82,286.32,296.74,285.69,296.72,304.25
"hslJ",1598.62,1579.37,1608.47,1501.36,1588.81,1192.11,6929.38,5671.51,7317.02,1587.71,1537.5,1440.66,979.7,1413.93,1298.8,1943,2273.92,2509.31
"yjbH",11.09,10.18,10.42,14.04,15.14,14.93,75.5,84.85,115.39,11.08,11.4,11.09,16.77,14.33,11.86,27.53,56.98,35.03
"yjbI",111.38,110.55,110.33,140.5,155.86,125.14,113.97,102.16,98.46,112.61,112.7,113.29,107.73,91.62,110.53,135.54,121.44,122.38
"fliE",81.91,78.12,85.65,94.62,103.5,82.71,81.91,81.87,81.72,82.12,80.33,77.42,76.1,77.48,79.11,93.99,112.51,82
"eamB",278.5,328.92,279.96,399.84,410.21,435.36,396.86,389.63,278.46,352.84,312.35,352.1,350.54,340.42,341.07,328.08,313.69,321.92
"yhcO",86.71,106.32,77.4,115.6,140.73,125.78,115.46,106.17,105.79,108.05,105.3,121.16,106.34,106.03,126.65,95.02,104.65,90.4
"maeA",3646.99,3587.12,3775.44,3471.63,3158.8,3003.66,3227.74,3221.78,3773.79,3130.18,3152.04,4677.73,2459.12,2419.98,2812.57,2948.24,2942.02,3017.51
"yafS",1056.81,1347.45,1192.68,1274.84,1353.05,1246.85,1345.55,1406.14,1305.28,1595.18,1397.88,1390.12,1602.69,1347.9,1665.91,1204.34,1139.52,1153.16
"gadW",1108.97,996.93,1128.86,1226,1157.14,1396.06,1074.52,1188.66,1074.97,1873.51,1705.24,2396.12,1836.42,1202.42,1314.57,1379.4,1511.64,1644.86
"nrdH",1163.11,962.27,806.36,773.54,850.07,775.01,1645.19,1673.7,2091.03,756.71,762.17,399,460.58,569.71,473.71,521.86,616.12,665.2
"dcuC",55.35,47.25,53.18,61.8,61.85,60.52,60.88,60.9,61.67,467.91,200.98,290.44,2511.29,1339.07,1040.42,188.97,124.46,165.09
"hupA",9646.78,10603.29,9543.71,8369.95,7892.06,8028.98,9133.43,8977.85,9364.39,7673.55,9464.66,7685.02,8024.41,7420.35,7350.52,6324.12,5337.43,6681.18
"mdtB",665.53,626.86,615.1,890.92,782.28,782.91,802.12,860.33,808.52,707.42,673.92,520.37,694.67,591.33,662.4,897.59,766.73,752.97
"lptA",3405.65,2883.97,3530.05,2330.45,2577.72,2403.6,3158.64,2526.96,3022.5,2102.8,2504.68,2467.91,2414.41,2400.54,2654.33,2133.86,2504.33,2408.4
"allR",1442.11,1570.15,1513.26,1788.66,1790.23,1597.15,1529.55,1766.93,1890.94,2231.44,2123.9,2744.41,2307.22,2544.53,2289.72,1953.5,1782.67,2004.01
"yhbP",38.87,39.51,38.52,39.12,39.46,39.65,39.44,38.69,32.33,39.46,42.49,40.5,45.22,46.38,43.26,39.46,40.11,39.5
"deoC",2001.93,2116.05,2277.04,2385.99,2216.35,2194.83,1949.75,2015.63,2185.68,1532.91,1689.2,1220.6,4254.55,3312.14,3348,2846.93,3162.71,2343.09
"purH",867,863.99,878.95,889.22,745.85,824.53,676.9,755.6,610.49,772.05,633.53,717.23,831.64,819.09,751.2,853.42,897.4,957.79
"trhO",3273.77,4303.69,3135.84,2097.26,2100.17,1806.84,2027.63,2032.67,2140.88,693.31,712.32,439.28,500.52,571.57,581.93,859.98,710.82,948.81
"hcaE",212.4,222.31,158.33,248.7,250.26,230.28,235.2,228.93,224.1,272.58,227.5,233.62,269.93,252.03,216.81,229.29,252.48,227.93
"yicC",5535.24,5699.35,5422.33,4790.72,4590.29,4377.01,4261.47,4361.16,4320.65,5692.21,5127.63,6187.49,3913.98,4080.44,3894.54,4572.98,4781.6,4434.5
"ybhL",1625.61,1821.86,1743.83,1660.37,1594.61,1636.83,1291.15,1438.5,1424.03,2257.98,2668.92,2645.74,3115.46,2680.98,2510.1,1519.44,1675.46,1592.52
"hxpA",854.76,745.44,745.22,637.08,736.34,642.33,816.38,817.19,921.43,1102.86,1231.43,1293.53,2150.23,1977.56,1764.77,1003.79,828.63,1067.08
"recF",1893.96,2213.36,1835.71,1246.91,1299.9,1302.6,1322.23,1503.9,1460.14,1243.52,1329.24,1299.11,938.62,1015.98,892.75,1105.73,1140.61,1298.94
"glcB",433.16,485.85,485.02,528.06,582.41,484.91,532.33,495.26,488.95,460.43,392.38,395.68,461.35,514.05,543.34,483.88,387,470.71
"higA",710.08,620.23,736.24,875.72,780.39,935.07,700.33,721.72,627.76,510.26,473.06,407.66,676.7,586.19,674.12,629.09,668.25,685.59
"flk",1286.7,1197,1262.03,1194.09,1231.87,1063,1243.98,1342.76,1287.58,943.52,874.44,585.23,981.61,967.5,1064.69,963.24,1044.58,1087.54
"yaaU",732.91,634.56,757.48,937.75,1027.5,894.24,801.72,1018.99,782.91,777.66,576.58,542.78,762.24,800.16,779.39,917.87,703.25,779.97
"yeaY",1297.66,1008.22,896.17,559.8,545.74,544.86,540.72,538.87,585.44,345.13,424.91,411.66,390.51,372.4,384.08,362.48,378.53,451.4
"ydcS",5.94,8.31,11.21,11.42,11.44,11.04,11.32,10.48,11.2,13.17,11.52,11.43,29.11,30.22,39.41,11.43,11.43,12.65
"can",3752.79,3464.67,3425.82,2898.77,2873.37,3065.81,3645.78,3555.59,3756.39,1179.09,1463.2,1571.67,1126.13,1048.98,1185.47,892.14,1395.86,1260.14
"mreC",3942.64,3913.34,3713.52,2374.9,2442.25,3082.98,2778.28,2954.06,3005.77,2219.51,2418.61,4575.48,1729.89,1730.5,1666.12,2039.27,2005.56,2243.29
"yadK",760.5,801.11,733.16,974.08,984.9,944.61,908.28,868.16,765.51,796.54,757.88,900.46,819.73,771.28,840.17,795.62,895.27,794.81
"sfmF",468.18,459.72,461.97,533.96,565.38,480.55,480.65,486.86,458.19,513.01,507.59,544.68,443.34,449.35,462.98,487.95,481.08,482.99
"zinT",367.24,448.57,533.38,884.37,502.93,442.4,674.66,667.36,794.92,713.87,725.21,592.59,474.84,493.83,431.19,464.82,504,519.95
"aroC",1165.95,1199.25,1104.03,676.39,588.79,617.64,1021.81,863.32,1070.12,957.93,924.67,1569.69,599.18,658.32,693.41,782.84,909.78,760.12
"pqqL",831.87,829.73,808.03,581.64,546.65,514.71,543.33,516.17,528.5,759.72,626.3,829.41,435.68,406.85,365.48,454.02,400.43,430.93
"aroA",24.15,24.26,24.12,24.14,24.16,24.11,24.37,24.12,24.44,24.13,24.14,25.75,19.93,24.15,23.9,24.12,24.14,24.16
"hlyE",459.46,446.98,460.03,522.36,540.79,503.45,464.97,469.27,459.17,624.43,435.97,800.22,496.94,538.64,451.35,510.28,420.21,461.68
"nudL",567.49,563.94,584.67,565.44,533.88,549.42,577.24,568.25,566.26,563.79,559.51,556.44,586.96,627.58,615.8,563.26,565.19,591.62
"wcaK",7.45,7.3,7.32,15.01,15.01,14.93,22.7,35.45,61.24,13.38,7.37,8.88,19.1,19.05,16.12,100.73,74.49,108.34
"yqeI",242.84,295.63,260.71,282.24,278.08,310.03,268.52,250.9,280.49,507.34,404.61,632.29,305.41,294.86,349.37,248.09,282.37,281.41
"mdtD",2901.43,2391.9,2654.65,4653.34,4829.57,4488.41,4061.45,3854.65,3857.35,3063.62,3291.33,2060.9,3797.25,3871.09,4211.55,4992.67,4777.19,4579.18
"csgE",101.98,98.2,95.66,133.91,139.4,127.18,108.65,107.05,91.41,112,127.92,109.22,113.59,102.9,114.68,149.09,135.1,123.55
"kdsA",1937.42,1589.46,1802.85,1165.91,1265.09,1066.78,1296.49,1262.74,1481.65,1250.25,1304.59,1321.8,1274.97,1268.45,1337.07,1156.01,1155.85,1247.37
"amiA",1087.7,1108.6,1143.24,1087.69,1114.19,1114.99,1424.14,1690.57,1585.15,1104.16,1101.39,865.92,1277.5,1298.74,1175.7,1103.8,1098.21,1291.05
"gfcA",359.11,301.87,412.96,278,236.28,240.71,257.26,244.28,255.02,341.08,402.1,407.82,277.99,280.26,246.41,279.74,305.54,313.32
"puuC",540.71,639.42,568.09,965.56,910.33,784.49,656.68,637.17,656.62,571.94,547.7,382.13,829.29,658.28,690.67,757.54,703.42,739.41
"iscR",2086.59,2103.09,1921.72,1863.79,2097.78,2110.89,2852.34,2504.3,2299.55,1541.24,1673.76,1528.88,1196.38,1272.79,1295.5,1705.67,1459.84,1793.88
"pgm",1510.71,1800.87,1588.24,885.53,807.1,919.13,1275.42,1402.38,1428.3,1018.03,1266.17,2138.98,1686.33,1374.88,1282.81,1042.47,926.13,1165.22
"yiiM",274.84,270.01,299.72,242.88,281.07,312.87,305.73,275.47,259.39,299.72,321.83,324.18,410.28,308.29,337.89,319.59,395.14,262.83
"accC",4845.99,4957.07,4640.02,2809.65,2549.07,2712.81,2756.04,2993.01,3262.94,1505.38,2042.62,2379.6,932.88,1203.88,1047.81,1401.88,1818.52,1932.95
"ybaE",10.21,9.11,8.63,12.75,12.76,12.74,12.44,12.74,10.6,12.75,11.9,11.65,39.25,28.32,38.03,13.88,14.72,12.77
"smrB",1003.4,997.27,1021.48,840.54,739.98,928.25,692.68,789.23,773.72,1053.15,1312.96,1302.25,1274.81,1091.56,994.43,957.01,1055.82,963.23
"yjjX",252.26,245.77,246.19,330.83,311.51,287,276.24,298.18,271.96,291.06,259.51,224.77,278.89,320.11,325.95,281.65,296.39,289.96
"ygjP",741.24,594.25,645.03,729.9,638.64,795.36,678.06,579.22,600.68,542.77,432.5,650.26,612.14,525.2,638.98,602.66,632.66,550.15
"malQ",766.84,767.62,599.71,1082.32,998.73,1177.59,728.26,832.52,771.15,1476.81,2028.57,1237.49,2287.58,1863.21,1757.15,889.2,902.6,1016.78
"ybdL",8.03,7.17,8.66,8.74,9.13,9.33,8.94,8.95,8.74,8.68,8.75,8.74,9.6,9.03,8.78,8.76,8.74,8.75
"purK",501.49,405.9,407.84,362.41,353.67,328.86,307.29,345.1,332.88,253.28,265.69,324.45,226,180.67,232.98,319.03,322.1,324.78
"gpp",1924.86,1662.22,1895.87,1110.69,1050.05,1082.86,1356.81,1298.04,1443.69,2211.12,2061.04,3632.68,1604.97,1266.78,1172.31,1573.11,1629.69,1469.62
"yfaZ",263.56,251.09,307.9,306.13,297.32,313.7,262.13,249.93,251.49,241.93,181.2,303.6,235.72,191.81,220.47,252.08,244.3,250.41
"kdsD",5439.15,5655.15,5545.29,4789.06,4922.76,5167.15,5424.3,5014.93,5113.28,4605.33,4653.62,4486.12,4990.88,5097.48,5154.54,4983.42,5271.57,5836.11
"lysO",155.31,164.36,132.95,127.13,130.05,129.96,139.16,129.88,130.86,129.96,130,130.07,92.47,97.87,107.47,130.01,130.03,117.87
"fnr",4865.21,4894.92,4044.56,3084.38,2571.96,2288.38,1523.66,1553.46,1801.66,1728.6,1816.96,2485.38,1993.67,2247.24,2090.47,1578.17,2339.49,2139.4
"zntR",335.61,360.96,299.83,267.16,296.97,278.25,330.5,314.66,320.26,324.55,302.27,559.45,298.28,303.55,266.18,236.95,266.18,266.32
"yfgJ",351.21,383.75,355.57,319.19,319.45,319.11,318.91,319.04,322.36,319.14,319.34,319.26,254.64,279.73,282.95,319.36,277.48,319.54
"eutD",7.6,7.39,7.51,8.57,7.99,10.08,8.13,7.96,7.92,8.51,8.38,7.97,8.58,8,8,7.99,7.97,7.99
"nudK",695.44,728.57,615.71,723.97,710.89,669.93,800.07,823.55,980.04,661.76,729.12,651.54,726.74,802.67,938.82,921.46,986.89,911.27
"agaI",339.08,339.26,338.46,412.69,411.31,404.08,377.71,365.36,333.18,344.16,337.48,338.16,338.14,308.93,313.63,324.89,293.02,298.51
"ypdC",165.25,204.89,198.52,187.14,197.35,225.17,207.44,165.11,151.34,365.78,282.98,455.75,332.51,212.17,194.52,236.14,232.66,225.63
"ygiZ",319.8,314.43,329.28,397.7,408.27,475.15,360.03,330.02,290.73,259,320.62,307.67,328.27,185.09,393.49,352.97,380.6,353.56
"yibN",6813.01,7362.65,6726.28,3834.51,4168.04,4695.84,4723.14,4058.8,4381.22,4380.7,6181.21,7234.68,4121.44,3132.14,3777.19,4118.42,4716.5,4189.42
"yqiK",46.52,55.65,42.17,61.27,62.47,63.31,80.17,55.53,49.86,58.06,47.86,54.54,77.03,54.7,61.25,55.58,46.17,39.87
"gabP",82.14,128.99,86.99,162.02,147.95,149.18,118.09,97.83,109.55,114.49,108.06,114.63,124.47,113.21,119.02,109.26,114.62,111.12
"ychJ",3406.88,3769.4,3641.85,2469.78,2276.76,2320.75,2718.15,2545.87,2469.2,2472.06,2843.25,2691.11,1876.06,2242.25,2072.24,1754.06,2122.73,2270.07
"brnQ",3558.24,3717.4,3625.77,2448.75,2342.21,2466.64,3331.91,3296.93,3644.77,4198.63,4486.23,5186.23,2172.01,2291.75,2050.81,2515.57,2198.36,2588.19
"ybhC",303.81,318.82,320.01,109.95,105.04,129.38,138.62,115.07,152.36,136.47,102.23,288.9,76.01,71.07,76.11,114.23,100.99,109.94
"ispH",1362.02,1758.94,1621.02,1050.23,1004.28,1151.22,1693.95,1720.16,1820.16,1265.81,1178.93,2479.58,1041.76,1039.94,847.64,860.73,928.5,1074
"talA",449.82,347.46,417.46,628.1,729.79,566.97,966.54,1038.22,1362.1,681.31,693.17,709.08,789.17,840.63,907.45,814.23,1031.05,859.58
"fliD",195.7,160.06,225.01,239.82,285.64,301.25,260.91,217.11,123.19,159.13,197.2,73.71,248.83,188.01,209.99,247.87,238.18,251.64
"yfdL",60.52,67.33,55.74,67.61,78.72,67.82,68.79,66.91,67.24,97.87,70.89,95.82,66.88,36.7,58.77,66.63,69.36,67.4
"ais",501.19,539.38,420.42,601.96,655.96,712.67,519.08,514.07,440.37,568.7,535.24,561.28,408.25,389.57,450.82,581.23,586.93,475.49
"ygcG",107.85,99.37,97.42,143.04,135.63,139.61,122.9,107.8,108.83,140.21,104.61,133.47,100.42,85.93,106.09,86.71,108.06,107.76
"ampD",677.06,829.01,706.24,864.02,888.59,909.99,801.62,929.86,922.09,1133.86,1225.3,1392.85,2180.53,1837,1518.25,964.91,865.89,925.67
"gapA",25322.91,28449.09,25878.13,29066.52,27828.42,30091.66,27840.94,28145.11,28788.89,29773.45,31871.22,35085.93,38391.34,36087.45,33810.88,28517.59,29542.08,27614.52
"aroF",649.85,695.23,696.87,411.92,415.11,416.83,759.19,721.13,661.39,533.3,571.38,792.73,573.41,419.08,481.63,425.51,371.62,489.21
"ydjG",435.78,471.94,433.92,578.2,505.64,505.2,487.2,514.55,521.84,632.21,505.59,630.71,505.5,508.31,507.05,505.42,466.46,506.23
"plsB",3561.64,3694.98,3229.88,4106.65,3423.05,3790.25,2641.17,2739.84,2917.08,2079.13,2188.82,3116.07,2989.8,3523.03,2997.59,2470.82,2452.58,2753.54
"lolA",2557.46,2523.54,2781.07,2547.16,2074.76,2020.38,3990.29,4268.71,4755.97,2570.48,2859.61,2896.94,3562.38,3537.84,3209.98,3375.3,2973.85,3653.22
"rpnC",375.48,327.45,339.88,497.1,421.19,493.35,371.25,407.04,401.05,444.52,282.97,569.22,463.96,362.82,345.82,309.96,345.86,313.04
"sibD",340.78,337.33,425.09,434.63,442.65,499.76,412.78,399.65,431.55,329.39,557.63,346.31,454.96,434.75,519.05,393.72,482.74,442.98
"mdtF",404.09,416.83,452.16,488.08,469.34,570.77,506.09,443.43,332.45,491.77,381.04,513.24,424.26,328.33,385.6,445,461.91,430.89
"guaC",831.85,716.02,742.19,512.17,543.4,476.7,537.54,545.37,469.12,518.8,499.93,899.36,655.44,531.56,628.3,539.69,563.67,559.02
"ymdA",27.49,26.6,27.63,39.03,31.22,31.91,27.78,27.77,25.47,25.96,27.82,27.79,27.76,24.91,29.76,29.34,30.73,32.63
"mgtA",1335.13,1643.13,1719.37,2471.67,2405.38,2404.36,1715.16,1807.35,1975.69,1130.21,2439.61,2111.86,2576.23,1845.16,1329.56,1433.74,1064.7,1422
"feoC",1217.64,1292.16,999.09,1280.21,1160.21,1316.66,1328.62,1198.33,1284.04,4915.93,4831.68,5459.4,4766.76,4996.57,4014.24,3074.65,3421.66,3646.95
"nusB",3799.15,4241.64,4046,1789.78,2154.48,1881.57,2489.43,2434.79,2441.01,2302.75,2153.13,2620.56,1655.29,1566.9,1594.21,1868.03,1729.98,1982.85
"tas",1878.43,1585.14,1849.39,2350.83,2463.58,2073.16,2419.7,2561.85,2903.3,2011.09,1660.38,1521,2202.79,2654.19,2436.41,1946.7,1765.84,1805.61
"yddJ",26.86,24.71,26.69,27.09,33.65,32.25,28.58,24.57,22.48,24.15,26.72,24.64,27.78,20.83,26.73,26.71,27.08,26.73
"ydeQ",216.41,251.04,243.12,250.82,252.32,254.97,250.49,250.18,250.54,344.24,257.13,344.81,250.5,239.95,226.61,233.76,276.63,250.92
"yceB",438.2,493.28,578.32,536.85,532.45,495.53,1131.31,1002.7,1071.65,639.9,672.85,510.99,690.38,722.83,716.23,640.02,636.65,651.92
"yqjD",2995.64,2509.6,2729.43,3390.48,3453.34,2969.19,4996.5,5993.78,6039.97,3246.18,3191.6,3576.75,5255.81,5722.65,5305.41,3793.67,3581.8,4145.79
"macA",463.04,485.64,461.53,505.74,427.2,328.91,470.19,468.86,551.47,551.93,593.13,462.04,766.95,760.83,663.08,556.28,529.09,580.63
"cspD",195.31,193.07,256.43,263.48,262.32,235.2,221.64,218.73,246.48,289.66,549.04,150.21,1501.54,1588.8,2010.61,437.42,352.19,470.25
"eutM",512.3,530.28,524.56,656.07,614.62,557.44,552.36,571,548.13,559.35,558,372.66,558.23,574.3,560.54,672.06,597.97,561.31
"ydcR",4.71,5.12,4.69,4.69,4.69,4.68,4.73,4.68,4.73,4.7,4.68,4.68,4.66,4.71,4.69,4.68,4.68,4.69
"lptC",4131.15,4228.75,3995.81,2970.44,3211.87,3174.86,3333.72,3407.89,3721.11,3262.4,3731.29,3149.68,3242.7,3497.74,3512.09,3031.08,3720.37,3584.65
"mntH",633.18,714.82,850.73,534.18,588.54,520.53,602.22,681.44,576.92,719.93,743.66,928.81,326.95,376,314.69,350.61,379.13,364.85
"rnpA",11465.58,12913.27,11430.82,7410.19,7349.96,7751.49,8384.91,7734.22,7829.92,6740.55,7919.76,13844.3,3456.35,3980.84,3556,5988.99,7444.76,7336.29
"rpoC",15608.28,16722.91,13637.47,10920.17,9432.58,11009.33,10634.23,10456.12,10446.11,11257,11338.99,11056.62,13053.49,11816.34,12524.98,10702.08,11152.23,10955.02
"yhhJ",387.68,393.09,363.64,473.5,520.15,647.12,470.77,453.19,339.63,467.92,380.92,531.36,556.3,365.04,355.88,398.9,494.76,472.87
"ydjF",1065.33,1068.35,1033.08,1067.01,1213.97,1147.41,1086.11,1054.91,962.76,1038.78,1025.69,1032.82,1268.88,1393.5,1247.61,1067.63,1090.8,1033.83
"purL",1747.29,1741.83,1648.78,2005.18,1665.79,1772.98,1382.43,1501.95,1348.04,2052.33,1926.06,1798.65,1583,1713.45,1563.12,2034.74,2085.48,2015.44
"btuR",307.13,275.53,285.55,275.99,252.92,288.21,382.09,420.98,479.52,237.19,234.43,224.16,467.75,496.93,464.59,305.99,330.55,324.11
"cecR",991.52,997.01,864.02,1853.12,1886.99,1703,2199.23,2343.35,2562.35,2738.28,2499.61,1788.29,2730,3455.89,3590.98,2364.65,2435.42,2158.61
"narK",229.59,171.36,217.62,259.72,259.7,225.55,238.12,252.18,206.42,3359.45,3142.33,2676.53,5329.56,8645.27,5953.82,4329.78,2615.9,3303.59
