"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"gshB",2042.1,1964.78,1792.06,2260.73,2019.82,1951.02,2705.04,2694.42,3126.88,1536.36,1653.77,1926.33,2476.74,2912.97,2815.99,1624.13,1703.17,1652.74
"cadB",373.73,363.67,349.34,401.93,342.03,407.92,414.84,363.52,294.93,295.19,332.36,546.34,314.75,258.38,250.66,282.06,314.66,332.17
"sgbU",101.27,100.12,96.62,121.35,146.38,173.49,110.79,107.19,82.73,107.1,96.55,64.38,149.21,87.54,104.58,123.03,115.52,107.41
"narY",30.62,30.71,30.58,40.49,30.67,31.19,30.57,30.51,30.44,30.59,30.44,25.54,30.58,30.68,30.76,37.38,30.57,30.85
"yhfA",3359.41,3351.02,3439.9,3195.44,2908.56,2947.84,3163.59,3346.43,3434.78,3873.51,3971.9,2705.24,4679.82,4781.88,4577.96,3356.08,3330.34,3180.92
"ynaI",28.18,28.2,28.14,28.16,28.2,28.15,28.14,26.01,27.51,28.14,28.17,28.17,28.18,30.29,28.88,28.15,29.74,28.19
"cca",1035.24,887.54,864.93,1085.05,1051.06,1034.17,1105.47,1039.53,1518.07,525.1,452.87,439.41,829.03,935.48,915.34,656.62,680.34,731.53
"alr",2245.02,2500.21,2370.13,1765.24,1849.05,1698.96,2140.71,1969.15,1912.51,2341.82,2140.91,2605.27,1512.74,1660.83,1434.51,1788.49,1615.82,2025.25
"dolP",2947.84,2611.53,2623.63,2932.86,2962.03,2792.42,3187.27,3337.26,3510.15,2151.8,2299.78,2176.19,3895.08,4032.95,3700.45,2296.67,2924.86,2958.5
"gmm",248.77,248.88,199.64,522.19,598.24,588.57,5322.4,6641.09,9832.65,282.64,248.52,177.09,1282.16,1322.21,1250.8,4719.35,5306.37,5404.47
