"","3000","3000 | 1","0","0 | 1"
"tgt",2100.8,1814.8,2530.2,2183.3
"yajC",5078.1,5216.6,5209.3,4368.6
"secD",3458.6,2949.4,3323.7,2193.7
"secF",3581.3,2784.9,3496.8,2186.2
"yajD",696.1,564.4,1178.7,1416.9
"tsx",1755.4,1368.1,3162.6,1820.7
"nrdR",2503.7,2071.3,2163.6,1792.5
"ribD",3025.9,2474.5,2198.3,1641.4
"ribE",4480.6,4155.4,4831.3,4144.4
"nusB",2020.6,1669.3,2463.3,1810.4
"thiL",1167.9,990.1,1206.9,1124.8
"pgpA",1470.9,1084.4,1236.4,1042.9
"yajO",3281.2,2698.4,1272.6,1469.6
"dxs",2380.7,1875.5,2085.6,1835.3
"ispA",3117,2385.3,2799.9,2206.4
"xseB",2298.8,1934.2,2471.1,2054.3
"thiI",1594.7,1347.5,1493.6,1477.1
"yajL",676.2,521,377.2,394.3
"panE",1935.2,1547.7,1203.7,1210
"yajQ",3328.2,3245.5,2940.2,2564.9
"yajR",470.9,313.3,536,362.1
"cyoE",3253.9,2737.4,3752.8,3123.5
"cyoD",4965.8,4518.2,6180.8,5024.4
"cyoC",5722.2,5579.5,6619.7,4893
"cyoB",5708.8,5363.9,6168.7,5094.4
"cyoA",6292.4,6052.1,6782.7,5839.4
"ampG",674.4,440.9,1344,867.1
"bolA",2001.1,1746.2,1154.1,2105.1
"tig",4752.7,4727.7,5404.2,4941.4
"clpP",3833.7,3434.6,2893.5,3028.3
"clpX",6136.8,5083.4,4222.7,4581.5
"lon",4022.9,3417.4,2746,2599.8
"hupB",4476.3,4054.8,5179.7,4310.7
"ppiD",3612.7,3063.5,3276.6,2718.3
"ybaV",332.6,197.7,298.7,382.1
"fadM",215.9,168.8,117.2,169
"queC",1285.2,1156,1085.6,1289.8
"ybaE",64.5,67.9,34,33.2
"cof",802.5,710.1,706,690.9
"mdlA",467.3,220.7,327.1,199.4
"mdlB",366.7,225.1,266.3,243.1
"glnK",1234.3,1696.7,6258.5,6520.7
"amtB",872,1220.5,5391.4,5501.3
"tesB",1651.3,1422.6,957.2,1045.4
"ybaY",3382.5,2650.8,674.8,1307.5
"ybaZ",430.2,358.4,299.8,465.4
"ffs",2524.8,5976.4,2425.8,2303.3
"ybaA",374,296.3,118.3,224.8
"pdeB",636.4,363.7,358.1,423.9
"ylaC",1868.8,1546.8,1396.2,1588.5
"maa",617.1,320.8,580,388.2
"hha",3552.7,2569.4,3439,3312.7
"tomB",3169.6,2331.7,2248,2449.6
"acrA",3045.6,2843.3,2430.2,2359.4
"acrR",144.2,149.4,210.5,269.7
"mscK",670.7,545.2,619.2,621.7
"ybaM",354.4,305.8,500.9,541.8
"priC",848.7,676.7,555.9,557.6
"ybaN",3410.5,3135.3,1681.5,2272.6
"apt",2844.8,2685.3,2843.6,3119.9
"dnaX",2775.9,2032.7,2273.4,2402.6
"ybaB",6928,6600.7,5230.2,5771.4
"recR",3308,3360.9,3252.5,3638.9
"htpG",3008.3,2269.3,1382.5,1534.3
"adk",4714.7,4792.2,5239.9,5099.9
"hemH",484.6,366.5,407.8,383.3
"aes",92.2,54.1,43.2,45.2
"gsk",1467.4,1233.1,1713.8,1066.6
"ybaL",1236.1,1095.5,915.8,735.1
"fsr",707.8,600.6,285.7,144.8
"ushA",1448.1,1342.3,1112.8,1175.4
"ybaK",862.1,919.7,715,844.4
"ybaP",981.7,878.4,805.8,744.8
"ybaQ",2311.5,2018.9,1833.6,2124.3
"copA",566.2,472.8,267.8,195.6
"glsA",1327.1,872.6,1376.7,1819.9
"ybaT",674,383.4,760.3,969.4
"cueR",2704.5,2233.1,1907.8,1956.5
"ybbJ",642.6,518,432,383.1
"fetA",502.7,428.6,459.6,596.4
"fetB",364.9,288.4,336.5,406.3
"cnoX",2775.7,2592.5,1897,2247
"ybbO",2291.1,1803.7,1957.2,1730.3
"tesA",1833.3,1674.7,1229.8,1377.3
"ybbA",719.4,512.3,463.2,431.9
"ybbP",352.6,264.4,257.8,239.5
"rhsD",142,108.1,120.9,160.4
"ybbC",285.9,197.1,335.9,343.7
"ylbH",134.9,109.5,136.2,121.2
"ylbG",406.9,321.7,398.9,329
"selU",286.1,212.1,272.9,211.8
"allS",102.5,103.4,55.2,76.3
"allA",143.9,96.4,83.9,86.7
"allR",2383.4,2123.8,1863.4,2251.4
"gcl",209.5,151.6,72.9,113.3
"hyi",83.9,59.6,40.2,54.3
"glxR",38.7,19.4,12,3.7
"allB",75.8,61,49.4,47.6
"ybbY",142.7,122.6,62.7,73.8
"glxK",146.4,89.4,72.2,95.9
"allE",993.2,896.3,692.9,956.5
"allC",32.4,12.9,10,10.2
"allD",35.7,38.7,9.7,2.5
"fdrA",86,25.6,14.2,15.3
"ylbF",111.1,80,59.4,56.4
"ybcF",122.7,87.7,87.5,89.1
"purK",2344.6,2219.5,3438.9,3154.3
"purE",2846.1,2692.6,4132.5,3986.1
"lpxH",894.2,705.3,1472.9,1059.2
"ppiB",4890.5,4862.6,5759.3,6086.3
"cysS",1521.8,1326.9,1661.9,2832.9
"ybcJ",1374.8,909.9,1182.8,926
"folD",2352.9,1926.2,2446.8,2116.1
"sfmA",106.8,76.2,23.6,74.3
"sfmC",31.6,25.1,1.5,2.6
"sfmD",82.8,13.7,41.4,82.6
"sfmH",53,26,7.8,18.1
"sfmF",63.8,46.4,37.3,53.2
"fimZ",117.8,75.8,76.9,48.8
"intD",654.3,529.3,625.3,484.5
"exoD",160.7,120,75.4,114.7
"renD",53,33,101.7,236.4
"emrE",135.6,128,200.1,221.7
"ybcK",63.9,44.5,53.7,46.6
"ybcL",442.4,416.4,203.5,226.9
"ybcM",376.8,365.4,248.2,553
"ybcN",9.7,2.6,1.5,9.8
"ninE",53.6,39.8,27.3,32.3
"ybcO",60.9,32.9,41.2,31.9
"quuD",92,98.6,76.6,106.9
"nmpC",1667.7,1709.7,4959.5,2366.8
"essD",279.5,150.7,493.2,643.9
"rrrD",129.1,87,162.9,328.3
"rzpD",124.4,83.2,132.6,203.6
"ybcV",14.6,10.6,6.1,12.1
"ybcW",82,86.6,74.8,89.7
"nohD",233.9,136.3,242.3,197.3
"tfaD",128.3,80,74.5,101.6
"ybcY",303.2,243.8,177.9,318.8
"tfaX",26.4,16.6,35.1,38.9
"appY",822.6,480.2,412.2,285.3
"ompT",7477.3,8633.3,8214.8,8875
"envY",99.3,95.9,49.8,71.4
"nfrA",369.7,296.1,292.2,251
"nfrB",98.2,68.1,53.1,27.9
"cusS",393.7,420.5,432.5,423.9
"cusR",683.4,578.3,796.5,555.2
"cusC",45,38.9,10.2,19.9
"cusF",84.7,62.3,76.4,81.1
"cusB",75.7,58.2,76.4,73.3
"cusA",200.1,125.6,100.3,91.2
"pheP",215.5,227.7,542,409.8
"ybdG",1121.8,940.1,963.6,742.5
"nfsB",2508.7,2480.6,2661.9,2452.6
"ybdF",1283.8,1009.1,937.7,985.3
"ybdJ",1216.6,991.9,853.2,904.5
"ybdK",485,297.4,81.1,238.7
"hokE",125.1,82.9,52.5,3.4
"entD",1373.3,1327.8,79.2,872.8
"fepA",3944,4571.4,276,3031
"fes",2758.2,3264.7,174.5,1381.9
"entF",2747.9,2938.4,122.7,1319.7
"fepE",71.8,42,26.6,61.7
"fepC",1150.1,1057.2,114.5,865.1
"fepG",495,458.7,110.3,283.5
"fepD",1850.7,1583.5,518.8,1142.4
"entS",860.2,1162.6,170.6,636.6
"fepB",1124.5,1215.1,223.2,824.4
"entC",4508.9,5294.4,453.9,3301.4
"entE",2294.5,2803.7,74.8,2170
"entB",6232.4,6874.5,255.7,5085.7
"entA",4280.5,4608.1,223.6,3570.1
"entH",4846.9,4956.7,273.4,4157.6
"cstA",1427,1000.3,959.2,947.4
"hcxA",502.4,566.4,373.5,306.4
"ybdL",507.8,725.2,345.5,201.1
"ybdM",97.1,87.1,67.5,85.2
"ybdN",133.9,78.3,72.9,100.5
"ybdO",48.9,47.6,37.9,40.3
"dsbG",862.6,733.9,629.8,581.5
"ahpC",7784.8,8376.5,7053.4,8552.8
"uspG",455.8,416.5,284,424.1
"ybdR",693.3,522.2,273.6,559.1
"rnk",515.2,456.6,689.5,731.3
"rna",1600.6,1262.2,1421.9,1754.4
"citT",49.9,41,22.3,18.7
"citG",28.2,24.9,5.3,11.9
"citX",66.6,49.7,30.4,37.8
"citF",82.6,78.7,50.2,78.9
"citE",37.8,49.3,8,8.6
"citD",29.7,22.6,9.9,10.7
"dpiB",316.3,249.7,310.2,297.5
"dpiA",563.2,502.5,454,479.1
"dcuC",83.2,58.5,51.5,53
"pagP",351.3,194,238.7,281.2
"cspE",4085.4,4278.7,6394.9,8816.5
"crcB",1199.7,931.2,574.3,624.9
"tatE",1386,1357,2045.7,2308.2
"lipA",3385.7,2999.7,2914.4,3008.1
"ybeF",89,72.4,63.5,90.9
