"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"yfeW",19.62927,11.72241,51.1534,56.46064,36.51947,64.77692,38.68097,45.35947,52.06339,89.9839,87.30858,59.99828
"nhaB",1151.099,1532.121,1738.625,1130.957,843.2492,1141.286,323.7007,397.9104,399.3507,1135.419,475.7701,1206.26
"pflA",3717.887,2038.406,2811.426,15294.27,7089.467,7835.512,3982.936,7422.425,6277.251,5775.418,7703.856,4704.82
"tus",556.7219,660.2125,583.8562,1218.519,568.9952,903.8818,735.0239,512.9396,484.3568,332.9338,386.9727,216.7222
"cyaA",3229.943,5026.998,5738.761,2414.081,1544.929,2603.539,716.0257,1289.209,1056.815,1597.813,937.7508,885.6439
"pxpB",2375.16,1974.378,2503.893,2368.804,2581.661,3383.163,1940.656,1692.72,1366.645,2362.931,2218.121,3164.8
"copA",415.9582,306.0764,456.7733,44441.61,44146.23,52318.29,8364.82,7604.655,28645.52,8200.476,11139.1,16551.54
"yhdE",1381.12,2245.893,1740.954,268.2893,327.4283,554.2868,1157.035,815.1122,709.8185,454.076,552.8624,641.9368
"glf",3985.361,2973.706,2413.368,2307.453,2394.974,419.3271,2317.743,1441.992,1968.389,2670.135,1724.96,1076.956
"dcp",992.1163,619.814,1015.465,987.2658,985.5884,867.5026,106.0609,96.87185,103.067,722.6215,590.05,689.3782
"srkA",963.1247,1202.973,909.7586,707.6206,590.168,767.4071,1058.099,1347.845,1146.294,947.3857,429.7674,372.0581
"aaeR",478.7121,745.288,786.1921,896.3679,664.1513,802.8932,725.9172,656.4411,506.08,981.4277,894.2512,1095.21
"lgt",1887.616,2765.907,1995.628,252.2173,28.45008,225.4586,591.2697,629.4222,550.7254,1033.882,1002.374,1090.436
"ycgN",824.3463,1022.945,1291.137,179.2928,139.229,204.6275,871.0369,760.1871,808.7034,421.5299,290.9395,263.6174
"map",2195.159,2120.313,1839.245,3144.643,2697.165,3514.977,2570.269,2355.933,2303.285,2692.956,3205.374,2768.321
"ybeZ",1712.634,1158.733,1432.44,950.562,640.2797,556.65,1365.79,398.7346,824.6937,3622.695,2713.511,3279.074
"glnQ",3454.383,2206.94,4897.868,107.5054,312.734,103.764,99.21628,368.766,446.3234,623.268,653.3644,731.7033
"ftsY",674.0942,684.3616,680.808,1658.395,1307.639,1593.571,2000.656,1814.677,1717.709,1162.795,742.9888,986.696
"emrK",19.0992,17.29548,17.63478,0.9327619,24.15798,13.53712,13.09628,28.8661,40.54216,20.08313,51.67183,26.16157
"yhaB",8.486457,3.909868,14.91069,1.890049,6.169034,5.271615,23.41605,13.03931,15.08511,3.939543,0.7885218,2.620401
"gsiD",1738.776,2991.975,1716.66,111.3799,148.8204,192.6144,95.20375,85.51631,117.7092,227.451,207.7869,218.5
"potA",708.8105,858.2256,724.4546,300.1751,474.898,413.6386,538.0058,549.581,726.3355,687.9532,225.144,338.9822
"cyoE",4301.83,3505.414,3161.788,14991.21,14730.04,7553.515,918.1939,1034.013,1356.836,5894.666,6402.079,8182.179
"yfjR",23.41083,9.654732,58.55447,78.33829,147.9714,79.3229,32.18425,38.72613,85.3655,46.32225,8.506629,42.85806
"yafY",104.3592,110.7776,99.5031,261.4397,196.5604,231.5393,181.9821,134.4763,117.3293,144.2818,92.21215,130.9855
"mobB",309.7104,306.2103,386.815,146.3056,142.021,114.6573,257.4359,206.2557,178.8038,191.155,277.2759,167.5643
"frsA",747.1156,819.1446,818.4347,2501.31,2116.549,3439.558,646.8491,629.8425,458.8987,462.4468,539.6209,549.1336
"aroD",1389.094,1495.48,1566.909,556.226,780.1333,753.1585,508.9709,380.7636,276.4858,971.2749,973.4482,1133.393
"murF",1647.493,1663.124,2127.699,614.9601,363.6166,806.0414,74.23926,60.84191,62.42305,958.2625,665.1779,1394.714
"ymjA",963.6457,1170.593,942.6964,135.9693,45.13865,69.50585,739.732,794.5532,564.1122,213.3367,321.3293,131.9389
"fbaB",632.8409,694.2225,583.2687,94.74307,84.53738,123.7295,81.5294,82.71786,36.9709,72.52496,139.7899,109.091
"ybdF",680.4812,649.8621,896.0396,383.7889,233.6975,375.5215,508.3172,431.739,435.8704,952.9506,1432.966,447.1709
"codB",492.7057,488.2365,494.9089,96.78427,150.4636,99.91663,359.4081,588.8389,729.298,87.75786,283.6877,152.1205
"yehQ",47.6538,26.8134,46.25711,4.412511,75.17197,98.14644,5.101977,18.63953,49.69086,20.02167,13.53406,13.56093
"sufA",3951.354,2644.817,3107.754,11238.89,11158.69,12459.38,434.4494,298.9108,351.4003,324.6571,757.795,560.3303
"priA",139.3891,176.7959,171.0782,387.2631,177.7955,416.6664,240.9393,409.0347,356.4702,142.6376,81.01531,84.5311
"yfdO",37.06911,18.97135,6.880231,72.56454,9.117989,117.9029,51.31159,43.60142,68.21807,52.87502,55.58897,26.85033
"idnK",236.6204,213.1236,186.0246,11.00938,55.21635,7.098661,107.6001,119.946,111.25,298.0643,187.4695,166.9844
"pgsA",4624.122,4591.105,4599.259,861.8684,495.1229,935.1953,732.1246,703.6712,700.4457,4484.611,4529.591,3232.52
