"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"rutC",120.924334768839,111.698148671023,113.942097014063,131.525626053578,136.495468327784,132.67889713788,106.313063756404,86.9959329743819,104.725724232835,93.8719947289604,118.063437142796,144.965208576273,111.117274421781,134.539206108549,148.596579492798,129.656695322431,130.026817439052,92.6287541200828
"rsxD",285.691633056465,388.36191244094,321.915706178377,193.249039452037,333.500257937107,232.994392082974,212.886626268962,137.868169126964,203.482438047103,267.915706106834,315.407727628227,449.228823518727,322.810156437546,232.743544379178,430.475955193879,334.437673953263,326.129322874249,144.417558434239
"envZ",657.773822048151,657.073059269105,692.36015046494,571.826401814928,880.536802932512,739.755995576406,938.153412503469,975.240081206334,565.484626964017,678.673595761267,779.996953551521,696.123168224257,529.637928469301,634.894207837283,1039.10963236032,878.685137203567,790.99051291887,723.664359328977
"csrB",6587.28032180563,7539.194727492,7173.0884244302,7789.11876250983,11763.9010177046,12482.8514904333,12467.8510133058,10393.4491986552,5291.41303457976,5864.70461029013,6689.43227161038,7431.76722735765,7986.59787214188,7027.36013642862,10039.2174768018,10418.1351692358,11745.6186283123,10531.1084169886
"nrfB",55.423849825709,66.9939798881893,73.1991367730127,69.761606916778,72.8658034478943,66.8925188444348,44.7416123962074,79.4693630441514,63.4290799208196,65.0782893649706,62.688681304916,55.6531119979294,49.0718552155492,72.4886001095497,68.5755450599802,75.8775530292861,56.3761841277058,66.1670555228629
"sapC",250.408611347191,161.309287401617,263.531085947494,154.23425006306,189.165512882361,165.988500098486,216.861793565817,203.759130908236,207.971261765154,224.083775979988,273.728261222906,170.819985118031,215.375983468613,210.227897765053,237.10728330021,234.377067222469,222.082372783534,123.51026725369
"modC",142.637928395971,171.998602290498,169.249039476052,160.127857208092,155.590355902401,172.788246404878,185.572376257054,185.526817224751,153.272802989884,169.193483993449,173.433474661766,127.033352070649,174.409812997713,163.238830777304,165.727908161934,169.676084494788,201.469683385227,158.193483988407
"rssB",422.726731169119,482.210313378256,423.141631374945,421.540387148743,400.639948581196,434.129479592817,482.860150697666,368.975404812049,479.826918666548,439.477040280619,460.467186053212,424.646391422908,406.129548762301,454.610462563929,394.148596468672,395.244283633737,433.103740479521,354.559365374949
"yabP",522.30459510126,364.721669250093,518.537162310507,598.263139322565,417.415706222269,663.08166634372,556.558266473621,464.860150540327,461.78580690565,538.023670977451,713.388383220812,773.598380841474,910.667608728494,830.526817516727,328.526817342297,460.45700299809,342.140953367889,519.011884489847
"ygbN",65.6575716224515,71.4225395895108,75.2956049364246,63.8404319109403,73.2669978671654,70.3416477346808,61.7851617194959,71.8609433380517,65.945649432412,83.1002116313596,75.3515267259666,71.010556405069,69.5807784790301,83.4834294116311,66.0664487530695,55.2461378916078,70.7161994041721,61.244591565319
"sgcR",52.0771088166116,33.9967125088344,42.0483007920496,51.8547982799451,39.3878243649377,51.3286784816161,57.4768549234803,39.156269478539,48.0956361795961,56.2644101055017,52.2649978094403,39.2477390295934,56.3763985826517,54.2006770100316,55.2112158461935,41.3714957852093,52.5805113775156,61.5081848283871
"cas3",40.6354975237189,46.8262760701864,47.9452658693318,47.8124960701281,48.3818000558463,43.7849998649844,36.8228465792734,51.9880404282244,34.2710033249546,35.4041857113837,41.2150120342554,48.4232242512649,41.794195922872,45.743222322042,44.3406729263872,44.3300671884689,50.8672086488923,34.0611397497742
"hofO",41.8146746026412,53.616778603835,45.5866566203925,55.625478645754,57.7710513188475,49.9665457122449,46.4358944396849,64.4308624406301,64.8082476749516,49.150386046736,43.913057218611,47.6853628183341,35.7580347119405,51.7347671112778,70.8787789866573,57.4099173688288,48.1408130641372,35.6700011943919
"fabZ",7625.08307277979,8518.34815255505,7485.92407173347,8103.82407591185,7623.15365213275,7386.92804859653,6102.29800440619,5903.41569967247,7447.55305155173,7649.24700516988,8000.7086237559,8816.83924285359,8054.8041201328,7801.67556841018,6567.87711863339,6312.98002099174,5994.2466772272,5717.24904297794
"nagC",1101.98920033089,834.871941690214,804.653725222185,1004.28548881158,1005.85270571113,910.095098885227,1239.26915248,1004.53021302921,1293.61771929557,1238.79289642008,1069.25458632298,754.668529875694,748.582372989505,1025.26572086842,906.070020571686,1204.14153387666,1123.249037271,766.598113696935
"lgoD",84.4109105076775,82.9122399662119,79.3058231076121,87.2669174325769,80.6784118082258,71.7275621150531,93.212845386291,122.360151919417,110.226639011816,94.8895465991072,71.0349416057869,60.1522208378,87.1002156100938,106.915728201384,76.0015531329346,82.020636598992,100.582855407993,86.209426491093
"yqiH",34.6268763149431,23.2135078625047,37.582148678797,25.8992067660582,34.7216202457897,30.3674311983542,29.0888898241327,29.3278251971973,23.0076363936146,37.2922280399555,25.695950826151,25.391083737015,40.5915595465331,33.9594009123319,28.7782694964098,22.2442054484754,24.0632010627726,12.4714745718147
"betB",344.946584869838,216.143115256983,210.390243593799,280.764550621166,119.02681961937,141.615388423139,269.661625944982,168.772821185741,438.178953923425,447.228859346396,302.263301213623,175.639599662133,191.367166917351,278.950388609542,150.957940661677,184.552953657817,169.282039154027,144.269003617802
"rsmD",1320.6306783235,1170.97693200699,1096.41570258849,1176.53542105671,1116.0271583351,1117.79871788087,1089.47114396439,935.804595369434,1232.13570923921,1188.83220646213,1340.80459220836,1307.74249026562,1116.74225984502,1173.55765861891,860.650022808572,984.474786266857,1035.87477250684,936.615895959517
"yggL",3527.5338461739,3622.32355039199,4223.25653886913,3861.95457549922,3726.6471976538,4135.47789143629,3055.16090800868,2876.54909890726,3143.14856660003,3119.39642000933,3514.78006229132,4212.44066561241,4292.63794201737,3667.38413069906,3187.71969631067,2853.12986546432,3320.55028281459,3262.0624129041
"narL",1435.43674325029,891.243139514518,1400.94158918243,1550.86014916912,1385.24903818244,1996.79389073136,1929.92872183091,1671.12541056409,1463.41079413035,1367.13491855996,1531.58115632548,1031.76866355346,1397.36015216168,1721.26288647419,1611.66766800723,1892.23101890462,1957.36552568656,1616.79637853402
"cas1",94.6324794817062,68.0953123934477,85.9191597867179,89.1179446683166,88.3510143983469,86.2890526764808,94.5495751200668,104.951777383652,74.3675315983526,78.627205981286,102.628267903199,77.7469562753556,87.7928501899648,94.527070046701,94.8048478387944,82.5304460741772,85.031406115292,85.0330718735224
"dnaK",8579.12139105026,8151.59601836458,7933.14531287218,11169.5385176922,7657.60782030969,5691.91297898344,5951.84813358777,2634.47126767632,6946.69528531528,8526.02062534537,8672.95182145498,6956.49529836453,7855.88012495237,10787.6047656586,7762.37130897833,7653.62987776314,5565.48087117921,4753.52680354403
"ydbD",42.1852951723226,37.4794440531794,43.0687455754384,42.453094066476,46.6951161177218,44.4392848844889,42.7578311061777,40.5817279068368,34.0655629007041,40.4343778988777,50.3787463269887,37.7273073611594,38.7417877256367,47.7128498237686,46.6265445585829,44.8724493763408,41.5801602141692,42.3837346935427
"ytfP",1941.59491516424,1419.97534979533,1563.21686294433,2211.49318338184,1283.97845581818,1529.01477254838,1513.36114006239,843.449065534801,1565.68925329396,1883.42517045786,2039.26642954034,1499.37296592774,1746.0091450079,2316.20297385077,1016.32246112452,1235.91081086199,1161.03550836524,1016.23583512799
"yigL",150.196172561595,178.637928433719,198.322946265245,73.9082496968568,255.137928326458,154.941031376592,112.693491399994,84.8993296825242,104.986495096801,129.387293862086,128.19348433341,198.263803589207,177.112409646881,107.804617061257,251.716889791775,138.194150575702,122.4209922966,48.7437435471176
"dmsC",87.1534849195134,110.671447872827,85.7202897215491,108.274201451983,106.001515435949,111.550347142304,104.187566801979,107.158307889147,105.494952329712,106.365263587285,107.293628370263,103.763027738084,103.689672245911,119.811945934609,91.0391673113913,103.756856636206,96.8593409178021,113.741646777775
"yeeT",26.9786535503662,56.2135341881904,34.9791775720042,35.4310539471467,65.3009224719191,35.7001731154114,39.7654135073757,57.4832025700107,33.1678282985574,35.877957073621,33.6694657667661,63.0886581094445,30.1236120214325,33.4096052604415,65.874333322648,38.4081286131078,31.1744460845645,65.0694747938686
"yfjZ",28.715395756154,22.204235969015,19.1939444923536,27.868843815294,22.9592698167908,17.3570994425569,22.7970508104616,16.6962303289748,23.0476937727036,20.5697432606824,23.1900478225157,14.2640743314127,22.1408105744749,25.1964231653706,16.2117317410203,23.27265132025,24.7968675432923,16.4647014607629
"insA1",375.158330543156,332.305064411035,391.705765449836,310.940191209341,188.269265697105,252.177819913362,185.575814155364,148.046546935302,237.482696140437,337.423525962211,269.504213984978,322.294170579784,443.048358325047,323.527656302075,169.635106065974,196.777673665458,243.388475246379,95.9507715357989
"rluF",1321.40485945659,960.925630685083,1008.47310510629,1145.86378657299,894.315587165249,1212.30459476733,1165.95930476952,1063.41534918532,1325.75476642036,1312.09747898286,1357.78244276772,1250.54983898431,1316.44140234715,1117.17856262856,902.259734969339,1027.75280211293,1197.34992867652,966.360150709577
"ispU",3045.0370570474,3209.13572069956,3284.93088226412,3126.91396574289,2885.00227262792,2927.38840612402,3001.93251613942,2651.13791988397,2866.55189111587,3008.0095666064,3081.63423399362,3233.39196024534,3149.48317758059,2919.55891736237,2882.40015675853,2595.84885755361,3265.4314109299,2019.58704112277
"preT",140.50926336275,186.804160776239,174.995961236952,147.113641268632,270.625452335275,212.386035200635,192.868121656621,339.549350154089,163.732442683096,139.69095529704,133.501627917172,185.971261774922,172.968602331827,130.814628164044,272.499386573394,220.119565838344,225.406838012852,202.366339383313
"aes",51.8078982424576,32.5579807242531,63.0080125239285,36.9559697638479,59.9706504730037,54.8893816204477,71.115823808218,114.123308660754,39.03713129584,43.9691339718612,47.2933099131322,41.6123567556987,46.0460269302946,51.9415873227463,69.8849827040524,78.1490046907408,93.6983528858376,77.565713858051
