"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"hycF",2.00166424527755,1.98632266749817,2.00861352013761,2.02567117215368,1.97014252281931,2.09667027610626,2.09710631176736,2.12387667932889,2.13924245161897,1.98164701176949
"rluC",6.28668727729786,5.72628708078923,7.74089296113875,7.04402485617193,6.77490163459611,6.72950318600512,6.8561563048129,5.93233471489406,6.13685714278902,6.52419543848307
"yiaT",1.32381360247221,1.25893168639806,1.26496722016144,1.23225428688119,1.31048423655568,1.27703671204442,1.32124682063335,1.32758110380523,1.26531799217138,1.26198958146944
"ydhY",1.62124261185059,1.39609779096541,2.32012092377309,2.09856041899164,2.19633786083762,1.71713087287551,1.8032507201869,1.63932284053753,1.69431251087604,1.66439746942305
"yjcO",15.5312280216949,18.0196614348722,20.5946827881958,20.5946827881958,14.9876262366373,20.758064115645,12.6757569747995,18.5468207535693,10.7778686149255,13.5225938025872
"ygaY",1.93254230992785,1.757348109292,1.75698271701774,1.6103787051347,1.7335146153171,1.7415839292546,1.91374684592553,1.97643430226702,2.33366908347295,1.68833360447725
"fliZ",1.53251373076903,1.56982093022285,1.5585452045884,1.80650343749852,1.62969275538477,1.55768120319113,1.67923017901889,1.64889553453622,1.61798698179979,1.69995905710904
"yjbD",12.9528709895007,18.0021835280516,15.6446773481814,23.6357706537614,16.5252477961518,18.8083319307758,10.6678681947785,17.3420194172565,10.8115390209505,13.0068526394183
"yajC",77.6707773608625,90.0653329512995,91.4809853423956,73.2928215682934,71.36773098113,94.5496360692839,75.4160664884655,83.135917550317,74.2644571862019,81.3742253865141
"ydgJ",14.4240060310651,15.9413289543986,16.092315241359,15.8048999779992,15.0292384201927,15.7185910389309,15.5054124758225,15.4111220497201,16.0689081611009,16.187407009772
"hisF",47.1504619350271,60.9899657237755,94.2551798748609,37.8232125490986,39.2494355091568,59.8674534797864,53.6423300680148,54.0379110427374,52.0526605399195,56.8859315946605
"glyA",37.7315640783537,42.2974856325691,56.5517592451364,50.4191537966052,41.3954414828822,46.3950826785923,32.2136448446893,42.9087509342233,33.2158516434067,38.2344177722274
"narG",1.83515255713202,2.02412726372626,1.72464568273801,1.75649564549668,1.75856663243837,2.03749991618962,1.83693426463129,1.82918374013432,1.78781815175736,1.63070972780671
"dcuA",21.666586885579,23.263560277125,18.5468207535693,19.1689578542344,17.5463615963632,21.1238368676569,21.4142612080481,18.338452546095,20.6232528795168,21.2633941643675
