"","0","0 | 1","900","900 | 1","900 | 2","2100","2100 | 1","2100 | 2","2100 | 3","0 | 2","0 | 3","900 | 3","900 | 4","2100 | 4","2100 | 5","2100 | 6","0 | 4","0 | 5","900 | 5","900 | 6","2100 | 7","2100 | 8","2100 | 9","0 | 6","0 | 7","0 | 8","900 | 7","900 | 8","900 | 9","2100 | 10","2100 | 11","2100 | 12","2100 | 13"
"cdsA",1008.05297939098,934.858427904394,621.735789453426,631.812528498302,801.596884991277,630.619623062482,632.121144624322,610.664725339995,422.623607390459,825.022760869178,1005.38011247867,746.818142372806,597.199888959762,796.816694989618,698.574709226523,669.441755636561,982.390025879578,902.276556477438,721.578667667268,677.222052263496,764.156448275453,650.965366913796,613.016018616437,980.867353391768,1119.17141146195,838.666255000681,537.520046887742,567.120040913493,768.559940061749,663.70208813043,770.23349207253,665.130070337621,334.813040798714
"chbB",459.558302053093,393.282958931154,771.112018669136,398.871634633591,627.005513052907,649.575106803647,495.264899693433,491.476360198986,773.624818426419,327.789930679325,381.382678998615,636.374942540431,392.204553470006,468.041253049467,451.569813201048,589.504386047148,356.077300911702,401.801718710426,814.1112951306,339.91128436556,570.259428262601,489.073601883818,508.350705315974,399.658732753591,468.907875600239,549.424031788226,835.67562401661,375.29797873222,723.638068132786,569.754006773787,506.146497713068,771.446838592628,624.114681749836
"chbC",123.643503744918,112.006150986151,141.861514535697,92.3390198118279,114.6858062272,123.895449660435,118.318551547592,128.570668196816,123.820467735314,110.912839553238,139.589425587017,141.951004210812,101.682147648798,136.090832548741,104.315146909095,127.365604285456,110.756702680824,118.316549319405,153.257270443435,100.088932752045,135.47895493292,104.836974552026,158.216699324785,125.569978494569,122.47543156422,117.222822340528,124.351211331836,95.6903271339408,141.40992132429,126.9381100729,121.94530931355,141.030436167761,105.192068204533
"chbA",279.331574894311,267.822842769035,330.323278865911,259.433466372435,286.668338975358,300.149034088293,294.276776889918,284.710165339456,414.309611981546,245.775317654189,272.885240559983,330.877641264135,310.000207940749,281.32263066789,253.390314104398,345.298672131718,259.855128124218,251.526767900201,366.828580769741,229.31460872419,302.596687425149,262.017434883571,354.300895336554,241.671992190999,303.100899010543,291.350785285619,338.361581971856,276.814940066489,320.992578785404,283.50991397423,307.845546823209,331.854013887582,309.892066509939
"chbR",197.895240377818,146.861366219271,225.367543612263,145.670668930914,189.504182120603,196.646485474012,177.524457399233,188.781408301473,221.279302679765,150.622917638555,153.701374990024,167.683359367875,172.552470940732,163.841614312172,146.872994185986,196.740411109009,144.593992387217,133.137900413276,183.254166006763,153.928157994058,184.236812880673,159.818401323316,196.987080410508,132.045086639304,130.64960584569,166.693428808524,169.472718072708,149.191183255032,176.891547572435,158.511257911217,183.142743709814,214.897064884332,195.584785028092
"chbF",191.798430964717,186.443264288718,196.746067547722,191.496843401088,181.418933112174,179.7457087573,192.683962793995,176.845165657467,189.690874611688,184.846657381848,168.467903950123,170.873910624989,204.67398944789,170.591597128145,170.396242377391,166.887434691687,191.44511261481,173.496708898166,192.679860192414,186.609778589706,202.26705703611,175.85598456375,171.085150033483,180.818441484993,173.900740538327,170.124157274444,133.285124140328,162.284277096565,166.112469572964,170.2657815089,165.729082865906,162.491962023034,187.813466914273
"cfa",305.6254281692,295.692969578655,242.420939150326,357.347507678181,231.771023238135,260.250062902647,303.081867865108,218.39532351088,329.753039189076,308.374746215579,274.233901958648,275.181439905399,330.60554869981,248.446736137578,310.182877565357,255.328903790644,285.161620631897,257.354973622071,283.328307850977,358.029662385287,267.077612236871,245.316183780425,215.394537538611,283.159152045792,298.002749408892,276.922616232603,284.99818276114,285.545820704086,230.281606218223,284.805033151323,298.281949178587,254.969244641602,342.191594719639
"chaA",411.355789160248,464.679314000554,262.979844972906,460.230112549547,302.992153520731,301.195110134819,295.678135446486,290.728207798311,252.875100512651,460.389470195028,438.980147996896,303.958370607369,334.796153843788,359.293216970046,433.372628345514,366.731667554006,345.066205193079,378.169531456175,415.739485950982,587.685028759193,318.953477752756,402.139137901451,233.498093463345,460.754810776661,489.591911371465,443.587905351213,326.650447056617,509.013198132514,343.879705819074,560.778230671178,526.756488935381,379.226944038848,250.907722529515
"chaB",492.215974528907,481.770699939361,509.201086377995,461.367227548756,522.638158013721,499.572932230994,461.948097654937,509.78857857046,712.432919208057,508.160235864232,552.384064401623,509.730587256062,522.878714318,458.177050345859,495.573708333726,517.068073581362,516.888969132559,499.391996537765,487.892371235287,503.400897702965,492.737025078625,495.659561233596,516.676218893186,446.435007724302,496.624997560034,535.804939131932,471.251023657485,446.276695184594,499.790511167439,444.131486833998,453.828675998098,531.731131950019,713.540433705109
"chaC",212.471781708243,202.42648192082,217.9814143242,231.450792134439,207.180719353617,217.371907565852,208.824155722018,228.036045500396,286.707042045914,207.879808806145,208.121538197377,213.973164237037,206.820527365,213.204931164937,213.850297053808,220.353975973324,206.728000187668,190.221860030559,219.018341059999,228.224441206075,198.63131389018,197.393747426166,228.272993784352,178.371204847811,207.518822588756,213.035784053798,203.47501563892,214.169371519908,205.226480704014,202.89155028811,181.232050971069,221.752423593516,326.895744924801
"cheA",207.981890994803,195.012197993141,198.866991189073,180.368342654491,198.582446683337,217.39364275383,215.512527535683,223.596365729579,248.967302887872,226.799241789162,231.427957731002,216.118853433184,229.37015437746,213.687883707009,220.929183049819,216.965215517853,214.662346073917,206.545517843999,232.519182309392,242.103471678738,232.375807136522,212.114853798282,229.397466996704,178.090760387539,207.747243865959,212.917928633787,186.519505797212,224.21485242652,201.7264817908,210.824477106361,207.023694378891,201.990585036389,184.826954968729
"cheB",220.47998396413,191.352455757984,210.176532600506,184.5434188273,183.359816730693,232.933320689913,187.509826868631,227.03008808741,280.322402406526,219.675215806273,207.53638100611,202.754240815806,226.281732854535,215.785982516457,215.116791165939,235.665950682902,204.721863841748,202.970721412379,201.115197020643,201.079542712248,221.688679062124,212.594799967354,241.968520422495,172.880690459081,193.287628547254,221.288618970536,171.139495906357,190.611969491543,205.482152299933,193.267958676171,203.091395057735,212.128780782211,232.913699315196
"cheR",170.442709633035,166.621455581452,175.652599490502,160.62559352835,156.98470259056,188.385269135903,171.273862572061,198.109276634527,155.648550248105,195.111182235157,167.586957377847,171.757915469353,162.666939882695,182.860072783835,174.723187781414,196.625017661055,170.04206569102,172.262436506579,160.920345571776,195.010533895838,161.372196527366,171.741965777196,197.083545279617,137.207356804787,164.766615098396,171.83517321238,139.35050012332,162.334673759616,162.736806744398,153.466407375332,168.133561553718,182.212590058158,194.074106055132
"cheW",257.460024681622,257.025129991142,261.971866507932,251.29789042053,237.989042793561,242.567464674195,260.29767837306,261.581904231706,274.423667310645,257.366363748347,259.150890333601,250.570029839868,275.554225271994,254.528401342772,237.524775948083,260.631553516296,239.317595377727,247.887765028075,279.016007609015,251.097202106922,262.296514608771,240.343810425259,262.285250988331,231.475313151705,257.646693570155,258.332411618738,230.287885397865,255.501241124587,265.846633314335,222.00050159117,233.573258312279,263.447788152741,251.306401661721
"cheY",320.325577401043,263.80274803383,322.801160718888,294.778910189345,306.752190095338,345.987624176642,308.69734721337,330.842950006041,384.883434973091,316.380629094766,297.214263467502,294.506149366498,321.464706939414,317.670219847036,286.199172397042,341.709032678146,301.133260522363,284.799757369679,291.537690018321,289.239469284675,313.032529127235,283.995793166119,358.301013953097,259.469610773722,289.170501266437,315.115897175255,247.261055710803,298.714550839104,297.018997638399,281.806248166854,275.93101856641,321.855406032478,338.317497540905
"cheZ",135.868752242959,156.4702432185,145.711415907524,150.764947382661,121.250769587966,139.735002562459,146.5256225736,158.679179886401,161.360763482258,149.496907619179,155.573870849439,144.807877052608,165.275542503752,159.379110571623,138.582433788704,144.228301701615,139.328339216912,143.621128859185,149.05102186747,148.745282868381,144.917180403253,147.198538596137,143.40787637784,144.917180403253,155.881355854915,132.600711190971,137.412413181383,141.856516660304,125.083768756027,142.74308404995,132.665762927503,132.306436596958,143.051891543584
"mazF",741.467998199904,489.406441544136,636.565612519376,633.771503707263,778.68884874526,651.558101052134,537.459037312021,584.066014586455,711.139937581948,474.512525922658,525.005550065341,509.088984445866,757.201915805131,513.083696624195,494.365170352334,629.65247487274,574.77679460865,514.180348670218,504.676383641983,738.310201156798,520.388046864779,490.278514674586,722.735539345295,572.354496967474,582.379597390095,727.895255207711,498.681739915704,722.591991390473,552.600504483543,460.173556366409,511.308616111621,623.777300843704,638.659828464205
"chpB",626.502168541986,581.045253064928,764.175618966742,557.473259404144,655.586892533851,682.26659033808,669.100180408264,741.175317220513,623.941875022896,639.193347918616,578.549735542188,776.704413691867,660.668376400898,626.502168541986,613.696261201271,720.625900328299,616.048917175086,588.90031255453,765.594022730217,580.535740634604,644.261148531323,694.375502348576,810.670667079154,532.492078005095,626.284085990201,639.748815109497,821.394403245606,634.33971736834,687.754369405087,500.849458809331,620.010359982132,620.481454832934,588.156561415064
"mazE",1422.27152504496,1114.12857510547,1293.30788605948,1746.49138383434,1514.89563409094,1385.45090223684,1274.39834227901,1224.25327494271,1141.32390673505,1205.41744195979,1134.51037731591,1176.5794513848,1890.20162833581,1174.8448322981,1268.11719923614,1231.57067886534,1441.96069024247,1176.16226108365,1296.31951486752,1619.47228129407,1373.58824237211,1312.99778764078,1423.41106431768,1331.39949424649,1290.21874765255,1488.96961686269,1404.78950840714,1549.52359709738,1298.46956180067,1120.84264718162,1342.0343656925,1308.26542164772,1113.00746221771
