"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"insJ",1008.2,770.1,2160,4069.7,569.5,290.9,0,42.2,128.7,606.4,2650.5,2847.2,1528.8,3800.4,475.6,659.3
"malS",0,111.1,1600.3,2446.7,0,69.5,0,44.9,336.2,577.1,1537.1,2268.7,313.1,8690.1,365.5,509.9
"frvR",0,0,1856.6,2733.1,0,0,0,0,0,0,1492.8,1036.6,0,0,0,0
"fimH",4179.9,2006.1,7325.7,3423.5,1117.2,1664.6,0,0,0,0,1705.6,1180.2,0,0,455.6,282.7
"groL.13",0,0,0,0,0,0,0,0,0,0,0,209.3,0,0,0,0
"ftsL.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fliO.6",10819.4,14107.4,18016.7,3429.7,2249.5,3186,0,42.9,0,0,1235.9,1259.7,0,0,0,0
"yacG",0,0,0,0,679.2,1247.8,0,0,0,0,1521.7,295.1,0,0,0,0
"allC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elfA",0,0,0,0,0,0,0,0,0,0,1554.2,308.6,0,0,0,0
"pqiC",4081.9,1390.5,941.8,235.4,1061.4,1359.2,735.6,585.1,1737.6,519.3,2271.5,1095.4,479.6,0,1478.9,1335
"ydhV",1666.5,411.5,0,0,713.5,405.9,0,0,0,0,2103.3,537.4,241.8,0,0,0
"insE5",2849.4,1118,3760.5,2019.9,1252.2,2716.4,771.9,1243.9,1120,989.8,3163.6,1437.7,615.5,0,1724.3,1476.2
"ppx",0,0,2209.2,1707.9,628,497.5,0,0,0,0,2461.6,820.2,0,0,0,0
"ygdB",1681.7,558.3,0,0,626,284.3,0,52.6,0,0,1936.2,766.3,0,0,0,75.9
"argR",1131.8,1531.5,6651.9,7255.8,1418,1554.2,0,59.8,271.1,609.2,1777.4,4256.7,323.4,5738.8,526.3,731.4
"trmH",3603.5,1019.3,2937.6,2828.3,1615.3,2765.1,885.6,554.3,0,0,4272.7,5344.5,1752.3,413.7,1226,1228.6
"uhpT",556.9,1208.6,3617,4518.4,0,82.6,0,0,0,0,2208.1,2747.6,324.1,3559.7,462,473.6
"murI.12",0,0,1872.9,3145,2351.5,2923.6,544.8,289.7,0,0,2930.6,2548.8,0,0,0,0
"dnaK.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fliO.7",2440.4,9100.2,2478.3,1010.6,790.2,832.1,0,0,296.6,3325.1,1635.8,6685.2,507.4,12000.4,371,1040
"yaaA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dxs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mdfA",577.1,21151.3,0,0,921.2,1042.9,0,98.6,252.4,36009,0,0,0,0,321.5,1700.8
"potH",0,0,926.1,277.3,1986.8,3896.8,589.4,1126.6,0,0,3160.2,2611.1,0,0,588.2,599.8
"ydfD",0,0,0,0,0,87.5,0,0,0,0,0,237.2,0,0,0,0
"cobU",0,0,4200.9,4597.8,985.6,403.7,0,0,0,0,1377.5,1086.6,0,0,423.3,365.2
"xapA",4015.1,1352.9,7990.4,5821,1283.2,1089.6,0,86.2,613.4,841.1,2197.9,7872.5,497.8,3841,622.6,763.9
"hypA",7349.2,1300.9,5681.9,4175.2,1498.4,775,894.8,278.1,0,0,3111.1,1273.6,0,0,749.9,463.6
"agaD",0,0,1994.5,2854.9,0,0,0,0,0,0,1094,826.9,0,0,0,0
"cspA",0,0,3281.3,4743.2,1035.6,367.4,0,0,0,0,1756,1834.8,0,0,659.2,669.7
"bax",3163,1133.4,3886,4125,1342,1146.4,637,393.5,0,0,1815.4,2386.6,0,0,586.8,641.2
"fimG",4601.7,1535,7031.2,3011.6,2528.6,1330.3,754.9,370.5,0,0,1634.8,1133.8,0,0,598.3,484
"murI.13",0,0,0,0,0,0,0,0,0,0,1589,1391.3,0,0,396.4,400
"dnaK.13",0,0,0,0,0,0,0,0,0,0,1121.5,389.2,0,0,0,0
"gapA.8",2535.6,1106.7,2451.7,1178.5,819,1171.4,0,42.7,297.6,307.9,1282.7,1100.7,303.8,4792.7,416.9,277.2
"can",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"renD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgsA",0,0,0,0,0,0,0,0,0,0,0,154.8,0,0,0,0
"cysB",2928.2,1280.6,842.4,253.1,1110.4,592.8,637.6,578.8,1853.2,720.4,4343.7,3068.5,1295.9,0,1435.9,1471.1
"ycjD",2613.8,789.6,580.6,225.2,987.1,575.6,712.8,515.8,1639.6,506,3664,2083.6,2043.2,0,2291.7,1547.6
"ydiR",0,0,0,0,0,0,0,0,0,0,1359.4,205.1,0,0,0,75.7
"mrp",0,0,2910.6,3363.2,647.6,290.6,0,49.6,0,0,1667.9,779.7,0,0,566.5,548.8
"murP",2552.7,867.5,2268,3746,822.4,724.9,678.6,541.1,1557.3,537.4,2263,1562.1,196.2,0,1280.6,1453.8
"yqeK",0,0,2961.1,4003.8,1001.7,324.4,0,0,0,0,1623.5,1160.4,0,0,781.8,365.4
"yhdJ",2447.3,2294.1,12564.8,12851.9,1544.6,2240.5,0,58.4,0,0,1107.1,1489.3,0,0,435.6,279
"yidI",3034.1,7680.4,6049.7,7793.2,1195.4,2431,526.4,352,10420.1,27148.8,41706.9,16376.7,140622.8,9548.8,1248.5,1075.7
"aceB",0,0,0,0,0,0,0,0,0,0,1797,893.9,0,0,524.3,368.9
"yjbG",0,0,525.8,362.9,0,0,0,0,0,0,1435,909.8,0,0,529.8,275.2
"groL.14",0,0,3063.1,2703.2,0,0,0,0,0,0,1326.6,888.6,0,0,0,0
"gapA.9",0,0,803.9,565.6,0,0,0,0,0,0,1926.6,1441.8,0,0,0,0
"dapB",1366.8,433.6,0,0,768.8,353.6,0,38.8,0,0,2347.5,1046.1,0,0,642.2,702.4
"ybaE",0,0,0,0,0,145.7,0,66.3,0,0,2047.3,1039,0,0,680,622.5
"amiD",689.7,1251.2,0,0,859.4,391.9,0,149.8,570.4,2012.7,2587.2,1804.3,5141.2,6811.6,368,951.8
"pliG",3869.3,1624.9,1212,282.7,919.5,864.8,758.2,637.8,1490.7,502.5,4082.5,5150.8,3239.4,0,1905.5,1861.4
"ldcA",4683.3,3233.7,0,0,937.9,1149,662.8,1732.1,0,0,4806.4,5191.4,0,0,436.4,254.1
"tqsA",0,0,0,0,0,0,0,0,616.1,411.5,2016.8,436.8,212.7,539.6,460.8,423
"hisL",2551.4,1081.5,3902.5,2944.9,1268.2,1923.4,646,1550.2,1046.5,432.4,3684.1,6012.9,0,0,702.2,758.8
"yfcA",4007.9,1761.2,4974.6,3141.2,1234.1,868.1,613,366.9,924.4,358.3,2105,1782.5,196.4,0,1013.7,873.8
"cysN",0,0,2861.2,3468.6,752.5,430.8,0,0,0,0,2369.8,8104,0,0,439.7,230.1
"rpsO",0,0,2762.8,3881,0,0,0,0,0,0,1415.7,1584.2,0,0,0,0
"sgbH",5142.5,2442.1,7163,4778.6,1343.9,1164.3,729.6,376.9,0,0,3115.5,3547.4,0,0,687.1,568.8
"rhaT",0,0,2260.2,2761.5,0,0,0,0,0,0,1709.7,2311,0,0,515.2,289.3
"yiiR",0,0,0,0,0,0,0,0,0,0,1326.8,922.8,0,0,0,0
"yjiV",1923.1,1488.8,3886.1,3272.5,934.6,1675.1,0,0,0,0,1836.6,2043.6,671.3,3344.4,424.3,424.1
"groL.15",0,0,1387.1,1663.4,534.5,310.1,0,0,0,0,1906.4,1373,0,0,0,93.7
"infA.9",9590.4,14003.8,23693.3,6272.1,3012.8,2142.9,0,0,0,0,1565.1,616.7,0,0,415.8,255.4
"hpt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"insF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"helD",0,0,453.8,339,0,93.2,0,0,0,0,2150.6,418.7,237.9,1856.7,430.4,367.2
"topA",0,0,0,0,753.4,617.6,0,0,0,0,1510.4,478.5,0,0,418.3,326.2
"fabI",692,423.3,0,0,759.3,331.4,0,0,338.7,469,1944.1,1118.8,237.7,1914.7,340,368.1
"ydiQ",0,0,0,0,0,0,0,0,0,0,1542.2,350.6,0,0,0,0
"yehE",5291.3,3464.1,10438.1,7766.9,1760.6,2564.2,691.1,443.8,1037.5,485.8,2989.9,3268,238.4,0,686,785.4
"murQ",1369.1,646.9,0,0,1032.3,635.9,0,82,1096.4,651.8,2343.7,1955.8,1136.6,2021.1,642.4,819
"yqeJ",0,0,3122.2,3472,585.3,231,0,0,0,0,1937,1201.7,0,0,515.9,298.2
"fis",2953.7,1290.8,4298.1,3703,817.8,358,0,0,0,0,1807.4,2356,0,0,482.3,568.5
"yidH",0,0,3381.9,4517.6,1041,604.2,0,0,0,0,1556,1282.6,0,0,425,340.7
"metA",425.1,8620.3,435.8,305.7,837.9,732.2,467.1,545.9,350.9,10752.9,0,0,0,0,362.7,2509.4
"yjbF",1448.5,640.8,1332.5,2309.2,567.7,313,0,0,0,0,1705.7,1949.7,0,0,400.9,277.5
"murI.14",0,0,3721.4,4609.6,0,0,0,0,409.9,451.4,1737,2587.1,0,0,399,435.7
"infA.10",2501.5,7287.8,3242.2,1189.4,639.6,796.7,0,0,267.5,3874.3,1445.9,5747.7,516.7,14343.5,330.3,662.8
"rihC",0,0,0,0,0,0,0,0,0,0,1406.4,540.6,0,0,0,0
"queC",0,130.6,695.9,231.4,1506.5,1385,570.3,346.1,0,0,2297.3,3571.4,0,0,639.5,556.3
"ybjQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ycgJ",1927.8,654.8,0,0,1186.8,1246.1,688.6,499.3,1230.5,585.7,2725.9,4922.5,0,0,724.5,979.7
"cvrA",0,0,0,0,0,121,0,0,0,0,1490.9,728.4,0,0,359.2,314.2
"mdtJ",5525.3,3534.7,2649.9,362.3,2845.6,2686.5,1209.3,1507.4,3633.3,2141,4678.2,5287.9,5886.8,359.8,2038.2,2333.4
"yefM",4663.7,2004.3,4286.5,3787.1,1339.2,2075.6,801.6,1769.4,2410.2,772.9,770.4,174,1421,0,1477.6,1073.9
"epmC",0,0,1899,2738.2,797.8,377.6,0,0,0,0,2222.1,2274.3,0,0,541.1,521
"cysC",0,0,3811.1,6608,0,0,0,0,0,0,1398.2,893.7,0,0,0,44
"pnp",0,0,4083.9,5408.1,0,0,0,0,0,0,1279.1,725.4,0,0,0,0
"lyxK",5164.8,4931.2,10044,9540.6,1657.2,1765.8,651.5,682.5,2920.4,2450,5962.3,5026,50259.7,4785.7,1543.2,1640.1
"rhaR",0,0,3627.3,5009.7,0,99.7,0,0,0,0,1322.6,1289.7,0,0,622,402.3
"yiiQ",0,0,0,0,0,0,0,0,0,0,1470.7,770,0,0,0,40.7
"yjiV.1",0,0,3793.9,2683.7,1299.2,828.1,0,0,491.8,973.3,1668.8,1381.6,0,0,934.6,905.6
"murI.15",0,0,2345.3,5937.2,984.2,601.1,0,0,0,0,1798.3,1806.2,0,0,0,150.5
"gapA.10",10438.5,2373,15136.9,2099,1302,666.1,0,0,0,0,1015.1,527,0,0,533.2,223.1
"fhuA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"envY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lrp",0,0,3151,4533.3,536.8,404.3,0,0,0,0,1342.8,1645.5,0,0,527.1,356.4
"puuR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.6,208.7
"ycjQ",0,0,1507.9,314.3,2253.4,1321.5,601.6,891.5,0,0,1759.7,2371.4,0,0,0,0
"ydiY",3765.5,3944.1,2401.3,602.8,1212.6,1863.2,848.9,2505.3,2848.4,536.6,297.7,205.7,10699.3,686,1202.8,1002.4
"rfbA",0,0,1989.4,4628.1,763.3,388.4,536.9,290,893.4,430.1,1081.2,1262.4,116.6,0,779.7,1075.7
"eutG",1893.5,941.8,3202.7,4152.4,895.9,667.9,501,293.5,0,0,1823.7,1460.7,0,0,673,939.7
"yqeA",3268.3,1304.4,7676.3,8510.4,1008.5,670.8,0,0,0,0,1102.1,1121.3,0,0,574.5,299.2
"yhdN",0,62.8,5228.8,9495.7,699.1,340.3,0,39.3,0,0,1369.7,1733.8,0,0,526.3,430
"yibL",0,415.2,4975.3,7680.7,833.8,440,0,62.2,0,0,1578.8,2485,703.4,0,830.6,756.8
"yjbI",0,0,2892.9,4369.1,1088.7,674.9,0,0,0,0,1071.6,1246.7,0,0,524.5,430.8
"dnaB",0,0,3547.6,4375.8,801.3,389.9,0,0,0,0,1313.8,940.3,0,0,473.7,323.7
"parC.8",0,0,1909.4,2924.8,578.2,362.9,0,0,0,0,1075.1,1540.9,0,0,0,0
"gapA.11",0,0,2929.1,598.1,1233.2,696.4,0,0,0,0,1194.3,452.2,0,0,0,0
"djlA",2263.4,809.5,0,0,813.1,571.3,494.8,282.7,0,0,2203.4,1659.1,0,0,734.4,751.5
"dnaX",2860.2,1215,839,207.1,793.3,583.8,587.1,352.6,1145.7,480.8,2340.8,1875.9,1842,457,1163.2,1165.1
"ybhS",0,0,0,0,0,0,0,0,0,0,0,237.5,0,0,0,0
"ycgV",0,0,0,0,0,0,0,0,0,0,997.3,717.4,0,0,451.8,281
"chaA",0,0,1257.5,2291.7,784.8,338.4,0,47.8,0,0,1721.1,2867,632.7,2093.9,455.2,462.8
"cnu",4009.3,2437.9,1441.6,363.7,990.6,2210.6,842.8,1138.7,1873,961.2,551.7,266.5,6226.4,542,2201,2953.9
"fliF",12919,1226.7,3314.6,2727.2,1231.5,1145.4,0,0,8146.3,510.2,108192.5,5437.8,58997.6,235.1,2028.7,874.9
"yfdI",10189.7,6947.1,13106.2,7314.3,1921.4,1834.3,0,0,0,0,2790.2,2209.6,5163.9,315.5,613.6,376.4
"yqcE",1289.6,1182.8,4202.3,4012.4,1480,854.8,0,71.8,0,0,1522,3736.7,270.7,9212.6,339,486.9
"mlaB",0,0,2750.7,3653.7,0,0,0,0,0,0,993.2,648.8,0,0,0,0
"slp",1812.8,729.4,3780.7,3406.4,807.8,833.6,0,66.3,0,0,1725.4,2296.5,540.7,657.1,596.7,596
"hslU",0,0,2195,2894.1,636.4,319.1,0,0,0,0,1523,2576.6,0,0,504.2,416.2
"gldA",4367.1,8572.7,6977.4,7142.9,1370.9,6350.5,575.2,3945.4,485.5,949.5,0,0,403.5,11523.4,1069.4,1662.4
"rsmC",3396.9,1563.1,7561.6,4264.3,1313.2,1674.1,0,0,0,0,1351.7,1472.3,0,0,384.6,332.9
"parC.9",0,0,1598.8,2315.8,0,0,0,0,0,0,1058.8,1328.5,0,0,0,0
"infA.11",1821.3,714.7,1508.9,565.5,844,1503.2,477.1,258,0,0,765.6,193.2,0,0,0,0
"mrcB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ompT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trxB",0,0,2319.1,2440.2,632.1,329.7,0,0,0,0,1353.3,739.7,0,0,521.8,431.8
"puuD",0,0,0,0,0,0,0,0,0,0,1344,776.9,0,0,0,0
"ycjP",0,0,0,0,660.7,633.5,709,336.9,1448.4,542.4,1757.5,774.2,364.9,0,951,904.4
"rfbC",982.9,582,2605.8,3278.5,0,0,0,0,0,0,1666.7,1267.2,0,0,529,440
"eutH",1500.6,753.3,2679.4,2490.4,698.9,523.9,0,0,0,0,1751.9,832.7,0,0,485.7,348.5
"hyuA",2193.9,977.4,5615,4668.4,635.8,309.8,0,0,1597,385.7,2608.3,1808.6,3617.7,375.8,778.8,413.9
"zntR",0,0,2020.1,2771.6,0,0,0,0,0,0,1465.7,983,0,0,427,334.8
"mtlR",1744.2,682,4044.3,6105.1,1147.1,862.4,0,0,1758.9,700.7,2178.9,2457,1969.5,321.8,1064.8,1057.6
"malM",0,0,3879.4,7166.3,932.2,427.8,0,0,0,0,3323.1,2611.1,1615.9,0,1051.3,407.1
"qorA",1783.5,2067.1,3012.8,3090.4,840.6,678.4,0,0,0,0,1270.2,1287.6,0,0,0,48.5
"rpoE.8",635.3,599.4,1516.2,2186.4,0,0,0,0,0,0,1077.7,1358.6,206.5,641.1,374.6,292.6
"infA.12",0,0,1915.2,1296,669.8,487.2,0,0,0,0,1260.7,672.6,0,0,0,0
"lptD",0,0,0,0,802.9,3640.3,572.7,464.3,0,0,1431.8,1377.2,0,0,0,0
"apt",0,0,0,0,665.4,808,0,0,1198.4,708.7,1653,1076.8,516.5,0,756.1,818.3
"ybhR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dhaR",2124.2,1546.4,0,0,1429.7,1295.4,623.2,844.5,0,0,4220.5,5187.4,561.5,0,741,393.4
"kdsA",1507,476.2,1182.3,1680.7,761.7,580.7,0,0,0,0,1284.2,2200.7,0,0,393.5,257.5
"ydgJ",2664.3,46239.3,1432.4,1169.2,1041,3175.5,466.9,1506.1,187.8,213,666.8,182.5,101.4,583.7,326,111
"fliE",2093.9,1124.9,2723.8,5351.2,1603,2213.4,0,82,1577.1,908.4,1840.9,1917.2,690.8,0,1012.2,1232.5
"yfdH",4208.9,1382.9,10760.2,6945.9,6015.1,3376.9,0,0,0,0,2043.2,1122.9,0,0,627.1,292.3
"ygcW",0,0,4533.6,4476.4,0,145.6,0,0,1644.2,1309.4,1300.4,770.5,0,0,0,0
"ibaG",0,0,3036,3820.8,0,0,0,0,0,0,885.8,534.8,0,0,0,0
"insH11",0,0,4046.8,5636.4,870.9,838.5,0,0,0,0,1108.6,1484.7,0,0,460.9,420.3
"menA",0,0,2324.3,5641.5,1087.5,550.3,0,0,0,0,1179.1,1750.3,0,0,536.4,479.3
"yijF",0,0,3030.9,3071.9,0,115.6,0,0,0,0,978.3,811.7,0,0,0,0
"fhuF",0,0,4299.8,4683.4,1098.8,1867.1,444,299.9,0,0,1105,1089.2,0,0,437.2,408.4
"rpoE.9",0,0,5372.9,12108.7,647.3,346.4,0,73.5,0,0,5322.5,1267,345.2,984.8,477.4,810.4
"gapA.12",11531.5,1506.2,14005.6,1857.4,1226.1,629.1,0,0,0,0,443,405.3,0,0,0,0
"ispU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fetB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,293.3
"ycaI",0,0,4023.9,5019,0,0,0,0,0,0,0,252.2,0,0,0,58.8
"tyrR",0,0,2413.3,5927.8,1017.4,434.8,0,63.8,908.9,418.6,894.2,895.4,0,0,765.7,836.5
"abgB",0,0,0,0,913.9,936.5,543.2,273.9,0,0,1529.5,4070.9,2067.8,366.7,563.9,587.6
"sodC",868.5,477.8,997.7,623.2,866,571.6,521.5,349.5,986.3,415.5,626.7,538.2,775.2,0,1092.3,1065.6
"yegH",1971.1,923.8,0,62.7,880,638,554.8,383.1,1651.3,590.8,953.8,1238.1,1212.1,0,1422,1578.8
"bamC",0,0,2296.2,2552.2,912.8,501.6,0,74.8,0,0,1163.1,635.4,0,0,492.1,390.2
"ygfZ",0,0,2219.7,4152.9,532.2,293.6,0,0,0,0,1155.1,1421.7,0,0,508.2,387.4
"gltB",2762.1,1079,6362.8,7713.6,1077.7,1044.2,0,0,0,0,1502.2,1975.7,0,0,745.4,640.1
"waaJ",0,0,5603.1,9369.4,1001.7,524.2,469.5,291,0,0,1632.7,3790.1,0,0,958.2,922.1
"soxS",0,0,2811.6,4853.4,1404.4,764.4,0,0,0,0,867.8,409.2,972.8,0,861.2,933.5
"nrfG",0,0,1722.6,5505.1,508.4,325.4,0,0,0,0,1100.4,1459,183.3,999.4,421.4,410.3
"slt",0,0,2642.4,3367.2,604.2,623.7,0,0,0,0,1393.5,2301,0,0,432.5,428.2
"parC.10",0,0,1145.4,1430.7,0,186.9,0,0,0,0,1164.1,771.4,745.4,0,662,802.1
"gapA.13",0,0,2286.6,658.5,842.1,1054.5,0,0,0,0,1050.1,352,0,0,0,0
"mntR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"narJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ychE",3707.7,1239,1858.2,1736.1,870.4,2192.9,629.7,402.1,1474,896.3,3931.7,7768,7114.4,2601.3,686.5,667.4
"gnsB",3088.9,1384.8,1294.8,230.4,813.9,1202.8,725.9,655.2,2846.9,989.5,3081.2,2720,3592.4,0,2888,2694.1
"drpB",0,0,1368.2,4557.3,0,0,0,0,0,0,908.2,716,0,0,0,0
"ypdI",7617.3,9676,19458,12756.1,1250.8,1009,0,0,0,0,1292.6,1074.4,0,0,0,0
"fucO",0,0,1564.3,2337.8,497.5,476.6,0,0,0,0,1075.1,858.2,0,0,0,0
"tdcE",0,0,0,0,0,0,0,0,0,0,977.9,628.1,0,0,0,0
"bcsC",0,0,2779.7,4210,0,160.9,0,0,0,0,1249.5,1516.3,0,0,440.4,480.5
"eptC",0,0,4544.7,4333.5,717.3,588.8,0,0,0,0,1318.9,1517.2,0,0,588.3,447.1
"birA",1002.4,904.8,1987.8,2304.7,810.9,719,0,0,0,0,1563.3,4071.3,0,0,470.7,239.8
"insA7",0,94.2,3822.3,2558.3,680.2,485,0,0,0,0,2237.6,4596,0,0,542.3,233.7
"parC.11",0,0,1999.4,2733.6,636.9,418.2,0,0,0,0,1068.4,1526.2,0,0,0,82.4
"infA.13",2452.9,788.5,1421.7,540.6,1733.8,1728.3,371.2,473.7,3461.6,301.7,2315.1,1886.5,0,0,0,0
"dxr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fetA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ihfB",1320.5,801.4,2881.8,3924.4,900.7,1040.4,0,0,0,0,795.8,747.2,0,0,457.2,410.2
"ycjF",0,0,0,0,861.1,687.5,0,87,1569.9,632.5,1606.9,1121.8,276.6,0,792.2,869.1
"abgT",0,0,0,0,0,0,0,0,0,0,1137.1,980.6,0,0,0,0
"wza",0,0,0,0,0,134.4,0,0,0,0,1447.7,862.4,0,0,0,122.7
"purC",1559.1,1078.7,3307.2,5723.6,801.1,598.9,0,0,0,0,1321.2,981.6,0,0,440,484
"sdhE",1091.3,716.5,4587.7,6532,0,129.8,0,0,0,0,1258,1185.3,0,0,446.2,419.7
"yhcC",0,0,5235.1,5913.6,1068.8,1233.9,0,0,0,0,1490.9,1668.4,0,0,426,369.3
"waaY",3359.5,2586.5,6057.3,7617.8,1495.1,1671.9,699.2,629.1,1434.3,1078.1,2730.7,4835,2535.3,2934.2,1027.4,1347.1
"pdeC",0,0,1086.7,2741.7,657.9,522.8,0,0,0,0,1122.9,1374.1,0,0,483.1,361.1
"nrfF",0,0,641.1,431.3,0,0,0,0,0,0,1151.7,1298.2,0,0,378.7,196.8
"rpoE.10",5800.4,2602.7,10998.3,4286,1541.9,2074.5,0,234.6,316.1,681.6,2056.4,1481.8,1210.1,585.1,622.2,395.7
"infA.14",1305.4,516.3,945.5,655.5,1047.2,402.6,0,0,0,0,594.5,315.6,0,0,0,0
"ilvH",0,0,0,0,0,0,0,0,0,0,0,178.6,0,0,0,0
"mak",712.8,406.1,0,0,716.6,423.4,0,0,0,0,855.2,989.6,878.7,0,629.9,750.5
"narH",0,84,0,0,1110,1055.1,559.5,412.1,1131,647.6,1639.2,3187.9,1530.6,365.2,772.8,801.7
"adhE",0,0,0,0,0,157.3,0,97.9,0,0,764.6,740.6,0,0,398.3,296.5
"yedJ",0,0,1811,3027.9,1093.5,594.4,0,0,0,0,1456.9,2140.2,0,0,603.8,601
"yfdX",6466.4,2120.7,19512.4,10019,792.1,853.2,0,0,0,0,1154,1012.7,0,0,564.5,296.3
"ygdG",7035.2,10040.5,5105.6,5580.1,529.1,832.9,626.9,1548,410.1,352.5,2314,9310.3,339.7,934.6,636.1,819.1
"tdcF",0,0,0,0,0,0,0,0,0,0,533.7,735.3,0,0,414.7,282.3
"pdeK",0,0,5244.6,4657.3,768.4,884.5,0,0,0,0,1510.4,1133.7,0,0,487.9,423.5
"yijO",1072.2,472.1,3438.3,4960.8,1257.7,3284.5,518,603.5,0,0,916.1,1261,0,0,685.2,636.8
"murB",1021.2,730.1,3061,3277,1159,1502.6,0,0,0,0,534.5,774,0,0,0,0
"rpoE.11",0,0,4191.7,6563.4,991.6,1837.6,0,0,0,0,1190.6,951.4,0,0,506.7,368.9
"gapA.14",9037.6,2475.6,16025.7,2970.5,1586.2,738.8,0,0,0,0,0,0,0,0,0,0
"allE",965,463.8,629,237,929.9,684.2,0,79.1,0,0,1462.3,2428.6,0,0,656.9,537.2
"ssuE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rcbA",0,0,513.9,195.1,882.1,835.3,543.4,418.3,1462.9,526.1,1982.5,2849.2,773.3,0,1366.2,1234.4
"sodB",1858.2,750.8,0,0,1220,954.6,621.1,485.9,2122.3,387,2560.8,1694.2,2900.2,0,1336.8,935.7
"ydhW",0,0,2887.9,4969.1,845,321.7,0,0,0,0,937.8,770.9,0,0,451.1,459.7
"ppk",2736.3,819.6,4289.6,2913,924.5,702.8,0,0,0,0,1054.2,904.6,119.7,0,761.2,523.8
"ppdC",5218.3,1657.1,8431,7890.5,1091.2,2411.9,0,0,0,0,665.5,1272.4,0,0,482.9,233.1
"mdh",2054.4,602.4,2584.4,4179,626.3,396.5,0,0,0,0,966.9,989.5,0,0,524.2,266.2
"spoT",0,0,3346.6,6699.3,596.7,433.7,0,0,0,0,1050.5,1618.5,0,0,673.4,529.2
"alsC",0,0,3809.2,4879.8,808,362.4,0,0,0,0,1249.3,2313,0,0,477,407.3
"yjjY",0,0,928.1,521.1,804.8,475.4,0,66,0,0,1354.7,2305.6,0,0,445.2,531.6
"parC.12",0,0,2874.1,2899.5,592.3,367.2,0,0,0,0,1960.8,3207.2,2906.9,370.9,959.9,824.8
"gapA.15",0,0,2633.8,676.8,1210.5,935.5,0,0,0,0,783.8,320,0,0,0,0
"yaaX",0,0,0,0,0,0,0,0,0,0,836.7,523.3,487,462.4,406.8,473.6
"yajO",877.6,390.8,671.8,372.4,736.1,1050.1,0,43.8,0,0,2059.9,6833.4,0,0,317.4,276
"ybjG",0,0,0,0,0,0,0,0,0,0,1036.7,650.9,0,0,439,319.8
"tonB",1743.2,876.6,0,0,655.8,661.4,481.3,274,0,727.6,1851.6,1988.6,837.9,1019.2,546,787.7
"ydfU",0,0,0,0,0,0,0,0,0,0,1133.8,698.1,394,984.1,465.6,361.4
"dicB",1054,357.3,0,0,914,482.4,0,54.1,0,0,1144.6,822.9,0,0,539.5,532.2
"cobS",0,0,2162.8,2365.8,581.8,549.1,0,75.4,0,0,1322,1324.9,0,0,628.9,638.7
"xapB",0,0,3140,2642.4,0,198.9,0,0,0,0,1123.4,1471,0,0,474.8,288.9
"hycA",15083.9,42496.7,54545.4,25071.4,892.2,90.9,0,95.7,0,0,1625.8,1165.1,0,0,456,510
"agaC",0,0,4125.3,7142.6,706.4,387.5,0,0,0,0,1300.2,3053.1,0,0,475,530.1
"yiaG",0,0,2803.4,3477.2,0,0,0,0,0,0,925.6,1017.6,0,0,447.3,266.9
"rpoB",0,0,2596.6,2260.8,510.9,603.2,0,0,775.2,485,1605.1,2498.2,0,0,541.9,581.2
"sgcC",0,0,3215.9,4393.6,0,0,0,0,0,0,1118.3,1193.1,0,0,455.3,260.2
"fimF",3591.1,3561.3,4639.9,5738.7,1310.7,2969.3,0,0,0,0,999.5,1669.7,0,0,0,0
"parC.13",512.4,922.6,0,0,0,0,0,0,0,277,832.4,580,237.8,1716.7,0,0
"infA.15",0,0,1410.4,616.5,987.3,1529.5,506.5,358.5,0,0,1466.9,2893.6,0,0,0,0
"mutT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
