"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"kefF",0,0,0,0,0,0,0,0,0,0,599.7,383.6,0,0,0,0
"polB",0,0,0,0,0,0,0,0,0,0,649.9,704.3,0,0,0,0
"hemH",0,0,0,0,0,0,0,0,0,0,574.8,481.7,0,0,0,0
"ybiA",0,0,0,0,0,0,0,0,1364.5,1126.8,0,117.1,0,0,0,0
"prs",5239.1,2903.3,0,0,850.8,991.3,588.2,510.7,951,1525.8,1685.9,2368.1,0,0,556,694.4
"uidB",0,0,0,0,0,245.7,0,0,0,0,526.2,390.3,0,0,458.4,435.5
"wbbJ",1696,678.1,0,0,0,97.9,0,0,206.4,1899.8,709.2,1065.4,0,0,0,168.1
"fadI",0,0,1440.7,2026.9,582.3,628.3,0,0,1509.6,793.5,1144.7,1140,0,0,402.9,370.9
"ygcN",2271.1,1468.5,1028.9,1339.3,868.2,667.8,0,0,0,0,997.1,962.8,0,0,449.2,382.4
"pyrG",0,211.2,1860.3,2651.1,0,170.4,0,0,0,0,781.5,735.1,0,0,0,0
"yrbG",0,0,1358.6,1270.6,771.4,484.5,0,0,0,0,820.8,1256,0,0,594.3,483.1
"hdeD",0,0,1060.2,2292,620.6,677.3,521.6,400.5,0,0,825.7,972.5,0,0,367.9,390.5
"rpmE",0,0,1139.6,2289.1,0,0,0,0,0,0,657.4,356,0,0,0,0
"opgB",1210.9,742.7,1256.6,2419.7,0,356.8,0.3,5,483.1,1085.9,1033.2,3469.7,0,0,595.3,733.1
"dapD",0,0,0,0,0,0,0,0,0,0,0,128.4,0,0,0,0
"fabZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rhsD",0,0,0,0,0,0,0,0,0,0,667.9,333.3,0,0,0,0
"ycbJ",3569.8,2228,0,0,962,632.7,0.2,13.4,4221.4,4913.4,19846.7,7184.5,23632.8,5543.1,477.2,628.2
"mppA",0,0,0,0,435.1,226.4,0,42.9,0,0,1075,976.8,913.6,0,615.4,594
"chbB",1133.7,1172.7,0,0,735.6,286.8,0,0,0,0,726.5,445.1,0,0,639.4,367.8
"wcaE",0,0,0,0,0,0,0,0,0,0,620.1,671.9,0,0,561.8,480
"narQ",0,0,1024.5,799,0,0,0,0,0,0,875.6,565.2,0,0,587,769.6
"lysS",0,0,513.3,558.3,428.9,271.5,0,0,0,0,838.8,673,0,0,602.5,746.1
"gcvH",0,0,822.5,1694.1,743.7,446,0,0,0,0,617.5,628,0,0,495,413.2
"insH10",0,213,1497.3,2541,802.3,946.4,0,0,629.5,442.9,1330.8,2318.1,3199.9,338.8,976.4,1060.9
"waaQ",416.3,9539.2,1164.3,2121.5,766.6,918.6,0,0,123.4,6040.1,298.5,182.2,0,0,489,1421.4
"yjcH",0,0,1228,1675.6,1295.7,1017.1,0,0,0,0,1056.8,1365.9,0,0,362.9,341.5
"leuD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"murE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brnQ",4381.3,626.2,0,0,0,0,0,0,21333.3,560.4,419.3,314,0,0,975.3,348.4
"ybiW",7929.7,4806.4,0,0,942.9,534.5,638.2,749.4,3094.2,1678.2,12924.5,9800.9,18194.4,338.5,1109.5,800.6
"rssA",0,0,0,0,0,0,0,0,0,0,685.4,586.1,0,0,336.6,311.1
"slyB",2036.4,957.4,0,0,568.2,505.7,0,0,1547.5,429.6,1380.4,1368.1,2220.1,315.5,737.2,701.6
"yedP",0,0,557,740.4,0,0,0,0,0,0,760.5,658.2,289.4,498.5,401.2,370.7
"emrK",871.6,4660.2,737.3,1291.7,0,130.9,0,0,663.2,930.9,1086,1083.5,802.1,8993.7,439.5,543.9
"truC",1073.3,470.2,1180,1438.9,0,179.5,0,0,0,0,791,915.2,0,0,573.6,500.8
"fucR",0,0,0,0,0,168.7,0,0,0,0,786.5,849.8,0,0,310.6,288.1
"yhaB",0,0,1305.3,2157.8,0,275.9,0,0,941.3,904,990.9,1363.7,0,0,442.7,458.9
"bcsE",0,0,2931.8,4138.7,601.2,745.8,0,0,162.4,1115.1,576.1,609.2,0,0,283.3,493.6
"oxyR",0,0,2487.3,1237.9,1739.2,993.2,0,0,0,0,745.3,1098.2,0,0,0,0
"ytjB",0,0,1475.2,1926.6,623.3,727.7,0,0,0,0,747.3,824.9,0,0,0,0
"lpxD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybbP",2875,1971.2,989.5,431.1,508,368.3,0,0,2360.9,883.3,2388.9,3429.6,0,0,570.4,426.6
"kdsB",3186.3,3125.1,0,0,449.2,403.3,640.7,751.9,1579.6,1482.8,1287.4,1811.8,2386,429.7,652.4,757.6
"pgrR",398.1,541.1,0,0,467.8,759.7,0.8,2.1,1318.4,3109.6,1066.1,2789,2806,10285.7,678.2,1703.4
"chbC",3594.2,2413.8,0,0,0,302.4,522.2,327.1,1377.3,960.9,938.8,1236.6,1089.3,0,716.9,701.3
"wcaF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aegA",1170.5,2728.5,0,0,518.7,551.4,0,1.2,890.3,1647.1,799.6,1437.9,892.8,791.5,552.9,637.8
"idi",0,0,1147.5,967.1,0,153,0,0,0,0,734.7,597.5,0,0,384.3,361.1
"gcvP",720,2865.6,4089.5,4074.8,2634.9,3553.9,605.6,638.4,509.3,3963.1,1029.3,1384.8,1409,8583.1,554.2,1337.6
"waaG",0,0,1711,2620.5,434.4,359,0,0,0,0,835.9,911.9,0,0,433.3,341.4
