"murD",3851.2,2979.56,3030.27,2562.45,2358.98,2451.02,2521.63,2384.1,1906.7,2182.7
"ftsW",2087.15,1926.87,1412.83,1189.42,1293.98,1183.52,1191.22,1182.36,1121.7,1411.9
"murG",4182.23,4305.99,3504.45,3057.81,2950.55,2998.42,3036.59,2957.54,2611.23,2749.81
"murC",3767.39,3652.04,2754.05,2345.98,2328.15,2297.49,2206.83,1819.65,1391.24,1071.37
"ddlB",5008.03,4658.09,4228.98,3908.42,3855.61,3942.41,4146.03,3994.3,3305.45,2667.92
"ftsQ",6622.91,6280.84,6042.81,5640.31,5644.97,5707.7,6313.42,5897.47,5226.66,3070.42
"ftsA",7264.5,7032.95,6867.5,5968.78,5584.56,5370.73,5620.23,5154.28,4764.79,3146.42
"ftsZ",9113.91,7769.35,9661.05,9165.42,9181.67,8935.45,8921.16,8226.67,7289.73,2934.03
"lpxC",6141.37,6923.67,5780.26,5867.98,6392.6,7430.39,7895.35,8375.63,8676.33,8230.32
"secM",10143.97,10133.73,9843.82,9644.98,9906.56,10191.37,10545.41,10626.13,10452.85,11078.33
"secA",7801.53,7185.17,6557.41,5924.02,5869.32,5773.37,5519.22,5278.12,5195.02,4998.42
"mutT",3232.43,3009.13,2906.93,2602.91,2655.81,2433.36,1973.63,1754.88,1485.86,1219.29
"yacG",3644.38,3757.69,3192.97,3048.1,3049.29,2896.62,2562.93,2278.82,1853.05,1220.21
"zapD",5228.95,4430.19,4994.63,4579.19,4639,4348.29,3890.07,3871.13,3363.35,1746.79
"coaE",5575.84,5580.02,5085.22,4744.45,4604.16,4507.41,4257.87,3799.36,3712.11,2212.73
"guaC",9183.37,7511.69,10115.2,10345.38,9828.52,8948.95,8727.8,8089.84,6794.53,5143.45
"hofC",718.08,846.06,805.43,948.16,932.49,1112.78,1080.12,1167.54,1257.33,2184.67
"hofB",744.65,429.12,373.26,448.67,364.89,959.73,533.87,579.33,760.14,1022.03
"ppdD",500.87,687.53,489.52,619.21,507.8,643.13,774.81,1061.08,1450.59,2514.03
"nadC",6186.22,5711.38,5882.27,5658.2,5781.55,5490.65,5117.86,4713.42,3985.61,1967.92
