"","7200","21600","10800","36000","0","3600","14400","10800 | 1","21600 | 1","36000 | 1","0 | 1","3600 | 1","14400 | 1","0 | 2","10800 | 2","36000 | 2","3600 | 2","21600 | 2","7200 | 1","14400 | 2"
"yejL",3.489947493,1.866304119,3.708680021,2.515371272,5.168074409,3.349346944,2.45591186,3.639697328,1.995020226,2.302322492,3.641114283,1.976083936,1.892132034,4.633043989,3.004331871,2.216560459,3.066688477,2.182174471,4.67125481,2.654302853
"lapC",1.713169566,1.361307244,1.993919329,1.394589343,2.57280623,1.839017851,1.5397665,3.562187702,1.686632905,1.832882636,3.132535195,1.755137336,1.561697754,4.793648107,2.851157807,1.983376295,2.738750967,1.700494288,5.101262819,2.226908853
"yejO",2.315495768,1.451468334,2.553276847,1.751691606,3.245413666,2.333059975,1.807863562,3.233528928,1.841107077,2.180512436,3.160715561,2.147665619,1.816126102,2.885733949,2.201706184,1.912375291,2.360351634,1.751852379,3.271671733,2.02755309
"narP",4.674635248,2.354984901,5.326783699,3.424950529,8.055551409,4.777686458,3.015369761,5.738918846,2.181303968,3.236150161,4.856547835,2.584993905,2.05097654,4.07309376,2.977958492,2.284626174,3.270035391,2.118229692,4.272907239,2.339926126
"ccmH",2.231870807,2.027063343,2.265647892,2.085219586,2.467460897,2.480402727,2.709602452,2.348913749,1.875718378,2.234723196,2.360688253,2.038397034,2.026631766,1.858847685,1.916400329,1.813406576,2.017916356,1.712124475,2.098695917,1.715665915
"ccmG",1.912895773,1.569514105,1.721184246,1.687572442,1.887557015,1.9867531,2.355600887,2.055361398,1.768817223,1.924627573,1.849433693,1.705978009,1.67741466,1.97331477,1.886401101,1.935328766,2.110411679,1.671159699,2.12023031,1.933999923
"ccmF",1.784785446,1.458519262,1.593814508,1.545073117,1.682672472,1.77721039,1.90590322,1.914343387,1.648569819,1.861567097,1.712178803,1.561629723,1.696745218,1.769074638,1.753102161,1.656316023,2.000079805,1.50050425,2.064415683,1.901816049
"ccmE",2.978702083,2.157673426,2.596264216,2.387970383,2.505583404,2.677227449,2.79669642,2.951262932,2.130516095,2.616080283,2.506977238,2.282161673,2.189831428,2.461663731,2.309368575,2.108559859,2.478538457,1.756905591,2.827462534,2.108146
"ccmD",2.208512532,1.786948184,2.305504475,1.983551506,2.231077744,2.433544727,2.337553285,2.525279642,1.85709351,2.047203573,2.140570605,1.782295402,1.780357017,2.190150705,2.02070064,1.711428109,2.128825298,1.566988297,2.325697821,1.841180489
"ccmC",1.743128601,1.37935513,1.83304905,1.501136451,1.719253885,1.697922094,1.742789959,1.902460317,1.483854767,1.695528239,1.890998103,1.448261697,1.50476542,2.140571782,1.633836674,1.460682097,1.647140938,1.410707721,1.869612727,1.459628983
