"","0","1800","3600","5400"
"ydaV",17.8688,17.5174,19.5376,16.4101
"ydaW",59.6393,28.8548,16.2066,26.3604
"rzpR",42.6201,57.2996,30.3524,22.3769
"trkG",6.24689,0.929515,2.47895,1.83178
"ynaK",6.10766,4.84118,2.84332,3.2923
"ydaY",1.12969,4.79065,2.15966,8.1928
"ynaA",1.80713,20.3277,11.6807,20.8096
"insH5",282.764,231.802,131.939,175.958
"stfR",4.61256,7.89094,14.7405,8.08489
"tfaR",45.8653,213.922,596.653,656.52
"pinR",132.898,228.462,682.674,891.288
"ynaE",51.6247,240.401,843.312,933.983
"ompN",100.134,232.233,481.637,522.398
"micC",19.0707,244.068,973.304,654.44
"ydbK",1265.89,1555.07,832.477,1002.4
"hslJ",646.38,839.492,992.75,1098.07
"ldhA",1857.31,1061.74,1969.62,1994.04
"ydbH",414.679,735.982,754.541,759.219
"ynbE",576.68,383.878,576.153,675.252
"ydbL",310.911,266.692,534.103,520.724
"feaR",178.312,707.19,789.382,816.123
"feaB",189.581,527.923,554.851,519.367
"tynA",157.032,613.401,835.197,784.401
"paaZ",62.7767,578.197,909.31,830.439
"paaA",52.4054,631.054,715.398,590.346
"paaB",48.2075,424.393,489.17,518.317
"paaC",72.9043,746.14,733.578,888.73
"paaD",126.178,578.443,547.197,543.299
"paaE",166.269,958.061,731.786,643.304
"paaF",75.973,640.96,642.306,611.134
"paaG",167.953,821.511,694.184,718.714
"paaH",94.8781,413.515,426.172,365.913
"paaI",121.634,568.627,537.134,473.69
"paaJ",172.263,893.154,607.466,572.518
"paaK",180.742,796.825,662.729,554.194
"paaX",573.688,585.482,631.497,863.086
"paaY",462.167,500.669,615.031,714.529
"pdxI",631.122,849.459,798.787,960.125
"ydbD",92.0174,249.154,683.768,776.952
"ynbA",17.9607,219.772,560.715,573.562
"ynbB",31.98,308.96,732.243,723.979
"ynbC",165.754,438.735,789.722,762.529
"ynbD",65.9749,332.771,703.838,657.833
"azoR",711.087,359.664,458.43,503.517
"hrpA",1006.43,802.984,912.774,841.516
"ydcF",1748.69,1004.61,868.839,1006.95
"aldA",1284.48,4633.76,615.312,679.525
"cybB",2912.95,424.699,949.629,1061.05
"ydcA",491.284,342.368,597.925,642.888
"hokB",278.216,336.873,643.816,718.613
"mokB",312.364,320.654,458.844,646.472
"sokB",185.657,527.502,1225.1,1257.23
"opgD",1210.53,650.694,917.293,803.28
"ydcH",163.765,1583.07,1027.74,1164.32
"rimL",363.311,299.048,645.317,924.78
"ydcK",371.845,620.725,746.575,877.239
"tehA",300.4,275.745,585.214,606.463
"tehB",1402.27,294.324,583.951,668.974
"ydcL",557.207,497.884,684.046,663.521
"insQ",303.149,349.154,494.236,481.171
"sutR",282.053,480.124,681.847,736.725
"rlhA",749.214,680.348,783.959,815.524
"yncJ",163.018,426.739,823.774,861.187
"hicB",641.32,373.179,715.742,801.747
"ydcR",487.992,386.137,690.28,778.371
"ydcS",138.571,1972.2,609.62,594.035
"ydcT",88.8762,847.41,496.875,505.05
"ydcU",123.398,690.096,677.749,652.93
"patD",244.087,783.57,816.739,731.928
"ortT",408.558,127.743,331.19,375.006
"ydcY",2667.85,1554.06,1268.7,1417.48
"ydcZ",233.658,302.89,440.528,584.625
"mnaT",1423.7,534.013,782.041,833.181
"curA",831.399,783.951,673.184,679.786
"yncD",269.213,284.122,617.34,664.405
"yncE",1613.91,509.893,707.955,590.488
"yncG",217.459,441.851,597.973,723.509
"yncH",38.9392,123.611,408.212,442.674
"rhsE",77.4073,265.958,614.928,601.229
"yncI",50.6969,273.868,502.808,593.028
"pptA",1475.81,543.107,699.555,970.023
"nhoA",300.111,416.67,496.297,627.689
"yddE",542.607,578.459,668.208,788.749
"narV",99.868,534.8,643.136,713.577
"narW",217.919,559.574,538.798,408.292
"narY",101.214,494.188,418.851,334.062
"narZ",79.2672,351.867,387.415,299.172
"narU",182.871,450.695,694.16,793.647
"yddJ",18.2238,270.338,630.935,791.635
"yddK",22.2438,284.884,641.402,696.813
"yddL",2.9009,299.206,637.523,681.376
"yddG",315.818,172.501,434.518,499.921
"fdnH",221.081,657.333,615.117,567.373
"fdnI",153.956,393.224,464.228,493.752
"yddM",1365.59,1741.82,1659.7,1932.19
"maeA",3312.11,694.811,877.842,716.375
"sra",10557.5,7956.9,3967.19,4245.52
"osmC",6327.97,4638.2,3004.34,3966.05
"ddpF",67.8949,364.604,460.077,439.034
"ddpD",158.937,843.73,825.826,942.158
"ddpC",195.086,743.499,878.532,837.131
"ddpA",184.214,1160.28,910.407,853.754
"ddpX",104.944,1163.19,859.083,1080.89
"dosC",527.138,769.637,740.315,873.618
"digH",669.841,249.366,544.898,548.368
"gadC",8731.65,7127.1,3671.14,3961.06
"gadB",14139.9,10579.6,5330.54,5562.3
"pqqL",195.59,368.949,848.017,777.645
"yddB",41.3001,250.468,835.293,1108.67
"yddA",2.80795,296.402,940.292,1113.52
"ydeM",66.4002,275.714,726.738,820.336
"ydeN",204.008,829.966,942.766,1145.63
"ydeO",68.6582,262.73,907.426,1173.7
"safA",49.3779,277.401,1006.94,1166.03
"ydeP",149.193,259.021,666.524,817.296
"ydeQ",19.808,224.645,932.112,1129.48
"ydeR",26.6365,248.086,800.252,910.649
"ydeS",41.863,240.787,715.312,919.453
"ydeT",60.2871,234.672,744.995,863.317
"yneL",21.7061,174.228,621.447,744.949
"hipB",746.918,556.061,757.742,775.673
"lsrK",331.096,1142.34,885.398,968.406
"lsrR",302.594,1185.63,686.786,751.402
"lsrA",110.711,1257.78,851.127,945.348
"lsrC",95.4929,663.358,500.933,478.902
"lsrD",12.2668,435.141,592.98,494.628
"lsrB",77.8447,969.215,589.315,627.459
"lsrF",159.208,1128.84,609.226,602.835
"lsrG",187.508,1179.61,791.799,816.468
"tam",931.45,1060.9,958.391,1065.72
"yneE",419.003,374.59,743.868,741.344
"uxaB",12.4707,614.739,985.4,1039.87
"dgcF",86.6997,418.208,658.173,682.966
"glsB",814.896,527.465,687.936,725.124
"sad",946.155,487.567,796.223,762.822
"yneJ",243.134,344.519,591.465,573.656
"ydeA",702.195,302.436,762.867,903.454
"marR",468.036,161.69,520.046,583.352
"marA",1826.92,604.494,1362.21,1492.04
"marB",314.105,218.939,570.02,824.368
"eamA",859.453,482.043,656.497,692.555
"ydeE",28.2657,19.2976,113.383,176.885
"dgcZ",302.149,350.494,802.289,976.037
"ydeI",510.712,656.915,875.415,1373.03
"ydeJ",204.304,399.346,931.415,1074.84
"dcp",2076.48,420.297,701.56,718.61
"ydfG",2784.22,740.067,1073.09,1199.11
"rspR",833.351,372.657,636.88,654.563
"ydfZ",308.338,503.541,870.517,871.53
"ydfJ",177.306,391.669,837.069,975.129
"stfQ",28.9276,112.815,430.987,446.936
"ydfO",54.0665,229.108,798.039,1000.99
"gnsB",86.8033,1.70152,23.325,42.3917
"ynfN",5.62104,157.178,499.493,608.217
"cspI",36.2751,132.5,608.489,973.708
"rzpQ",21.0612,170.103,469.708,582.408
"rrrQ",94.7341,210.775,470.665,546.332
"ydfR",58.3743,185.044,541,736.019
"essQ",14.6947,102.474,591.35,788.862
"cspB",74.529,173.887,603.548,855.425
"cspF",61.6644,151.39,493.894,720.686
"ydfT",109.207,167.268,426.744,446.126
"ydfU",91.275,218.35,464.563,448.277
"rem",92.582,233.182,673.106,810.701
"hokD",397.834,215.326,254.505,497.242
"relE",2328.83,1562.81,1461.13,2013.79
"relB",1502.37,1099.32,927.049,1412.97
"ydfV",70.7479,335.332,805.979,777.2
"flxA",263.649,543.439,850.686,1020.51
"ydfW",104.844,271.601,740.228,852.451
"ydfX",120.92,191.134,571.946,642.553
"dicC",55.3482,139.198,455.73,558.659
"dicA",2054.83,753.568,1029.75,1423.98
"ydfA",349.661,539.129,853.821,995.032
"ydfC",39.723,155.808,425.839,511.862
"dicF",48.3367,273.031,792.907,803.292
"dicB",110.963,445.598,1224.54,1417.8
"ydfD",87.7221,596.159,1382.06,1826.02
"ydfE",62.4492,248.341,513.951,580.927
"intQ",66.7614,181.172,598.218,632.063
"rspB",80.86,223.033,559.597,567.073
"rspA",43.3938,276.839,680.805,594.44
"ynfA",248.157,255.766,659.346,727.544
"ynfB",4377.04,1560.26,1486.84,1739.33
"speG",2999.33,842.057,1114.3,1186.08
"ynfC",940.198,729.145,1016.97,1277.08
"ynfE",103.307,452.116,677.962,572.713
"ynfF",462.12,794.483,974.703,1013.39
"ynfG",160.307,494.838,565.957,638.824
"ynfH",258.199,508.151,741.516,581.286
"dmsD",829.227,773.853,856.246,948.052
"clcB",162.14,637.596,929.562,761.562
"bidA",137.234,499.457,625.89,647.673
"mlc",1069.62,1386.31,1065.08,1212.96
"ynfL",397.442,545.518,842.423,861.37
"ynfM",164.605,420.917,813.64,846.223
"asr",337.593,706.435,935.246,1012.81
"mdtI",98.8569,192.561,596.288,468.728
"mdtJ",230.462,394.346,854.301,732.209
"tqsA",209.404,403.192,686.73,664.554
"pntB",6397.79,1257.15,1298.56,1286.99
"pntA",8423.11,2424.12,1687.17,1614.22
"ydgH",3202.41,818.679,1018.2,1066.5
"ydgI",195.596,392.213,645.297,474.936
"folM",457.898,448.094,718.867,640.105
"ydgC",798.379,330.418,590.507,599.351
"rstA",2055.02,564.308,842.729,901.632
"rstB",746.43,393.134,701.089,656.609
"tus",579.823,808.219,983.458,1006.38
"fumC",360.257,872.341,616.064,507.754
"fumA",3853.48,2527.3,1081.73,1054.77
"manA",2124.31,490.159,885.458,848.865
"ydgA",4486.47,4082.86,2368.95,3018.33
"uidC",48.3323,274.372,780.796,757.981
"uidB",32.8975,301.153,590.65,546.632
"uidR",561.771,559.388,875.752,1130.17
"malI",275.443,763.271,1019.05,876.607
"malX",106.835,494.6,731.31,793.64
"malY",422.103,464.444,715.233,639.335
"add",253.031,502.898,710.445,608.322
"ydgJ",1224.01,387.77,799.749,744.707
"blr",1669.8,645.623,1105.85,1415.12
"cnu",1822.29,619.417,1245.51,1428.4
"ydgK",677.135,291.333,614.942,647.994
"rsxA",314.248,354.204,581.908,622.976
"rsxB",751.891,479.465,982.119,1048.27
"rsxC",675.607,521.418,830.53,739.848
"rsxD",383.513,445.608,645.377,666.048
"rsxG",487.624,483.877,767.504,685.701
"rsxE",479.616,462.307,902.717,843.881
"nth",283.831,238.188,644.188,705.933
"gstA",2389.51,1772.75,1330.71,1516.34
"pdxY",1095.63,555.611,754.933,573.421
"tyrS",4137.65,817.023,1029.18,933.816
"pdxH",2101.2,646.615,781.097,722.121
"mliC",360.811,619.36,796.672,642.274
"anmK",578.676,462.644,599.363,572.754
"slyB",7288.41,3163.7,2044.59,2945.7
"slyA",3301.57,986.481,1354.68,1873.24
"ydhI",239.378,449.153,753.766,746.301
"ydhJ",177.755,429.539,670.75,556.438
"ydhK",141.995,893.816,841.56,829.552
"sodC",1747,4321.75,1732.67,2345.99
"ydhL",19.9422,523.977,537.713,397.143
"nemR",783.479,523.833,480.521,388.926
"nemA",463.097,701.256,698.501,574.129
"gloA",3005.45,1504.03,1271,1335.69
"rnt",516.349,578.923,623.628,634.56
"lhr",247.535,467.623,561.912,526.981
"grxD",3895.87,938.889,999.044,1116.06
"mepH",1154.62,719.569,870.075,918.234
"sodB",11786.6,8718.87,4588.58,4651.69
"ydhP",562.174,523.68,806.166,788.683
"purR",2581.94,527.463,1019.28,1041.94
"punR",174.949,369.645,567.756,476.09
"punC",201.222,461.568,534.81,613.005
"cfa",6457.15,4103.4,2816.74,3274.21
"ribC",2064.55,597.871,949.662,1020.9
"mdtK",717.854,376.997,795.155,909.478
"ydhQ",2559.16,1353.55,1049.08,1303.73
"ydhR",5571.59,3164.96,2235.91,3083.72
"ydhS",653.978,784.772,913.124,1070.33
"ydhT",374.973,533.524,806.177,862.136
"ydhU",125.052,252.253,725.215,723.456
"ydhX",98.2199,262.087,660.605,570.469
"ydhW",122.349,377.246,770.921,589.047
"ydhV",37.8634,194.819,571.192,545.273
"ydhY",6.06468,183.98,621.508,634.982
"fumD",616.371,680.458,863.712,1048.22
"pykF",5507.63,2341.32,1802.69,1864.95
"lpp",10365.9,6317.37,3803.76,4076.52
"ldtE",2677.25,4904.99,1987.66,2929.35
"sufE",349.705,590.109,576.908,663.068
"sufS",822.24,1370.65,822.907,931.396
"sufD",941.852,1713.86,1109.95,998.519
"sufC",833.056,1141.93,756.38,724.936
"sufB",1408.13,2307.74,1191.3,1375.59
"sufA",1696.15,3193.64,1413.47,1491.5
"rydB",460.074,352.874,721.292,1004.11
"ydiH",5889.82,763.697,2267.69,3330.45
"menI",1565.1,381.861,850.877,754.417
"ydiJ",1935.5,284.94,572.785,496.855
"ydiK",595.524,360.726,634.033,745.496
"rprA",142.18,566.522,1155.95,1429.71
"ydiL",57.3303,355.754,898.235,962.577
"ydiM",10.1854,174.415,560.986,712.362
"ydiN",26.0182,160.623,570.176,553.206
"ydiB",78.7235,379.673,932.867,766.389
"aroD",1057.8,281.282,732.262,562.428
"ydiF",48.6084,315.286,946.678,885.747
"ydiP",241.268,380.538,847.157,747.519
"ydiQ",96.2303,373.179,927.449,765.258
"ydiR",53.8759,455.272,508.835,511.043
"ydiS",82.3991,430.857,691.682,658.663
"ydiT",60.9852,370.959,649.378,654.487
"fadK",83.4342,258.877,486.133,370.469
"ppsA",5077.18,944.671,1242.44,1281.36
"ppsR",1575.28,870.24,1544.12,1691.4
"aroH",1258.35,391.819,745.735,829.262
"ydiE",88.3473,495.737,1160.93,1161.72
"selO",445.878,469.2,883.921,688.979
"rflP",725.906,603.463,1253.53,1327.99
"nlpC",1132.02,448.372,617.471,923.903
"btuD",1218.26,524.164,815.642,906.36
"btuE",1689.84,839.29,878.755,923.528
"btuC",476.539,572.174,661.707,594.048
"ihfA",4830.02,4575.24,1919.52,2488.26
"pheT",3651.96,906.002,1215.4,1110.52
"pheS",3860.15,790.117,1076.48,1065.35
"pheM",407.116,401.442,587.419,677.161
"rplT",4380.19,954.231,1428.29,1800.22
"rpmI",9350.95,2485.83,2829.85,3508.61
"thrS",8432.93,3002.37,2264.33,2429.32
"ydiY",448.656,315.437,792.371,861.694
"pfkB",3826.09,1656.17,1459.49,1570.47
"ydiZ",3063.27,3708.44,1669.54,2088.81
"yniA",2940.49,4635.08,1604.45,1927.23
"yniB",1518.87,858.356,1054.33,1444.46
"hxpB",1011.62,355.027,823.954,856.972
"ydjM",96.0076,334.508,843.281,871.582
"tcyP",4152.4,327.424,781.014,779.402
"ydjO",31.548,148.28,495.622,481.021
"cedA",484.409,450.808,1002.07,1228.84
"katE",3905.19,1426.54,1259.54,1391.51
"chbG",158.991,468.308,788.364,814.25
"chbF",81.3729,285.991,720.403,918.313
"chbR",179.291,189.503,548.176,525.089
"chbA",177.591,292.411,614.245,622.063
"chbB",527.785,880.043,823.532,968.909
"osmE",4464.4,4894.05,3536.81,4401.28
"nadE",4414.75,1137.7,1389.57,1536.2
"cho",302.536,229.495,524.609,474.982
"spy",1020.45,1112.22,995.089,1404.22
"astE",71.5973,316.41,700.847,572.686
"astB",73.3034,410.435,670.522,554.4
"astD",122.428,1140.5,1072.11,900.489
"astC",200.302,1923.85,579.609,509.312
"xthA",1024.34,339.341,619.84,685.787
"ydjX",103.943,428.168,778.781,658.014
"ydjY",124.583,542.154,826.252,656.215
"ydjZ",47.0344,230.645,392.574,279.716
"ynjA",287.398,574.36,594.277,580.053
"ynjB",326.034,528.22,648.066,722.836
"ynjC",102.146,399.615,541.964,362.573
"ynjD",141.054,545.348,816.273,631.187
"ynjE",115.78,483.291,529.365,526.688
"ynjF",151.325,246.969,459.959,402.871
"nudG",205.417,419.826,809.002,667.358
"ynjH",136.311,281.276,496.49,511.533
"gdhA",6245.93,865.523,2240.1,1548.17
"topB",404.211,344.087,710.207,481.647
"selD",2584.74,1496.6,1200.44,1243.46
"ydjA",3812.17,1999.3,1435.49,1797.7
"sppA",720.711,348.821,565.325,451.345
"ansA",1467.54,652.332,863.104,949.855
"pncA",950.615,494.316,839.275,749.831
"ydjE",41.7719,239.343,670.868,654.101
"ydjF",371.765,709.612,829.702,984.351
"ydjG",137.036,317.836,733.492,696.362
"ydjH",113.859,286.245,775.858,686.83
"ydjI",190.557,333.707,839.151,961.936
"ydjJ",94.0184,277.524,673.745,738.999
"ydjK",47.4995,219.35,646.123,622.256
"ydjL",77.1889,303.099,813.495,880.433
"yeaC",4122.45,2993.33,1109.48,1431.28
"msrB",4457.86,3452.14,787.103,1110.97
"gapA",11892.2,4806.76,3240.38,3534.96
"yeaD",2135.66,548.267,1037.51,994.471
"yeaE",575.026,490.464,721.281,689.776
"mipA",5122.78,781.169,882.794,957.105
"yeaG",3501.9,7482.33,2230.21,2531.43
"yeaK",1596.41,447.373,1092.85,1293.36
"yoaI",78.4828,152.573,488.5,531.62
"yeaL",316.793,473.355,854.307,1043.55
"nimR",288.873,297.019,849.057,878.175
"nimT",166.536,315.096,756.821,765.073
"yeaO",862.127,639.118,910.501,1553.8
"yoaF",555.542,342.673,726.602,785.811
"yeaQ",5620.23,2746.57,2056.6,3174.5
"yoaG",108.818,453.394,964.957,977.858
"yeaR",55.5357,249.216,748.622,703.459
"leuE",392.528,379.878,954.24,1069.93
"dmlR",423.076,766.357,621.015,604.413
"dmlA",176.835,406.27,744.444,682.544
"yeaV",6.66568,333.251,616.804,559.716
"yeaW",105.369,633.371,833.974,775.784
"yeaX",56.7282,432.141,623.446,587.71
"rnd",726.765,889.51,823.797,727.525
"fadD",387.196,3273.5,833.682,750.181
"yeaY",753.576,768.114,854.873,876.582
"tsaB",1020.84,460.85,772.158,669.19
"yoaA",235.434,341.171,626.418,570.476
"yoaB",3620.32,640.856,960.636,972.196
"yoaC",1902.09,2490.26,1640.64,2308.53
"yoaH",1160.37,470.528,660.185,849.049
"pabB",699.519,394.463,671.387,645.943
"nudL",898.836,633.775,800.139,744.478
"sdaA",652.089,1364.27,965.203,1094.41
"pdeD",135.718,566.032,731.247,777.635
"yoaE",303.876,437.855,1085.33,880.938
"manX",4469.52,3306.33,3593.67,3414.95
"manY",3531.89,2147.02,2967.17,2505.89
"manZ",3639.67,2054.35,3140.89,2505.92
"yobD",216.331,296.228,864.702,953.76
"mntP",49.5822,269.734,547.21,510.348
"rlmA",608.701,348.179,863.69,853.638
"cspC",12244.3,8002.25,3948.75,4329.23
"yobF",11037,7337.36,3526.16,3858.88
"yebO",1105.58,501.422,1133.5,1329.02
"mgrB",2379.43,748.721,1152.91,1413.8
"kdgR",1879.7,929.59,1058.62,1521.12
"htpX",2698.23,1357.35,945.905,1228.92
"prc",1936.74,547.044,610.364,609.974
"letB",582.6,678.839,958.082,722.817
"rsmF",506.681,605.207,907.722,961.11
"yebV",5421.51,5275.43,3002.12,3679.35
"yebW",1577.9,2193.76,1760.19,2380.28
"pphA",270.146,514.097,726.003,751.516
"ryeA",2201.97,2492.32,1035,1280.58
"yebY",2205.39,550.504,934.207,932.865
"yebZ",1675.98,570.481,919.083,903.207
"yobA",2492.83,683.504,927.067,1126.99
"holE",1761.9,870.985,1179.19,1312.12
"yobB",368.942,497.3,713.193,656.516
"exoX",658.795,618.602,882.417,912.073
"yebE",541.387,939.66,1142.06,1169.93
"yebF",3601.7,1734.42,1466.7,1755.28
"yebG",1730.03,1078.22,1203.32,1295.34
"purT",2199.08,707.866,844.31,688.1
"eda",2964.93,828.812,996.591,938.086
"edd",216.296,580.82,748.719,725.14
"zwf",4134.09,806.693,925.408,879.28
"yebK",918.168,817.174,660.647,689.484
"pykA",3388.25,1592.19,1379.15,1213.25
"lpxM",1389.18,605.178,766.607,758.602
"mepM",3484.38,697.779,1039.16,1056.75
"znuA",9414.41,2099.13,2490.52,2857.86
"znuC",1993.7,658.589,968.536,1322.17
"znuB",2946.58,1015.18,1565.82,1631.57
"ruvB",796.743,684.327,862.996,858.089
"ruvA",890.786,429.568,726.056,803.102
"yebB",74.8152,432.997,947.781,839.066
"ruvC",1135.88,452.431,823.874,826.581
"yebC",4688.88,1141.27,1303.76,1295.91
"nudB",2990.71,953.515,1015.95,1054.33
"aspS",4397.52,1179.92,1332.21,1263.21
"yecE",384.848,511.041,806.572,665.25
"yecN",2559,1122.92,1089.73,1477.2
"cmoA",2064.21,946.8,1227.61,1182.29
"cmoB",884.641,541.751,784.336,713.397
"torZ",102.564,366.667,465.367,441.782
"torY",88.2879,487.728,737.475,721.719
"cutC",665.017,465.983,692.37,851.276
"yecM",783.956,506.334,749.312,809.801
"argS",2794.73,714.958,981.003,894.392
"yecT",1.52336,30.5493,60.7808,58.7223
"flhE",1.68458,24.9044,32.0814,29.5058
"flhA",107.089,67.6076,53.2736,69.3481
"flhB",65.1259,74.2975,27.6751,53.9324
"cheZ",109.505,62.294,54.6429,55.062
"cheY",333.198,76.0024,62.5176,74.3158
"cheB",193.754,80.9042,90.3584,85.418
"cheR",120.493,126.327,122.322,95.1811
"tap",184.728,88.1017,47.8606,49.9065
"tar",453.096,152.646,86.2783,68.1435
"cheW",268.536,61.2787,43.5597,65.3429
"cheA",465.543,142.043,109.418,139.401
"motB",250.445,128.313,86.1375,43.2585
"motA",156.897,94.5998,71.993,72.1793
"flhC",80.232,10.1007,16.8788,26.26
"flhD",258.84,36.2598,64.241,85.1537
"uspC",331.34,421.738,896.057,1062.58
"otsA",3347.81,3032.66,1836.04,2333.1
"otsB",2482.08,2367.19,1357.74,1947.25
"araG",98.4495,562.166,832.993,879.116
"araF",45.3106,460.284,670.553,676.676
"ftnB",1047.81,1303.29,1100.64,1172.18
"yecR",39.1003,101.989,343.44,326.043
"ftnA",3557.82,1610.33,1805.37,1862.41
"yecH",66.6635,352.882,795.377,818.695
"tyrP",403.523,212.796,665.017,619.009
"yecA",1684.44,1118.92,1145.32,1176.94
"pgsA",1102.07,485.14,825.4,851.301
"uvrC",1194.41,312.717,697.669,598.601
"uvrY",3215.44,814.607,1111.05,1131.67
"yecF",674.54,259.189,746.26,957.894
"sdiA",293.35,271.175,662.275,676.076
"tcyN",1041.05,450.843,699.633,714.659
"tcyL",1710.71,466.488,754.361,659.704
"tcyJ",4123.92,1735.66,1349.94,1514.93
"fliZ",308.632,329.605,777.81,833.76
"fliA",164.895,207.638,495.472,524.229
"fliC",1306.7,472.162,548.012,522.656
"fliD",224.135,262.546,534.124,488.697
"fliS",299.184,536.522,857.634,747.085
"fliT",112.832,338.496,584.015,591.918
"amyA",1227.03,1148.33,757.607,877.567
"yedD",1535.09,572.764,619.456,706.341
"yedE",1280.24,659.745,915.46,1004.7
"yedF",505.027,590.63,886.484,1068.22
"yedK",113.556,316.987,637.715,757.046
"intG",71.8858,327.934,707.594,704.295
"fliE",97.8446,263.526,561.727,566.615
"fliF",98.5645,487.278,673.003,564.983
"fliG",86.4147,496.888,586.055,467.485
"fliI",118.497,550.404,508.929,509.347
"fliJ",107.362,673.392,743.414,655.732
"fliK",61.655,670.654,702.998,626.065
"fliL",144.689,662.685,681.653,646.423
"fliM",357.198,779.295,844.149,748.198
"fliN",120.456,476.696,620.401,536.789
"fliO",62,635.66,838.773,882.874
"fliP",48.1657,375.579,552.715,491.48
"fliQ",41.8662,348.785,628.896,632.252
"fliR",40.4508,308.149,764.34,773.263
"rcsA",157.185,275.647,601.903,616.318
"dsrB",510.482,622.725,655.328,769.203
"yodD",1244.84,4076.89,1747.81,2894.46
"dsrA",138.131,304.127,465.535,589.259
"yedP",457.749,1447.25,824.924,1175.77
"dgcQ",251.612,345.805,504.324,565.135
"yodC",2692.88,4065.97,1840.73,2585.55
"yedI",1199.25,955.188,900.216,1049.61
"yedA",145.137,733.672,1062.1,1090.83
"vsr",287.487,392.731,565.801,567.695
"dcm",1213.22,702.491,914.227,879.601
"yedJ",1045.84,326.513,681.157,600.289
"hchA",2397.67,2909.61,1774.51,2457.41
"hprS",207.859,138.931,554.641,586.021
"hprR",724.28,233.519,680.404,866.473
"hiuH",352.68,564.13,1153.12,1273.37
"msrP",471.934,623.089,1015.66,1121.81
"msrQ",308.403,401.095,782.952,1047.94
"zinT",11826.5,6717.1,4033.43,4573.62
"yodB",1289.14,312.624,939.59,1202.66
"mtfA",732.394,1485.08,893.179,1109.54
"yeeJ",120.608,275.477,662.664,563.447
"shiA",605.658,347.011,628.333,713.044
"amn",1669.01,553.194,804.434,797.966
"yeeN",3123.58,387.019,1213.04,1551.16
"cbl",367.156,260.369,673.679,636.594
"nac",114.014,256.396,587.664,650.187
"ldtA",931.815,1522.94,1184.49,1629.37
"cobT",183.829,101.793,139.61,215.471
"cobS",724.298,347.07,659.795,718.202
"cobU",555.518,321.029,646.114,731
"yeeP",150.818,330.622,457.957,490.354
"flu",1866.72,1086.71,831.173,760.44
"yeeR",443.869,993.478,831.196,789.235
"yeeS",107.211,717.32,645.264,695.044
"yeeT",66.8774,1166.83,1081.5,1151.34
"cbeA",74.0486,381.806,388.43,445.071
"cbtA",81.9044,593.042,722.112,748.215
"yeeW",245.516,669.669,707.384,806.689
"tmaR",5803.08,2225.05,1925.14,2260.77
"yeeA",479.818,657.449,687.136,731.878
"sbmC",1345.94,2558.24,1270.6,1416.71
"dacD",156.871,334.382,452.89,478.017
"sbcB",748.202,415.559,513.527,543.852
"tsuB",2856.82,464.235,1235.36,1619.4
"tsuA",2528.46,355.276,861.365,1212.93
"plaP",2075.56,413.899,653.639,781.74
"yeeY",223.627,827.214,891.635,944.377
"yeeZ",1368.71,957.033,903.933,1103.84
"yefM",2167.46,1129.4,1390.32,1744.65
"hisL",4633.75,1791.36,1857.64,2891.21
"hisG",4204.82,4087.81,1387.4,1297.64
"hisD",1168.4,2287.82,462.88,352.543
"hisC",2824.39,4575.59,1118.23,696.022
"hisB",1782.08,2426.43,621.69,509.187
"hisH",2194.62,2823.44,738.465,653.294
"hisA",2464.23,3071.9,926.406,743.983
"hisF",3721.72,4120.03,1074.78,869.252
"hisI",2586.96,3739.44,1028.62,1071.24
"wzzB",1570.64,373.925,646.457,774.942
"ugd",574.838,286.017,583.359,660.48
"gnd",8282.88,1860.38,1405.5,1843.98
"wbbK",3497.67,651.332,806.655,1146.75
"wbbJ",3482.62,520.331,671.152,1054.87
"wbbI",4589.51,624.579,940.83,1322.01
"wbbH",2813.93,667.637,901.135,1382.84
"glf",4709.42,987.571,1140.26,1420.55
"rfbX",1922.87,369.238,620.024,760.915
"rfbC",3057.65,433.731,709.611,950.993
"rfbA",3737.65,551.66,844.378,1109.3
"rfbD",3905.44,525.647,871.594,880.167
"rfbB",4062.55,598.976,959.542,1114.7
"galF",6908.03,1596.5,1268.53,1684.59
"wcaM",156.788,376.011,536.864,488.007
"wcaL",16.2884,338.879,354.596,509.683
"wcaK",90.9214,512.602,455.697,465.083
"wzxC",108.623,1258.02,1048.49,953.271
"wcaJ",126.347,1097.73,847.786,796.96
"cpsB",136.156,588.008,550.814,486.25
"wcaI",213.526,815.204,695.256,583.806
"gmm",191.079,782.044,623.084,559.203
"fcl",114.341,426.742,491.033,382.106
"gmd",313.146,470.288,519.759,539.963
"wcaF",68.8551,337.971,519.41,529.964
"wcaE",51.0316,236,514.552,663.696
"wcaD",57.4018,416.587,725.499,786.934
"wcaC",84.1498,537.426,505.42,521.409
"wcaB",6.37108,220.77,474.473,495.287
"wcaA",124.842,598.62,695.155,629.529
"wzc",42.1626,174.007,362.54,307.654
"wza",92.7897,468.922,606.31,574.203
"yegH",473.878,584.601,744.432,728.758
"asmA",825.079,751.886,862.777,653.847
"dcd",1892.81,969.675,929.866,970.726
"udk",1501.3,734.694,777.775,816.256
"dgcE",261.957,574.483,631.113,603.305
"alkA",157.519,408.7,348.255,319.276
"yegD",400.116,590.026,656.724,509.344
"yegI",74.2748,803.193,989.095,894.004
"yegJ",113.07,678.244,1092.19,1185.62
"pphC",34.439,352.215,599.106,657.712
"yegL",45.6391,414.663,539.943,467.762
