"","0","1800","3600","5400"
"yagP",101.452,357.356,646.148,458.206
"paoD",134.201,366.517,597.733,514.117
"paoC",115.972,633.395,643.531,504.337
"paoB",68.649,417.617,480.245,396.965
"paoA",147.139,658.909,707.78,763.926
"yagU",3900.28,671.482,1393.26,1416.97
"ykgJ",197.538,566.618,872.244,890.234
"ecpE",102.847,460.292,710.487,668.21
"ecpD",189.992,666.77,762.974,709.271
"ecpC",84.1402,228.364,474.833,418.669
"ecpB",134.086,376.207,656.701,689.775
"ecpA",652.534,401.536,807.448,749.862
"matA",177.44,373.878,969.683,948.22
"ykgL",191.882,470.251,1093.95,1267.94
"ykgM",14793.4,8387.82,5040.18,5405.88
"eaeH",12.5917,211.916,650.077,632.2
"insE1",1235.47,1481.24,2046.95,2118.1
"insF1",485.989,1133.72,1648.82,1446.95
"ykgA",168.679,686.276,1367.28,1604.69
"rclC",84.8015,346.957,786.433,836.244
"rclB",45.4213,218.64,651.223,674.056
"rclA",587.175,769.269,1001.62,1251.47
"rclR",76.1463,330.035,643.595,700.736
"ykgE",218.999,519.5,1166.7,1268.4
"ykgF",194.363,286.262,764.683,877.264
"ykgG",371.516,510.352,1001.78,898.066
"ykgH",48.3085,329.871,859.128,790.758
"betA",545.845,471.533,755.201,599.756
"betB",587.529,277.937,268.738,233.261
"betI",2037.8,715.877,699.749,602.64
"betT",404.281,324.532,536.555,441.525
"pdeL",468.448,313.876,717.59,841.379
"yahB",198.774,352.682,570.557,577.966
"yahC",51.1711,439.545,639.062,637.586
"yahD",134.955,281.717,480.162,479.604
"yahE",79.9995,312.179,549.006,479.705
"yahF",51.7832,310.784,362.014,310.898
"yahG",205.35,841.37,836.897,659.152
"yahI",112.661,553.066,690.402,553.431
"yahJ",414.869,572.582,601.538,536.253
"yahK",2033.79,1298.87,1170,1466.15
"yahL",21.7545,224.427,507.448,508.915
"yahM",239.188,498.662,880.701,943.111
"yahN",49.5669,231.891,352.38,572
"prpR",90.0273,641.734,423.713,439.785
"prpB",248.527,1137.67,995.231,925.604
"prpC",204.359,937.988,837.472,756.914
"prpD",120.389,745.16,610.563,537.288
"prpE",47.9991,972.443,591.028,577.453
"codB",2675.73,724.181,542.558,390.634
"codA",2521.47,603.251,431.352,336.161
"cynR",282.167,1090.53,788.878,564.281
"cynT",149.785,1038.49,754.989,602.764
"cynS",243.396,876.632,697.277,535.917
"cynX",54.3882,539.642,525.637,466.502
"mhpR",337.137,1530.81,618.359,457.057
"mhpA",54.6941,944.494,641.491,441.138
"mhpB",92.712,1010.66,566.705,523.635
"mhpC",162.679,841.586,484.75,457.348
"mhpD",89.6677,878.81,500.194,459.508
"mhpF",111.98,554.366,349.574,343.602
"mhpE",147.801,1019.95,580.323,562.806
"mhpT",103.214,729.704,501.738,403.195
"yaiL",918.514,1299.7,863.969,809.486
"frmB",531.467,997.349,750.436,763.488
"frmA",2141.83,1359.74,1046.05,1156.98
"frmR",2133.29,1491.28,1113.08,1295.96
"yaiO",67.9842,738.177,697.428,718.601
"insC1",2354.1,2238.7,2119,2163.33
"insD7",1366.2,2705.21,3007,3070.5
"yaiP",53.7824,332.27,534.394,446.75
"yaiS",30.3101,327.837,609.471,521.511
"tauA",89.2646,497.565,711.101,706.719
"tauB",81.6986,271.754,392.128,356.024
"tauC",15.868,277.799,297.47,394.595
"hemB",1493.17,636.668,865.25,1018.98
"iprA",23.3771,386.08,767.612,572.105
"sbmA",343.838,475.959,774.763,722.431
"yaiW",718.256,452.172,650.821,698.255
"yaiY",145.788,595.261,909.744,899.269
"yaiZ",319.98,720.931,749.515,635.505
"ddlA",1743.53,613.265,961.568,995.704
"iraP",3384.8,2193.03,1480.75,2092.68
"phoA",672.479,874.626,799.966,858.257
"psiF",903.854,1571.42,952.818,1033.89
"dgcC",91.5321,533.071,826.318,838.982
"proC",1276.55,438.22,695.711,815.554
"yaiI",769.038,465.897,779.359,753.486
"aroL",2608.64,759.885,832.065,1134.82
"yaiA",1698.55,2055.89,1063.92,1592.38
"aroM",514.845,460.315,761.773,819.96
"ppnP",2289.58,1238.59,1024.93,1133.44
"ykiA",222.505,443.341,751.645,692.052
"rdgC",1073.89,578.393,765.856,729.791
"araJ",170.011,604.695,723.561,643.248
"sbcC",552.773,852.727,790.689,627.413
"sbcD",314.286,673.012,578.063,578.54
"phoB",445.397,746.413,649.865,627.491
"phoR",87.9935,410.042,430.785,346.532
"brnQ",1289.42,1178.07,959.648,891.666
"proY",613.229,1358.84,1154.11,1135.24
"malZ",270.844,615.284,649.862,706.605
"acpH",229.501,1109.72,729.896,640.739
"queA",1266.1,1356.15,1095.61,1026.17
"tgt",1797.88,758.035,650.396,641.715
"yajC",5619.81,1459.69,1218.94,1580.19
"secD",2643.12,848.955,812.474,782.242
"secF",1839.19,1196.3,1084.66,1032.64
"yajD",1405.37,1370.07,1116.9,1254.37
"tsx",2020.05,1414.28,1112.79,1143.24
"nrdR",1821.15,1290.61,903.024,981.924
"ribD",1237.43,1082.74,837.205,757.432
"ribE",3321.82,1792.07,1223.11,1158.87
"nusB",2370.57,741.118,724.04,694.219
"thiL",998.582,1310.41,846.858,723.273
"pgpA",842.839,1095.06,765.138,823.83
"yajO",1912.65,3461.04,1559.21,1898.8
"dxs",1226.46,1349.22,828.209,563.281
"ispA",1578.01,951.353,779.07,745.568
"xseB",1807.12,1137.23,836.807,828.493
"thiI",932.557,1126.25,718.75,671.516
"yajL",530.53,778.759,586.216,596.857
"panE",1530.64,2044.81,1233.45,1121.79
"yajQ",3693.59,1782.87,1379.35,1570.82
"yajR",368.958,811.819,622.323,667.031
"cyoE",4039.74,1358.48,588.898,756.028
"cyoD",6789.65,2452.57,774.711,847.262
"cyoC",7222.02,2040.36,712.684,747.169
"cyoB",6844.54,2387.39,868.083,762.424
"cyoA",8934.67,2985.39,1073.55,1380.09
"ampG",284.148,619.64,720.627,618.038
"bolA",2180.35,6431.89,1469.79,2168.18
"tig",6971.24,1097.57,1068.35,1154.79
"clpP",3839.33,2452.61,1363.17,1699.77
"clpX",4414.12,2654.43,1564.11,1797.97
"lon",2587.85,2421.04,1487.65,1475.02
"hupB",4471.64,1879.98,1231.96,1219.31
"ppiD",3547.29,1598.32,1265.23,1423.23
"ybaV",411.111,1588,1017.39,840.908
"fadM",267.708,1415.04,995.156,1059.84
"queC",1103.6,1365.27,1047.63,961.044
"ybaE",46.1846,775.563,582.939,583.903
"cof",379.913,924.149,1010.01,889.262
"mdlA",154.595,590.566,503.085,450.853
"mdlB",156.725,803.284,739.875,619.6
"glnK",82.6555,747.12,784.343,603.746
"amtB",117.351,445.224,463.53,465.354
