"","0","0 | 1","0 | 2","28320","28320 | 1","28320 | 2","53520","53520 | 1","53520 | 2","53520 | 3","53520 | 4","53520 | 5","53520 | 6","53520 | 7","53520 | 8","53520 | 9","53520 | 10","53520 | 11","0 | 3","0 | 4","0 | 5","28320 | 3","28320 | 4","28320 | 5","53520 | 12","53520 | 13","53520 | 14","53520 | 15","53520 | 16","53520 | 17"
"gspH",209.382926990792,238.856445833423,230.720118428372,235.568038559968,233.940851258727,219.792751728065,202.250575837025,191.340703825272,286.025507346488,216.766799964807,167.73035569387,245.571614547268,243.875327499248,205.073888662943,186.108482217,178.527189292852,202.250575837025,237.206543843935,177.294011918198,227.543726378642,247.279700204761,200.853529061568,242.190757561753,212.305803728497,207.936613467196,198.088319173426,200.853529061568,173.645353913302,212.305803728497,198.088319173426
"ycbX",1584.70655338741,1584.70655338741,1746.19625834077,1652.00232288691,1541.37266934893,1722.15585843961,1584.70655338741,1573.76018563892,1468.37017396821,1675.06341592634,1499.22375264832,1398.8252229165,1562.88942997561,1234.74721555534,1618.0046066962,1698.44642982798,1499.22375264832,1488.867857736,1640.59110930355,1807.77573640326,1606.82823249255,1629.25871873007,1595.7290591447,1398.8252229165,1468.37017396821,1541.37266934893,1722.15585843961,1698.44642982798,1458.2274002914,1530.72563060218
"lptC",5556.65132522566,5367.37138220386,5113.161928301,5556.65132522566,5634.21928710039,5220.6003294997,5077.84273895009,5077.84273895009,5518.26873084187,4770.7487701748,4870.99234305115,5077.84273895009,5007.93457742671,5148.72678204141,4938.98886222135,5113.161928301,5077.84273895009,5184.53900890227,5148.72678204141,5113.161928301,5256.91247641765,5184.53900890227,5832.9096011656,5042.76751706078,5113.161928301,5256.91247641765,5113.161928301,5220.6003294997,4973.34224648211,4973.34224648211
"yfaP",176.069352721887,177.294011918198,166.571757496567,149.085899067962,170.071784204353,170.071784204353,181.019335983756,157.586484908149,160.897711938794,187.40296908104,152.218510720348,154.343401944417,137.187003204645,143.012753673244,179.768944094464,176.069352721887,165.421162321599,167.73035569387,190.019017040518,168.897012578931,153.277274191223,168.897012578931,158.68258559219,158.68258559219,179.768944094464,172.445897838808,160.897711938794,165.421162321599,181.019335983756,164.278514888052
"yejK",3082.74533869787,3082.74533869787,2957.16699243007,2998.44750529664,3373.42880672798,2957.16699243007,3444.31171687921,3420.5201179786,3061.45126120435,3236.00921339239,3213.65646498509,3147.52037127785,2916.4548005828,2957.16699243007,2998.44750529664,3147.52037127785,3061.45126120435,2998.44750529664,2998.44750529664,3326.98581547514,3258.51743746015,3061.45126120435,3541.14449943701,3258.51743746015,3191.45811828941,2977.73571547199,3326.98581547514,3492.39251668155,3104.18752821329,3125.77885995122
"yadS",922.88047371349,1045.51641672417,1009.9022894012,1009.9022894012,1045.51641672417,922.88047371349,1144.10202938595,1016.92671532752,1031.12248325808,1144.10202938595,1024,1060.11128201357,1097.49602563716,1097.49602563716,1089.91506683224,1097.49602563716,1016.92671532752,1016.92671532752,1045.51641672417,1136.19913939747,1074.90988403002,1045.51641672417,1074.90988403002,1045.51641672417,1060.11128201357,989.118800819041,1097.49602563716,1060.11128201357,1016.92671532752,989.118800819041
"wcaA",199.466132393088,195.361178746952,176.069352721887,195.361178746952,192.671583668617,187.40296908104,186.108482217,172.445897838808,195.361178746952,177.294011918198,151.16706066298,165.421162321599,212.305803728497,182.278425036425,151.16706066298,179.768944094464,162.016844028196,172.445897838808,156.497955544585,159.786310259406,187.40296908104,173.645353913302,202.250575837025,164.278514888052,205.073888662943,163.143760296866,177.294011918198,165.421162321599,158.68258559219,156.497955544585
"insF1",1002.92638472901,935.763405034906,975.501309996992,948.82617537574,1024,1052.78855849581,1024,955.425783333691,935.763405034906,1031.12248325808,968.76303024701,910.174905514568,948.82617537574,1128.35083865765,897.64425862762,995.998666150181,982.28645818907,948.82617537574,975.501309996992,1067.48493910131,1024,995.998666150181,955.425783333691,929.299615044772,1016.92671532752,1009.9022894012,948.82617537574,942.272154239873,975.501309996992,879.171006912259
"rpsE",20171.0700682431,21027.6499056706,21769.1883781572,20171.0700682431,20171.0700682431,21173.9087771647,24491.6100896348,21469.4855288154,22073.0749233675,21618.8176101031,20311.3709558004,23987.5800423731,21469.4855288154,20311.3709558004,21769.1883781572,21027.6499056706,21469.4855288154,20882.4013179988,22226.6053009026,22536.8771484016,20882.4013179988,21027.6499056706,20882.4013179988,23170.4750059208,22073.0749233675,20882.4013179988,20882.4013179988,20171.0700682431,21027.6499056706,21321.1849595607
"gldA",182.278425036425,215.269482304951,250.731596182253,205.073888662943,230.720118428372,250.731596182253,294.066778879241,335.460711387741,278.204124806671,340.143568408707,317.365171184381,261.379104181041,259.573626826247,256,290.018274635724,300.245747003361,302.33412132596,302.33412132596,270.596618383713,265.027820503393,237.206543843935,268.727471007505,219.792751728065,248.999666537545,286.025507346488,330.842324643198,266.871234775327,282.087709664412,288.014972080335,272.47876670806
"rfaH",689.783591355233,685.018908050489,666.28702998627,719.075776377855,719.075776377855,729.113700145701,786.880092819462,689.783591355233,739.291748107518,694.581415653208,749.611876324161,734.185086984103,648.067376112783,820.295554651773,652.575041187462,754.825839253044,704.277410887549,694.581415653208,714.108757171408,739.291748107518,729.113700145701,709.176047672794,891.443776815232,729.113700145701,739.291748107518,719.075776377855,643.590847755176,749.611876324161,694.581415653208,694.581415653208
"yibN",5712.87005737126,6080.60854529659,6472.01842678479,6251.55771990245,6382.91623657882,5752.60621102284,6295.0407425557,6038.60671402435,7082.28899887403,6295.0407425557,5792.6187514802,6700.25366370535,6653.97163095028,5148.72678204141,6746.85761345596,6295.0407425557,6122.90252240871,6080.60854529659,6338.82621354963,6427.31292997018,5752.60621102284,6382.91623657882,5996.89501059328,6165.49067739573,6251.55771990245,6038.60671402435,6608.00929154766,6562.36443721418,5832.9096011656,6608.00929154766
"nohD",270.596618383713,276.282428545133,274.374006409291,256,290.018274635724,247.279700204761,276.282428545133,250.731596182253,335.460711387741,233.940851258727,238.856445833423,278.204124806671,304.437021440697,310.833890405132,278.204124806671,270.596618383713,265.027820503393,278.204124806671,225.971967050408,240.517823798787,274.374006409291,206.500290360864,272.47876670806,272.47876670806,256,216.766799964807,237.206543843935,243.875327499248,219.792751728065,248.999666537545
"yfjH",380.038034081037,362.038671967512,362.038671967512,404.501151674049,415.873226934392,335.460711387741,335.460711387741,308.686803888835,357.054378585704,312.995911089169,278.204124806671,390.722357493903,243.875327499248,288.014972080335,315.172969816299,306.554548382446,324.033688056392,250.731596182253,352.138705443775,427.565014747325,367.092543492052,328.557029776103,369.645874053759,352.138705443775,344.891795677617,315.172969816299,372.216964433999,380.038034081037,274.374006409291,326.287520593731
"sgbE",250.731596182253,248.999666537545,247.279700204761,222.860944203808,259.573626826247,250.731596182253,242.190757561753,263.197139623953,272.47876670806,278.204124806671,225.971967050408,237.206543843935,213.782507373663,222.860944203808,238.856445833423,257.78062081452,243.875327499248,237.206543843935,232.324903761193,268.727471007505,266.871234775327,238.856445833423,216.766799964807,235.568038559968,245.571614547268,235.568038559968,294.066778879241,261.379104181041,233.940851258727,233.940851258727
"rnt",1722.15585843961,1652.00232288691,1734.13439971846,1618.0046066962,1663.49290773757,1675.06341592634,1871.52681006981,1858.59923008954,1468.37017396821,1722.15585843961,1858.59923008954,1698.44642982798,1520.15213632415,1884.54430847975,1552.09376410665,1858.59923008954,1734.13439971846,1807.77573640326,1758.34201382452,1746.19625834077,1884.54430847975,1722.15585843961,1782.88755363046,1595.7290591447,1795.28851725524,1686.71440336399,1652.00232288691,1584.70655338741,1698.44642982798,1520.15213632415
"nudF",3236.00921339239,2998.44750529664,3019.30335701218,3304.00464577383,3104.18752821329,2896.3093757401,2646.73859714558,2702.35220126289,2592.26950445113,2538.92136947505,2610.30016474985,2876.30310551142,2401.96597602689,2646.73859714558,2665.14811994508,2683.68569110193,2646.73859714558,2610.30016474985,2778.32566261283,2856.43502868563,2721.14854726966,2740.07563220196,2876.30310551142,2610.30016474985,2610.30016474985,2683.68569110193,2856.43502868563,3019.30335701218,2521.38375853039,2721.14854726966
"nlpD",18053.6134185224,17318.1835765577,15935.9786584029,17682.0754268885,17198.5581444803,16961.7805122171,16384,16844.616935933,18179.1862303596,17079.7590256209,17198.5581444803,15393.1407231224,16728.2626675866,17318.1835765577,16612.7121168798,16961.7805122171,17438.6410693158,17079.7590256209,16612.7121168798,17079.7590256209,17438.6410693158,16844.616935933,17318.1835765577,15716.5833310251,16728.2626675866,16612.7121168798,16612.7121168798,17682.0754268885,16497.9597321293,15935.9786584029
"thrB",9216.47910657073,7912.95040655233,8248.97986606464,8659.09178827883,7486.10724027925,9674.69188243071,8659.09178827883,8306.35605843992,7643.40626666953,7912.95040655233,8135.4137226202,7858.29166551256,8306.35605843992,8192,7590.60940300592,7912.95040655233,7912.95040655233,7538.17723391898,8023.41107783211,8364.13133379332,9345.13636039412,8248.97986606464,9475.58960255212,8364.13133379332,8248.97986606464,7858.29166551256,8135.4137226202,6746.85761345596,8306.35605843992,7967.98932920145
"tolR",2683.68569110193,2610.30016474985,2556.5809641505,2486.67112324105,2486.67112324105,2610.30016474985,2797.650445833,2592.26950445113,2352.53423103393,2521.38375853039,2486.67112324105,2538.92136947505,2288.20405877191,2503.96728871335,2435.49617152557,2435.49617152557,2469.49443111068,2469.49443111068,2469.49443111068,2592.26950445113,2646.73859714558,2556.5809641505,2665.14811994508,2521.38375853039,2556.5809641505,2469.49443111068,2486.67112324105,2435.49617152557,2574.3633910207,2452.43638705957
"mnmG",2469.49443111068,2538.92136947505,2469.49443111068,2435.49617152557,2352.53423103393,2288.20405877191,2916.4548005828,2665.14811994508,2352.53423103393,2702.35220126289,2702.35220126289,2469.49443111068,2486.67112324105,2486.67112324105,2628.45623820883,2702.35220126289,2759.13436542093,2778.32566261283,2336.28409009853,2486.67112324105,2435.49617152557,2368.89740063803,2702.35220126289,2352.53423103393,2592.26950445113,2538.92136947505,2538.92136947505,2418.67297060768,2469.49443111068,2418.67297060768
"hemW",1097.49602563716,1082.38647353485,1168.14204504927,1136.19913939747,1097.49602563716,1105.12971418053,1226.21819352978,1031.12248325808,1038.29450730499,1192.6871925437,1136.19913939747,1168.14204504927,1152.05988832134,1260.69187926519,1160.0730985429,1152.05988832134,1184.44870031901,1226.21819352978,1074.90988403002,1168.14204504927,942.272154239873,1105.12971418053,1082.38647353485,1067.48493910131,1082.38647353485,995.998666150181,1082.38647353485,1016.92671532752,1002.92638472901,1024
"yniB",1746.19625834077,1710.2600589893,1782.88755363046,1807.77573640326,1978.23760163808,1746.19625834077,1448.15468787005,1428.21751434282,1663.49290773757,1408.5548217751,1398.8252229165,1686.71440336399,1584.70655338741,1573.76018563892,1652.00232288691,1606.82823249255,1595.7290591447,1468.37017396821,1541.37266934893,1652.00232288691,1734.13439971846,1652.00232288691,1897.65235075148,1758.34201382452,1584.70655338741,1389.16283130642,1663.49290773757,1675.06341592634,1243.33556162053,1618.0046066962
"rbbA",2320.14619708579,2352.53423103393,2288.20405877191,2241.113500182,2210.25942836107,2538.92136947505,2149.81976806004,2469.49443111068,2149.81976806004,2179.83013366448,2288.20405877191,2179.83013366448,2272.39827879495,2210.25942836107,2336.28409009853,2385.3743850874,2288.20405877191,2352.53423103393,2401.96597602689,2336.28409009853,2385.3743850874,2288.20405877191,1937.52606049402,2033.85343065505,2352.53423103393,2401.96597602689,2241.113500182,2401.96597602689,2241.113500182,2120.22256402714
"cobB",2469.49443111068,2256.7016773153,2418.67297060768,2225.63299845337,2091.03283344833,2385.3743850874,2288.20405877191,2272.39827879495,2385.3743850874,2401.96597602689,2210.25942836107,2256.7016773153,2778.32566261283,2469.49443111068,2721.14854726966,2385.3743850874,2256.7016773153,2452.43638705957,2288.20405877191,2435.49617152557,2320.14619708579,2352.53423103393,2503.96728871335,2368.89740063803,2336.28409009853,2256.7016773153,2091.03283344833,2272.39827879495,2320.14619708579,2304.11977664268
"trkA",1287.18169551035,1314.22811910441,1332.57405997254,1379.56718271047,1398.8252229165,1360.57427363483,1351.17610063144,1370.03781610098,1217.74808576279,1260.69187926519,1370.03781610098,1332.57405997254,1260.69187926519,1234.74721555534,1296.13475222557,1278.29048207525,1278.29048207525,1360.57427363483,1314.22811910441,1379.56718271047,1552.09376410665,1314.22811910441,1573.76018563892,1332.57405997254,1305.15008237492,1287.18169551035,1478.58349621504,1323.36929857279,1360.57427363483,1305.15008237492
"dhaK",2048,2646.73859714558,2721.14854726966,2592.26950445113,2538.92136947505,1438.15155275571,2452.43638705957,2665.14811994508,2628.45623820883,2503.96728871335,2503.96728871335,2836.70419069117,2574.3633910207,2304.11977664268,2469.49443111068,2486.67112324105,2538.92136947505,2486.67112324105,2740.07563220196,2721.14854726966,1937.52606049402,2702.35220126289,1278.29048207525,2418.67297060768,2592.26950445113,2592.26950445113,2521.38375853039,2740.07563220196,2521.38375853039,2435.49617152557
"gutM",158.68258559219,191.340703825272,219.792751728065,200.853529061568,195.361178746952,172.445897838808,192.671583668617,205.073888662943,181.019335983756,192.671583668617,177.294011918198,203.657339841259,144.007486040168,156.497955544585,173.645353913302,200.853529061568,190.019017040518,191.340703825272,200.853529061568,229.126418157561,159.786310259406,200.853529061568,152.218510720348,166.571757496567,174.853152864563,188.706459813261,222.860944203808,229.126418157561,183.546271746026,190.019017040518
