"","0","0 | 1","10800","10800 | 1","21600","21600 | 1","36000","36000 | 1","57600","57600 | 1","86400","86400 | 1","0 | 2","0 | 3","10800 | 2","10800 | 3","21600 | 2","21600 | 3","36000 | 2","36000 | 3","61200","61200 | 1","86400 | 2","86400 | 3","0 | 4","0 | 5","3600","3600 | 1","3600 | 2","3600 | 3","7200","7200 | 1","14400","14400 | 1","0 | 6","0 | 7","3600 | 4","3600 | 5","3600 | 6","3600 | 7","7200 | 2","7200 | 3","14400 | 2","14400 | 3"
"kbaY",33.3,213.4,300.8,80.3,67.2,56.6,70.3,59.9,58.1,75.1,688.6,92.5,153.1,613.2,157.4,90.9,180.7,78.9,95.8,152.8,124.1,142.9,223.7,203.2,72.7,129.2,264.9,102.1,200.7,201.3,344.7,267.6,330.3,52.4,303.3,337.2,187,199.2,408.8,288.4,132.6,598.6,344.7,379.9
"kbaZ",108.5,26.3,28.9,31.2,86,26.7,31.3,20.2,34.1,19.1,74.2,67.8,71.6,246.7,81.7,77.3,70.8,102.9,123.6,84.7,76.4,59.2,75.3,86.1,202,123.3,66.1,63,46,106.8,72.2,59.3,38.2,34.3,122.7,90.8,281.9,47.5,89.4,55.5,107.5,46.3,114.5,169.5
"agp",3366.6,3121.2,6497,7086.8,2342.6,3174.3,2788.8,2797.8,1628.6,1946.1,2707.6,2795.7,1920,28.5,4544.5,4379.4,4130.7,4140.7,4429.6,4353.9,5685.8,6239.2,8159.6,7244.2,5912.3,7132.3,13414,13377.6,5454.7,5185.5,4918.6,5103.2,4806.8,4733.1,4989.7,4536.6,5857.6,5793.9,8654.6,6808.3,16640.5,16384.4,14863.8,13808.7
"ahpC",17936.8,17447.5,22916.4,25583.1,27220.1,26354.3,19860.2,23098.1,15275.8,17142.5,10975.4,18150,24269.5,563.7,53832.7,65101.4,44915.3,46936,30736.7,31649.6,14830.8,21498,12093.3,13275.4,26855.1,28068.8,32626.4,33319,29297.1,27140.5,24230.6,25211.2,30766.9,31824.1,22606.6,21673.4,27882.9,36515.6,42325.2,45230.6,47834.5,50477.6,8738.6,8379.4
"ahpF",3094.1,3216.6,2204.7,2506.8,3859.2,4685.8,3452.6,4833.2,4039.1,4879.2,2216,4583.8,2271.3,314.3,3021.3,2510,2784.8,2965,3116.2,2915.8,1428.2,2236.7,1166.4,902.3,2770.1,2947.1,3481.7,3186.1,3022.2,3017.4,3483.5,3522.6,4371.7,4250.3,3775.5,3578.2,3729.9,3322.7,3550.3,3434.4,3120.7,2835.3,592.2,326.8
"aidB",217,242,5046,5154.5,5884.1,5057.8,5730.6,4556.3,3273.2,3188.3,2939.7,2988.1,459.3,369.3,8031,8042.5,7172.3,6766.3,6367.5,6741.5,5694.5,6414.5,3257.4,3709.3,355.7,550.8,1592,1910.8,5057.3,5958.7,6677.6,7459.7,3799.8,4383.4,495.2,405.4,648.7,1441.3,5782,5778.8,20523.5,22355.4,14209,14663.5
"ais",9.9,19.6,26.2,35.6,16.7,79.6,73,37.9,71.1,30.5,300.8,61.5,555.6,447,122.7,81.7,89.7,55.6,138,143.9,52.8,43.5,133.8,70,12.5,80.3,47.5,17.1,50.1,31.1,44.6,44.3,11.7,112.8,141,155.1,16.2,48.6,109,102.5,12,36.7,282.1,70.7
"alaS",11775.9,12304.6,8081.7,7734.7,7449.8,7564.5,8031.1,7827.3,6126.5,6215,3583,4622.9,19235.2,47.5,8667.1,9337.3,10478.6,10668.8,9151.7,9761.3,6628,7718.5,3472.5,4359,12584.2,10805.7,7916,8002.2,4973.6,5914.4,5106.5,5808.1,5899.8,5814.5,20117.3,18871.9,18620.4,17385.4,12035.6,13036.5,6787.6,7400.3,4247.3,4158.6
"alaT",13036.2,13102.2,2617.8,3668.1,9152.2,8896.5,5278.6,7968.7,9795,6633.4,10073.2,7687.9,15494,74.5,3440.1,2655.7,4305.2,5720.8,7636.3,7066.3,7881.6,7958.1,17323.2,22854,4099.8,3198.1,4661.1,4278.1,5136.8,4804.5,6549.6,5819.2,7555.6,6197.9,23839.7,30953.9,5405.9,6428.4,4616.4,6566,6250.2,5614,14991.4,12382.2
"alaU",10355.1,9704.4,2533.1,3052.5,8085.9,8344.1,5162.2,7853.5,9162.4,6521.3,9711.1,7078,13246.3,360.3,3122.2,2440.4,4416.5,5617.7,8335.7,6815.4,7176.9,7413.7,16743.8,20268.7,3221,3072.7,3949.1,3302.4,4431.8,4023.1,5578.1,4897.3,5763.1,5915.9,20464.4,23470.5,4201.7,4918.6,4289.2,5902.9,5119.2,5384.5,11335.5,8423.2
"alaW",5446.6,5732.9,726,2422.8,2482.6,1546.2,1619.5,1296.2,2624.1,1257.6,9187.7,2920.3,4345.1,485,5189,3951.7,1288.6,2238.5,2360.5,5379.4,13862.1,9573.6,13843.3,35376.2,2880.3,2166.2,4341.9,1677.7,4725.1,4236.5,1786.8,2755.8,2219.2,3234.7,3466.7,3459.9,1133.7,3081.1,780.6,3676.4,3582.3,4704,16880.7,11747
"alaX",6520.6,7084.7,1249,1471.1,2446.8,3188.5,3038.5,2967.3,3203.3,2499,5981.3,3296.5,6299.3,7.4,2401.8,1990.5,2267.9,2747.9,4042.4,3771.9,6910.1,4105.9,12138,18974.6,2850.3,2674.8,3443.7,2573,2067.1,3410.8,2515.9,2867,2720.7,3764.7,6127,6222.9,1976.2,1506.7,1573.1,2429.3,2465.3,2308.8,9053.5,5045.8
"aldA",551.9,816,5231,5840.9,3125.2,4120.6,8108.1,6388.9,5773.2,8649.4,2667.6,2613.1,742.6,461.7,2827.2,2994.5,2338.5,2257.7,5780,3459.1,5474.4,5844.9,5177.6,5396.6,881.9,801.7,1433.8,1952.6,985.6,663.6,677.7,417.2,725,628.8,489.3,557.5,496.4,408.8,522.7,663,1685.8,1939.2,2725,1797.3
"aldB",861.6,809.9,17311.5,18000.7,8719.3,9650.1,11012.1,10847.7,6785,7333,6538.5,6689,664.3,196.4,14086.4,16980.6,16570.9,15458.7,13454,12719.8,8636.4,11440,8837.8,11392.9,654.2,835.2,2600.2,3312.4,2405.3,2107.3,2087.8,1884.4,3733.4,2962.2,467.1,521.1,720,1052.3,1330.8,1835.2,2697.8,2620.4,1864.6,1686.6
"puuC",39.9,73.2,104.9,77.2,132,69,100.4,133.4,99.9,111,148.6,253.6,154.8,54,96.2,96.9,288,213.9,97.6,221,282.8,745.3,522.7,300.6,51.6,69.8,91.6,74.7,68.7,86.9,93.2,88.5,90.7,59.3,285.8,93.1,108.4,138.6,243.1,112.6,132.2,139.9,660,755.7
"alkA",282.2,395.1,572.1,690.4,510,632.3,821.1,780.7,665.4,647.1,1457.7,1229.9,889.3,1129.6,1318.1,1088.9,828.4,903.2,1166.4,1128.8,591.2,893.3,2035.7,1858.8,190,83.6,368.2,324.8,663.3,744.7,694.2,868.4,421.6,511.7,372.9,433.5,363,729.5,689.8,653.3,724.5,1033.1,2301.9,2773
"alkB",209.2,290,493.1,529.6,535.1,362.6,612.7,402,424.1,436.7,818.3,579.8,344.9,18.4,1503.2,1346.9,1489.4,1463.5,1409.7,1405.2,1534.7,1568.2,1661.2,2146.2,208.6,342,402,308.8,883.6,907,815.1,1044,727.9,890.5,314,376,385.3,546.9,725.6,985.8,1876.3,2272,4066.2,5854.7
"alpA",31.9,46.3,34.2,35.9,46.4,22.9,25.3,23,26,20.8,110.2,42.9,77,665.2,44.1,27.2,30,23.2,32.4,31.9,46.6,66.3,118.7,88.9,25.8,21.9,35,28.3,32,22,23.5,62.3,26.7,23.8,49,41.2,21.8,37.5,43.4,40.6,28.9,83,128,81.2
"alr",314.2,343.7,151.4,127.7,69,76.4,90.2,92.9,54.4,304,176.5,122.1,1122.3,128,1251.6,1370,773.6,933,670.1,141.1,657.5,213.6,344.2,385.3,563.5,553.3,428.6,564.2,160.2,140.3,113.8,176.9,257.3,240.8,785.4,735.1,760.6,702.1,993,1146.7,783.1,911.6,717.5,734.3
"amiA",1022.8,722.7,906.4,1101.6,1041.1,760.6,1177.3,703.4,713.6,723.3,1195.2,922.5,1031.3,418.4,735.4,362.4,311,402.4,327.4,259.9,876.3,889,1377.6,2058.9,1025.3,1121.7,995.6,909.3,932.8,1023.2,942.5,799.3,1060.8,1161.8,305.3,412.5,450.3,330.1,947.8,688.5,416.1,431.2,2127.2,2040.7
"amiB",1543.8,1602.7,2613,3157.5,2940.2,2624.7,3303.9,2916.3,3345.8,2412.8,2082.6,1322.4,1194,216.8,2361.6,2302,3360.7,3773.3,3773.8,3425.9,3707.5,4133.2,2252.6,2441.5,1541.1,1442.2,1802,1628.7,2529.4,2281.8,2361.7,2133.4,2917.7,2326.6,1756.5,1879.4,2807.6,3104.6,2499.6,3735.8,2414.1,1653,1083.7,929.8
"amn",1087.5,926.9,1403.4,1543.8,1202.7,951,1103,887.8,955.7,1018.5,958.3,832.2,1414.6,106.6,1893.9,1966.5,1234.1,1141.9,1524.9,971.5,902.3,919.6,678,826.5,1397.4,1637.9,1681.4,1621.5,994.4,1044.9,811.5,1169.7,692.4,789.9,1094.9,882.6,2826.3,3690.1,3656.8,3109.2,2096.6,1584.5,832.7,567.3
