"","1770","1770 | 1","1770 | 2","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","270","270 | 1","270 | 2","570","570 | 1","570 | 2","870","870 | 1","870 | 2","1170","1170 | 1","1170 | 2","1470","1470 | 1","1470 | 2","1770 | 3","1770 | 4","1770 | 5","2070","2070 | 1","2070 | 2","2370","2370 | 1","2370 | 2","2670","2670 | 1","2670 | 2","2970","2970 | 1","2970 | 2","3270","3270 | 1","3270 | 2","3570 | 3","3570 | 4","3570 | 5"
"yfaV",9.550448084,9.941961222,9.547665448,9.526707266,9.186657786,10.08025067,11.82889906,11.23950936,11.32169836,9.795041185,9.620200479,10.35944561,9.381563458,10.58202259,11.2143183,11.05024637,11.09811921,9.162566816,10.46853261,10.4847116,10.39826692,11.1133698,10.74876463,10.4801565,9.340810639,11.32450776,9.342206195,10.57950605,10.60619683,9.569807189,10.27286747,10.41619983,10.91761697,11.19725682,10.93298045,9.685326656,10.86015283,10.29607252,10.4490239,10.81747583,10.72437137,10.32688378,9.809374145,9.309171243,9.858022754
"rhmD",9.002611549,9.507279705,8.891126827,9.224925141,9.335586964,9.619211852,8.508912936,8.556251634,8.678795915,8.899350763,9.221495486,9.152724128,9.131481705,8.495881992,8.686341835,8.364442845,8.603171433,7.885666903,8.420845331,8.569190091,8.196654205,8.43917405,8.997863405,8.048254794,8.377926374,8.934148638,8.569818447,7.979345212,8.330837759,8.692071799,8.497441768,8.657142301,7.837484114,8.522445479,8.527637318,8.725995207,8.51677746,8.507556421,8.140904811,8.336955697,8.287989731,8.611343311,9.248666881,9.09105151,9.279381096
"yfaX",9.30769383,9.340966996,8.524505919,8.832997042,8.644563665,9.281291362,9.255033169,9.775714692,9.860396027,8.935545707,9.02880194,9.544263616,9.250556108,9.376836359,9.451306618,9.592745592,9.445519088,8.665610748,9.344546146,9.416092898,9.373824793,10.23178609,10.17595508,9.949337855,8.961717791,9.93991565,8.800932375,9.31290887,9.023035376,10.59243678,9.665975008,9.661193228,9.832418983,9.567772644,9.489117203,8.722273978,9.658258753,9.948091548,9.453477005,9.674412421,9.72815096,9.900248081,8.539811523,8.752335955,8.928509955
"yfaY",9.653856122,9.981602652,10.16746628,10.08651298,9.942602553,9.537138197,10.05861652,9.964831223,10.11543814,10.50978867,10.47104402,10.62294114,10.57571234,10.57633334,10.30763142,10.4885001,9.929672214,9.94864477,10.52416818,10.43523179,9.418445056,10.68619219,11.14520251,10.63580952,9.901839731,10.06265279,9.903930722,10.26259741,10.23233285,10.47377253,10.20170945,10.23899437,9.531783826,10.28301003,10.26438185,9.557077019,10.52821182,10.18438662,10.87247166,10.70588085,10.57104073,10.76922326,9.938654629,10.45269167,10.10229036
"yfaZ",9.443530105,9.242624953,8.858852919,8.977363873,9.009804452,9.484950494,8.649133181,8.638491878,8.891989149,8.951379374,8.678295635,9.303163587,9.163131429,9.459420942,9.029636462,9.507885904,9.016651241,9.270768386,9.766392438,9.610101205,8.783129746,9.442525676,10.42395867,9.590491919,9.146228266,8.937274676,8.842545762,9.020359405,9.747305521,10.34106451,8.796310588,9.841068729,9.163859406,9.674401117,9.407985798,9.077471047,9.916144179,9.820839685,9.784074201,10.32978788,9.745736518,10.08626565,9.741035006,9.685717259,9.428743666
"nudI",9.625040939,9.719331729,10.389371,10.19000117,9.799338509,9.090584358,10.78588235,10.24684138,10.31796611,9.385057578,9.819147023,9.309327817,9.105806347,8.421462031,9.293504127,8.858979263,8.569824109,9.549921357,9.48503463,9.507409395,8.955425468,8.531378603,8.12847387,8.643054043,9.244299019,8.506382398,9.375891161,7.780470316,8.746008997,7.861823294,8.328315066,8.314222084,8.8824109,9.345650171,9.331946576,9.307230285,9.02060474,8.732066365,8.783724989,8.93140667,9.291330832,9.214258565,8.837481173,10.10256031,9.64675964
"ais",10.0588001,10.46504905,10.84167465,10.31291025,10.08251061,9.798670696,11.87387989,11.17595972,10.98220135,10.37369892,9.548649315,9.832788903,10.42515536,9.268545432,10.16371328,10.31301116,10.13873958,10.07033668,10.22182003,10.25937967,9.671459405,10.35544317,9.28617938,9.982862702,9.957488337,10.21623895,9.867614081,10.24753372,10.78221846,9.291586759,10.23474396,10.58233647,10.67601738,10.38646315,10.75989762,9.817146085,11.12727503,10.28868453,10.78368792,10.70168233,10.83303847,9.909097418,10.44670629,10.07409715,10.51131836
"arnB",9.846658714,10.02825188,9.421651579,9.392263597,9.375550741,9.861963884,11.00620021,10.38775955,10.31814723,9.454096894,9.570446605,9.190269233,9.59483259,9.56246783,9.639015006,10.77626943,9.885303341,9.452253407,9.406565877,9.7377622,9.978673853,9.5122553,8.356816681,9.311683475,9.572083678,9.792400609,9.249454305,9.728143171,10.21300855,10.29211562,9.638776369,9.952663725,9.975599097,9.779589746,9.729212322,9.730775283,9.354316885,9.921550527,9.747012134,9.54720439,9.442937191,9.700327855,9.652288993,9.621116682,9.190364759
"arnC",10.39460851,10.19228715,8.71141625,8.855009248,9.353526795,9.916094942,9.870943639,10.04552521,9.998402378,9.283610384,9.406832646,9.194494193,9.370206858,10.23711319,9.414004519,9.641123962,9.691039563,9.497813764,9.664172898,9.461823088,10.90042313,10.31331781,9.957377261,10.70735093,9.772490742,10.32064048,9.180591596,9.991033587,9.593585071,11.76225074,10.08345602,10.42383495,10.44701879,9.672874332,9.399639881,9.736527382,10.16657309,10.52925081,10.303679,10.69327997,9.390722726,10.21604878,9.262358859,8.352215738,8.947009388
"arnA",10.29075832,8.807061455,9.404884891,9.930318235,10.10676936,9.431822608,10.43083903,9.929872794,9.681281498,10.04746147,9.929189884,9.233793971,9.615017108,10.591251,9.594057402,9.634039749,9.392205942,9.938551634,9.695770516,9.747748716,10.02763039,9.790805282,9.204370087,9.965887976,9.977709974,9.752569271,9.764585417,10.11453369,10.07775392,9.64951219,9.783042188,10.52921642,10.31896652,9.901193355,9.758654791,9.463672155,9.835723807,10.6359409,10.03537213,10.2382773,9.997138215,9.99580903,9.845784779,10.35689174,10.23461052
