"","0","0 | 1","7200","7200 | 1","0 | 2","0 | 3","7200 | 2","7200 | 3"
"yceH",69.5510312016677,79.8931551297032,319.572620518813,294.066778879241,178.527189292852,380.038034081037,141.043854832206,128.89031040726
"ldtC",46.85074227026,54.9481879320163,39.9465775648516,39.3966212270373,88.0346763609436,219.792751728065,53.4456268434156,47.1766149533152
"sufB",53.8173705762377,52.345731747698,1082.38647353485,2538.92136947505,101.125287918512,165.421162321599,962.071295195148,1024
"ycdX",274.374006409291,168.897012578931,167.73035569387,225.971967050408,385.343167337233,369.645874053759,328.557029776103,362.038671967512
"pbpG",23.917587978159,19.8353231990238,27.857618025476,43.7132882161407,32.222577601815,22.1617514897748,76.1092553601741,77.708472601283
"acpS",5.16941132254997,13.8325957009258,15.8894799269926,11.1579493308032,6.54321646846225,12.640660989814,7.56846117380477,8.16809700565755
"lolC",266.871234775327,296.112175079754,59.7141114583557,53.8173705762377,418.765853981584,467.881702517453,270.596618383713,278.204124806671
"rof",14.3204011348476,5.35171021914445,85.0358921021767,552.564857090267,30.0647279748484,11.1579493308032,59.3016359609837,73.0088778155791
"casA",4.85677953758019,5.50216727255897,6.10503683584224,2.36198532285906,4,3.75809099685605,2.20381023175322,2.42838976879009
"ubiX",9.18958683997628,9.00046787751048,11.4716419841266,18.3791736799526,24.0839479585771,8.81524092701289,32.8996424529941,28.0513830821131
"oppF",149.085899067962,141.043854832206,36.0018715100419,41.6429393741419,173.645353913302,115.360059214186,128.89031040726,165.421162321599
"ygiV",44.0173381804718,71.5063768366221,156.497955544585,328.557029776103,106.891253686831,51.2684721657358,643.590847755176,621.667780810264
"thiK",37.0140218849692,63.5579197079703,25.6342360828679,98.3600116024328,45.8865679365065,34.2967508011614,270.596618383713,308.686803888835
"leuE",57.2816045393902,37.791765165745,63.118893087575,77.1717009722086,31.5594465437875,20.6776452901999,282.087709664412,296.112175079754
"fadL",15.3482259092042,18.6357373834953,17.0299229192538,16.564238781462,12.0419739792885,11.0043345451179,20.1122139923493,17.3877578004169
"glnL",8.33972608672897,3.75809099685605,5.16941132254997,4.82323131076304,5.27803164309158,6.10503683584224,4.16986304336449,4.5315355411832
