"","0","90","210","30","90 | 1","270","30 | 1","150","390","30 | 2","210 | 1","510","90 | 2","270 | 1","630","150 | 1","390 | 1","630 | 1"
"yaaW",1.367409315,1.201462527,1.131841813,1.44267964,1.189919037,1.166260688,1.267327788,1.19186367,1.170305438,1.656928303,1.267169703,1.197404704,1.402584913,1.240688544,1.264186124,1.267232318,1.128944643,1.148048058
"yaaI",1.280735581,1.099353272,1.073553746,1.256372562,1.122386423,1.073684669,1.144591699,1.119832705,1.124551879,1.429276122,1.174021688,1.226353517,1.209857736,1.173533894,1.179563262,1.127544032,1.15156471,1.212418746
"dnaK",151.295784,108.7513293,63.9450668,175.1512063,130.9668934,46.32968168,126.1458695,89.38061417,15.91721134,141.5702919,75.23842644,15.22215486,133.1645514,65.10397245,14.89342214,114.982777,19.22478752,18.76615183
"dnaJ",41.81961329,31.96054477,8.201661137,56.59898206,35.78101758,5.541880142,44.62883903,20.20034828,1.747918539,67.8499909,19.72115299,2.466828339,53.85214955,12.67617591,2.318494051,34.08349242,3.004842741,2.451875095
"insL1",21.0884422,10.58694451,2.042739104,24.49675896,8.959669551,1.638618119,17.42279499,4.59472779,1.271444364,34.89046379,4.30808121,1.706423203,20.81745674,3.293544916,1.74025492,9.657734118,1.910612236,1.944048157
"mokC",1.132347434,1.114895699,1.111512398,1.155499877,1.116474928,1.070223216,1.079484779,1.067888068,1.072704128,1.279384977,1.1002306,1.048795107,1.156844598,1.127423717,1.116721595,1.187261347,1.086103148,1.105888709
"nhaA",5.360046717,2.727891157,1.902414033,4.937496252,2.874656554,1.496473378,3.630644227,2.28334087,1.216093434,11.33673941,6.429333132,2.308787994,7.635574233,5.890037242,2.064150867,9.492425756,3.592349296,2.436861197
"nhaR",2.626729548,1.290602951,1.129891904,2.389910433,1.291391872,1.100158245,1.552832394,1.17687613,1.143406102,3.512313539,1.257671855,1.168835637,1.938220431,1.249551301,1.135052998,1.394925083,1.108446278,1.126846207
"insB1",6.253926076,1.915711266,1.419364931,4.579547693,1.986102187,1.434316501,3.056894096,1.724417278,1.343548102,14.60674443,4.027044872,2.083772712,8.439992249,3.794400035,2.149658907,6.799163855,2.382756721,2.517748217
"insA1",18.96953542,6.676450976,2.240602012,19.39601522,6.911771115,2.234188023,13.15858444,4.293487626,1.6560518,38.13724422,10.25310271,2.931101857,30.29511387,9.299095676,3.611738346,24.37804927,3.880505797,4.524516124
"rpsT",15.00113607,6.654573929,2.655687708,11.87658964,6.147182875,1.694921141,8.077609294,4.432504697,1.48530764,34.1018867,11.63729929,3.320867084,16.95937167,6.230064493,3.548902553,13.61806887,3.175890394,2.29687649
"yaaY",1.581296006,1.228673412,1.185843431,1.502257755,1.220348414,1.238073076,1.383461322,1.266323034,1.244145981,2.022006829,1.358994239,1.332108766,1.404338606,1.275711912,1.272039529,1.327515929,1.175958314,1.206602341
"ribF",14.52429728,1.987838593,1.404538757,10.44294243,1.897915676,1.367861082,4.821782839,1.571404687,1.308259814,10.49537574,2.191333363,1.654499659,3.998630986,1.875130953,1.600536884,2.169246886,1.508599109,1.652978068
"ileS",52.96273666,33.9968309,8.82650667,63.02147821,36.5693112,5.838941682,53.86927867,23.95278264,1.811762271,109.0958239,51.17249688,3.392251383,113.5334485,42.79560429,2.799192703,85.9330506,6.631935745,3.369258178
"lspA",44.36278148,39.86607762,8.508462943,51.88437206,40.56659957,5.265781215,44.11045586,25.26028466,1.799490372,78.34123454,35.2376447,3.368607935,93.24849986,26.3819931,2.893593323,65.31166584,5.391794917,3.357188616
"fkpB",25.49317399,28.20874248,6.493016723,34.62562967,31.60666252,3.389131551,31.41386812,20.26010923,1.363373533,47.72098425,19.99403952,1.844358703,67.02493542,9.33126935,1.779668772,45.37334942,1.919438892,1.753430343
"ispH",14.30105923,20.7477652,6.235849947,16.36765853,23.13881766,2.786028992,17.97063797,17.01886045,1.259161101,36.0544321,21.28265089,1.631936775,50.79808289,8.665715909,1.517938371,44.12623461,1.694110342,1.550332304
