"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"pdxI",5.999267063,6.188674202,5.848877485,5.902589486,6.194038772,5.934697801,6.126050439,6.319829006,6.719395236,5.989731223,5.957086709,6.176326332,5.986257811,6.527967053,5.952232063,6.334864697,6.151755533,6.242421571
"ydbD",8.510583398,8.634017188,8.794008289,8.232752009,7.335949217,8.289331447,7.903952358,7.624634265,7.824986648,8.327740188,7.987951543,9.788692158,7.146521069,8.707505309,8.997645299,8.331014503,8.284954238,8.723443314
"ynbA",7.998528387,7.082475215,8.089183066,6.981460804,6.98606852,7.146781547,6.971745548,6.779347341,7.022632828,7.263225922,7.164044256,8.755440422,6.966188798,7.121946648,7.268396781,7.691506803,7.00958019,7.381627161
"ynbB",8.051028159,6.969557833,7.586343086,7.287153508,7.505060354,7.272522135,7.263886848,7.358889199,7.33217741,8.34605477,7.530008989,9.186410466,6.947808355,7.088944286,7.191094587,7.81512227,6.726942081,7.255551748
"ynbC",7.646789673,8.206728453,9.006163053,7.43377323,8.190807995,7.569960454,7.330840644,7.872395318,7.168314771,7.445811364,7.842999631,7.830786092,7.79314725,8.257322127,7.169557778,7.736403111,7.593112781,8.426526735
"ynbD",8.410079544,6.979947541,7.280913121,8.246005789,7.179856198,7.153819456,7.642694402,7.657699006,7.347931235,7.632562844,7.503124626,7.873983407,7.311495632,7.466259857,7.039588392,8.559278467,7.481135265,7.34761713
"azoR",9.410238348,9.851783323,8.91318678,9.387624481,8.745728185,9.061986511,9.239185934,9.93164762,9.24615331,8.955900699,9.772807585,8.799512951,8.05472706,10.10086221,10.0162929,9.412289288,9.915034429,9.386916963
"hrpA",10.68869481,10.27379903,10.37948123,10.78090996,9.612575349,10.35401583,10.02726111,9.369889529,9.589757163,10.70988946,10.30505048,11.30513234,9.801826661,10.08024149,10.18250365,10.08046822,10.04860461,10.31508051
"ydcF",8.935029124,8.976723808,9.305130829,8.895946919,8.94968744,9.022501411,8.980190589,8.965828795,8.770909827,8.785684438,8.978059824,8.544595114,7.764330547,9.010367778,8.662586136,8.74733442,8.550486553,8.727303331
"aldA",10.16832853,9.716627998,10.8200913,10.19826849,11.29608095,11.37457725,9.509736485,9.601387464,8.712601002,8.771979381,8.35166195,8.154482405,8.734192971,9.789819507,9.35184807,9.221542412,8.323284175,8.268714036
"ydcA",9.591346581,9.540569047,9.207804522,9.562752796,8.776743128,8.664121649,9.31619838,8.925183731,9.292646673,9.473966997,8.459197135,10.1608996,8.5339862,9.218178952,8.873181422,8.98084196,8.854561063,8.177417904
"mokB",10.30898054,10.38766776,10.35721603,10.52376425,10.24901823,10.41308428,10.41269576,9.994898797,10.88553505,10.32253027,9.894902801,10.76363751,9.321747968,10.01545428,9.734071498,9.408839877,9.287742216,8.301544552
"trg",8.012056477,7.642038576,7.206332062,8.005493921,7.768186895,7.363498161,8.251726375,8.064163301,7.931320284,8.561559326,7.435207574,7.757184719,7.340270521,8.075517768,7.48393536,8.770769133,8.395731489,6.926731929
"ydcI",8.692059691,9.362623016,9.126289559,8.93193517,9.17963755,8.916223779,9.738255022,9.863006966,9.245353102,10.13334738,8.984457622,9.106102326,8.823341022,8.773175597,10.01507386,9.604653547,9.887289667,7.807143307
"ydcJ",7.540574845,8.118397365,7.401260785,7.484178699,7.522803876,7.30758017,7.338925604,8.040815252,6.960008162,6.864990458,6.322126591,6.98515151,6.515947495,7.505809865,7.479338766,7.177261774,6.766934696,6.482202785
"opgD",10.78972054,9.170185958,7.660535956,10.59982004,10.08538744,9.7658413,10.14617377,9.957466675,10.03846959,9.938878686,9.568694858,9.376128679,8.682230599,9.518658299,9.68578989,10.28995829,9.306579789,8.679996271
