"","0","54000","108000","162000","378000","0 | 1","54000 | 1","108000 | 1","162000 | 1","378000 | 1","0 | 2","54000 | 2","108000 | 2","162000 | 2","378000 | 2","0 | 3","54000 | 3","108000 | 3","162000 | 3","378000 | 3","0 | 4","54000 | 4","108000 | 4","162000 | 4","378000 | 4","0 | 5","54000 | 5","108000 | 5","162000 | 5","378000 | 5","0 | 6","54000 | 6","108000 | 6","162000 | 6","378000 | 6","0 | 7","54000 | 7","108000 | 7","162000 | 7","378000 | 7","0 | 8","54000 | 8","108000 | 8","162000 | 8","378000 | 8","0 | 9","54000 | 9","108000 | 9","162000 | 9","378000 | 9","1242000","378000 | 10","594000","810000","1026000","1242000 | 1","0 | 10","54000 | 10","108000 | 10","162000 | 10","378000 | 11","1242000 | 2","378000 | 12","594000 | 1","810000 | 1","1026000 | 1","1242000 | 3","0 | 11","54000 | 11","108000 | 11","162000 | 11","378000 | 13","1242000 | 4","378000 | 14","594000 | 2","810000 | 2","1026000 | 2","1242000 | 5"
"brnQ",1179.44,1117.44,2181.67,1832.11,1433.78,1284.52,1739.15,2959.19,1773.44,1495.6,1334.89,1704.79,1815.69,1585.01,1401.78,1393.27,1238.7,2052.31,2099.83,1579.92,1308.96,1447.75,2132.23,1901.55,1649.52,1440.56,1577.83,2597.48,1742.33,1462.64,1468.96,1676.98,2184.07,1790.45,1713.15,1390.49,2034.4,2395.81,1813.85,1960.53,1083.77,1684.31,2591.02,2080.71,2021.11,1443.27,1487.16,2354.66,1884.98,2184.08,1762.35,2171.23,2034.63,1813.86,1468.68,1317.34,1293.32,2022.77,2392.27,2095.32,2329.45,2236.5,1875.56,1805.09,2218.95,2005.18,1815.43,1579.08,1942.74,2899.97,2380.15,2576.2,2331.43,2200.01,2115.68,1891.02,1755.99,1549.67
"proY",657.919,1074.52,1078.38,464.381,795.938,500.884,1233.06,886.043,907.389,829.067,602.636,1311.21,898.997,880.49,769.444,461.616,1059.2,882.34,842.655,744.599,459.461,1231.75,686.727,977.387,739.633,392.847,1089.15,919.512,945.819,733.796,978.19,972.114,1180.76,888.722,906.672,536.905,1111.52,1111.12,478.278,870.253,699.979,1151.85,1111.84,999.424,815.624,406.181,1084.03,1032.99,1006.07,859.849,996.192,972.015,900.903,888.81,636.804,532.505,735.073,1201.35,824.555,1267.13,1054.49,1000.05,1022.26,884.13,1046.1,788.102,659.412,497.438,1261.85,983.77,1218.54,956.229,988.633,1123.91,1013.88,943.495,657.582,615.4
"malZ",157.132,254.962,289.46,202.417,393.792,332.409,264.307,421.035,334.447,505.631,399.862,245.928,254.395,266.003,242.425,275.761,194.454,486.23,232.934,314.801,219.339,366.504,724.97,299.864,406.718,319.782,250.861,188.256,182.642,404.285,259.276,186.455,237.424,269.392,327.002,255.909,246.828,330.944,199.789,348.804,192.141,213.082,375.806,184.383,480.869,347.17,197.986,223.226,190.048,298.991,247.012,169.519,183.858,156.843,171.568,81.6523,247.119,259.507,281.123,248.318,297.551,289.541,175.17,274.987,238.359,153.983,217.834,465.54,216.31,257.585,153.768,146.604,289.87,222.44,218.29,161.553,107.051,187.04
"acpH",277.418,210.538,305.552,209.58,263.139,348.225,176.395,160.616,306.291,218.632,382.438,215.16,345.754,222.975,285.657,403.549,217.717,298.534,173.566,256.149,315.371,274.434,206.296,186.347,287.676,341.13,228.962,317.903,144.66,325.24,268.353,219.545,266.771,266.607,250.556,263.832,197.085,353.231,127.875,232.189,373.027,214.05,344.819,257.655,229.816,346.407,358.491,256.56,210.52,266.846,306.754,262.327,327.937,226.332,214.312,295.855,370.352,250.992,212.72,209.372,172.501,284.192,213.625,276.044,210.298,252.692,189.009,220.118,196.932,198.54,189.55,206.924,206.074,198.812,112.498,246.029,308.623,183.353
"queA",2100.42,2383.17,1403.48,1734.53,1497.24,1610.37,2913.51,1561.33,1628.55,1662.15,1531.14,3171.91,1240.84,1974.56,1534.02,1600.54,2860.88,1100.67,2302.87,1625.53,1661.64,2494.06,1253.54,2143.02,1131.97,1649.38,2914.49,1292.74,2343.73,1094.6,2125.52,2166.72,1676.03,1789.04,1648.15,1806.74,2726.7,1477.42,2377.19,1530.79,1837.25,2345.89,1405.09,1727.82,1542.07,1643.75,2688.08,2007.34,2517.87,1859.01,1780.93,1863.57,2279.28,2375.02,2452.13,2256.37,1902.47,2930.45,2007.45,2482.24,2270.85,2185.17,2227.35,2187.61,2215.98,2163.78,2155.9,2035.31,2943.15,2034.52,2689.68,2298.26,2215.5,2053.83,2174.69,2074.55,2168.53,2163.48
"tgt",4187.72,5280.03,2984.63,3840.83,4055.04,4602.02,7849.77,3367.23,3687.58,4067.91,3616.22,7779.99,2584.5,4807.11,4119.44,4128.76,6266.05,3069.68,4979.39,4063.68,4312.62,5875.45,2517.52,5228.4,3443.98,5033.38,7225.82,3500.83,5483.99,3102.79,6288.75,5613.2,3254.96,3531.82,4074.25,5025.8,7565.29,3213.04,5053.89,4441.26,4024.38,7251.68,3421.21,3917.05,4177.45,4813.64,5607.94,4925.89,3941.94,4070.7,3781.47,4001.01,4757.05,4338.36,4074.15,3410.04,5150.11,7470.72,4451,4989.5,4280.89,4849.48,4004.7,4179.04,4798.42,4948.56,4136.8,5250.3,7113.05,4051.1,4799.38,4369.72,5341.2,4298.86,4886.32,4552.22,3703.92,4493.05
"yajC",5409.9,9020.79,4813.36,9075.62,6275.03,4983.31,8611.97,7644.45,6621.01,5908.1,4209.15,8536.5,5655.27,8428.65,6132.89,5856.44,7888.88,5943.83,9071.82,6449.56,5887.19,6848.42,4636.74,8235.9,5684.75,6796.54,7476.71,6400.46,7902.69,4747.25,7922.82,8488.33,6388.47,6464.8,7471.97,5950.78,9375.01,6358.11,8933.08,8247.13,6707.11,9014.51,7127.69,7467.72,6776.43,4899.69,8352.51,8147.39,7067.33,7185.78,6917.08,7242.91,7362.27,7041.35,7172.52,5607.98,5333.29,9491.74,9274.38,7054.37,8504.07,8814.4,6443.3,6896.22,8225.63,7408.61,7215.57,7009.96,10135.5,7901.73,8895.51,8808.76,9132.3,7831.27,7861.95,7458.78,6599.24,6564.66
"secD",2380.9,4441.19,2073.52,3523.58,2534.31,2019.67,4158.28,3510.68,2695.54,2369.24,1679.83,4372.84,2773.27,3447.11,2892.76,1898.54,4304.18,2236.27,3793.4,2623.13,1894.79,3678.22,1986.51,3284.69,2286.79,1979.38,3880.95,2677.45,3439.18,1996.22,3571.43,4066.17,2860.92,2868.53,3079.56,2214.11,4380.78,2765.63,3733.46,2864.97,2959.52,4173.64,2984.55,3529.79,2877.83,1667.43,4075.36,3307.05,3867.48,3230.33,3144.75,3062.36,2962.91,2952.02,2858.83,2457.75,2135.47,3990.23,2987.16,3584.25,3466.55,3402.09,2908.65,3444.83,3376.37,2853.47,2790.33,2656.3,4066.41,3853.71,3463.56,3395.72,3536.98,3012.53,3269.67,2846.45,3027.13,2590.15
"secF",1463.19,3000.96,1696.8,3215.01,1828.13,1434.05,3632.94,2763.78,2469.07,1861.44,1341.4,2990.64,2070.24,2633.97,2006.53,1200.33,2780.94,1683.51,3355.66,1876.14,1352.81,2407.3,1734.41,3045.46,1553.19,1382.12,2690.72,1996.43,2762.73,1469.88,2313.06,2861.9,2224.77,1951.6,2069.33,1352.33,3666.76,2179.14,2639.14,2330.12,1678.49,3125.49,2278.62,2473.54,2324.48,1240.6,2600.64,2317.78,2546.01,2164.84,2117,2321.95,2196.24,2131.95,2055.69,1701.35,1469.19,3159.59,2636.27,2551.9,2407.14,2134.27,2185.27,2464.31,2485.79,2312.04,1997.26,1497.83,3080.4,2650.02,2541.81,2395.18,2777.96,2373.79,2477.23,2351.6,2135.34,2033.61
"yajD",927.029,937.114,1221.93,1712.49,1007.86,1134.71,1223.95,1248.49,1146.73,1313.66,1065.38,1036.45,1210.57,1171.51,989.282,890.392,833.12,1141.83,1421.11,1059.2,825.67,958.19,1609.76,875.442,1102.54,1147,844.947,849.783,895.222,1152.24,908.036,968.898,1125.46,1025.63,996.089,942.762,1300.13,1269.19,1779.86,971.266,856.911,984.766,1346.91,981.604,1090.17,908.862,928.129,820.742,938.615,1084.29,867.754,694.255,882.552,776.755,833.151,676.834,1002.59,859.955,1334.32,1170.08,1176.02,960.216,773.922,838.385,738.383,845.033,1043.13,1505.58,938.112,1078.1,1073.84,1260.61,1055.16,847.999,852.577,726.746,607.719,838.349
