"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"fepC",182940,31515,90548,12124,167256,15151,56507,18428,117520,20044,43717,9727,40344,19937,56578,9420,278206,69559,131961,21236,147744,21081,195129,20020,67453,62649,140692,52344,85019,79624,117658,32077,119218,47728
"potE",313118,64409,168681,31437,210276,54849,159516,39377,215248,64161,63452,14080,52885,9879,52775,9282,396559,111242,235117,38809,207240,45717,350348,76083,174389,83081,186149,100497,348465,173060,286210,94640,276057,150914
"dinG",593050,88885,281849,35993,571751,82658,256172,49473,476825,83214,89620,13316,73998,10644,101910,16941,576176,214892,530438,99292,694381,142190,721193,145856,287153,196808,499611,120693,495727,325260,590550,118993,341353,236657
"copA",381891,88050,247356,51376,432069,5970534,4784055,62301,229097,5279557,205039,9145,97226,7514,67054,18074,2403819,150905,315102,67634,305442,50062,364384,5111604,6105450,144188,281707,10200000,13400000,229678,381705,1666291,3033199,145306
"fepA",364237,62008,268473,65675,382479,50764,246397,56336,283801,48616,71522,13559,49916,10431,62892,13482,808175,170325,269344,49013,363378,47994,456546,77932,157893,111871,468673,234302,517702,288969,376741,136603,366100,154484
"pgm",707643,132595,442386,109772,1117427,222452,1098981,196989,432066,134033,77006,8438,48107,7550,69141,8594,1372809,379259,555463,95017,674733,148550,1011017,410410,744007,287064,717404,302421,2168558,605816,950744,298523,696837,360522
"ybhG",571279,95100,670383,179499,475231,69162,367541,75431,295836,68744,109400,14591,98962,40453,80170,11830,654310,239277,492710,107622,442455,84444,1063737,205976,293890,160623,397619,122152,712807,381536,790122,188716,550175,378530
"ushA",656320,139841,157215,41803,511906,78886,511332,49645,414949,143862,67339,12083,59118,8956,44643,5470,754509,297974,507535,92237,435228,86607,589436,197821,487341,147165,324556,152002,1554517,250801,476821,134107,337162,170649
"ybdF",551705,175971,526350,221457,713128,214121,365890,97792,583130,267576,165879,28576,187990,100983,562962,137878,870152,378736,354096,75736,290897,73893,180930,36448,272284,102228,328870,118906,1193134,360557,3602356,1868033,2794034,1626368
"fldA",1383182,455697,269611,86010,1183580,353857,985491,92197,1367176,420242,71413,11907,60912,11361,99472,23087,4111698,821272,1063373,322207,886101,201361,144983,26365,1033537,430006,690310,439075,2767383,700269,1289167,741033,1076193,545289
"ybhQ",1188360,301593,1510567,825707,589192,133164,408338,131811,835565,718067,151782,30882,338340,194179,292763,71438,2632821,446574,905521,154501,505188,419516,141577,179615,1033978,215449,265281,190074,2308720,675872,7004841,3310126,2903014,1422396
"aes",222033,62682,109332,37315,138563,40043,96283,51566,123794,25860,98854,15866,70977,45150,92393,30181,198035,66776,279880,60595,180266,51751,221599,29707,98590,84716,139836,54415,159302,92020,120644,37531,113675,105361
"cusA",277779,59604,168282,29514,184290,24906,172254,43966,203791,374399,96538,15529,1148139,47505,174209,1055679,4959602,79044,309310,37269,246634,38706,236643,52707,197675,42650,194760,254935,1113893,99572,223963,2228579,4178901,144199
"nagE",1836053,495713,1549173,1109679,953784,464904,697631,1134636,919491,535120,208071,42215,520572,344525,238466,60349,1162109,519736,642798,177728,513775,140311,2116082,899003,363362,225008,3019733,1729268,4255658,1872750,3267092,1371865,4610533,3028407
"ybhM",183010,46386,85480,25462,152785,48312,108288,23974,127085,34725,49647,9788,77183,26825,40926,7476,291432,49124,178800,30421,244576,23580,148524,36774,82632,36142,90837,40587,233077,100766,77572,77085,166122,61362
"recR",1372860,346676,658885,137818,1466854,466682,736829,308547,939717,614889,92641,14776,2045937,461936,90590,15255,3487597,759998,777062,193982,1298049,251483,1507929,479616,1174196,401148,1010858,765867,2411803,729357,1266334,822195,1927396,831158
"cusR",341054,87069,212749,41739,273849,737818,1289650,47056,292554,753540,114209,21617,3011859,82974,65153,24866,4826107,175511,264111,46957,249542,59739,305582,548288,1110424,85191,176106,730764,3728908,149617,251017,1422619,3660898,183017
"umpH",1306050,440303,888321,193676,1122737,504414,971557,241550,1407660,345714,106803,13762,815886,280987,104729,19742,1991163,557749,504470,194725,885935,173620,1488410,609477,850358,330898,1163139,631279,2676440,1246916,1700198,1085228,2295728,863731
"moaB",3633828,922843,1118815,302640,2031608,1099506,2392905,500605,1421677,1631606,98236,14060,5328240,483719,92171,13225,5823546,1261077,1222467,298899,1231373,286262,1790498,774202,2097449,831035,1297772,1280569,5134998,1224566,1515746,977341,2483716,882878
"ybaN",430988,145807,227122,29457,518122,55747,140657,71681,473914,53009,43693,9850,90076,63742,46382,9596,1097512,283255,379053,106166,362392,72446,456291,53392,119513,156987,135486,41440,175400,242483,344708,145818,231690,137328
"ybcH",136710,35932,91026,19856,71789,18181,80653,16162,63099,25028,40116,6803,120905,57828,52350,18708,208102,50643,100498,22780,82944,20289,85280,16666,62028,21627,28664,13976,54663,22636,81168,40367,106276,57659
"bioD",161824,21757,258101,78739,163906,23214,96447,21712,107506,23903,54925,4340,95883,13998,75760,14912,682982,108896,195080,30218,207832,34518,299681,49100,156799,58450,236293,89712,300602,130269,212874,199678,326947,59179
"ycaD",705677,209627,440780,65566,781217,110312,483974,42399,515756,89194,47011,6618,31654,8065,44837,8682,731441,229515,844975,109883,484101,146858,533640,99385,237764,205602,284046,91109,460119,333223,329466,87422,202520,174086
"torR",238926,41387,157427,21424,196630,36279,185956,25056,194738,34566,91616,11365,94526,10360,108744,17576,426082,88555,314962,55377,273019,37350,293669,77156,201233,37730,178891,50747,272917,78455,230670,89475,226117,84583
"fabF",294724,63316,95656,25635,256047,47840,167259,24980,237211,84083,112756,29515,41855,8227,50097,11923,438578,110941,353913,66498,270030,52308,321435,64637,216657,63456,170006,63222,341909,114647,220200,67905,213595,93873
"emtA",332007,115882,151680,26513,394446,77365,335499,34392,411612,130881,88857,7977,71976,12983,108090,21708,750966,185961,300742,65375,266904,44324,331895,103494,259986,89631,188667,86952,504327,121835,308092,74336,231371,121655
"dmsA",712640,183316,206573,42478,604658,66957,321655,38395,328693,81870,61081,10331,51374,10281,108188,20121,775495,393870,1461503,202803,602234,174222,95789,12844,527474,413837,608770,179649,928872,405867,742820,118357,462352,386634
"ymcE",325528,101103,229308,63970,217263,33136,128266,22005,6317978,2340834,79959,9489,56215,13648,164622,48926,476268,220495,255149,60677,190410,38561,106978,20043,128327,62679,131225,40423,219186,139923,287218,108366,193236,152885
"fabH",1287070,244898,431859,174052,910234,290678,470328,310832,581107,411262,44946,5109,1634741,418956,786208,232240,2060996,539710,967500,482421,1115675,226122,2040689,541818,1140470,730726,1031025,480024,1874036,748722,1232397,918199,2002465,851943
"dadA",2043276,250429,429643,266955,748075,368650,502748,222541,596529,169755,50331,8795,494668,321553,729364,217794,1440078,432596,1712297,448875,1102439,361845,1388951,262582,398606,509590,714106,255001,1305560,876410,891391,368469,817724,711269
"ftsK",1033658,159555,360909,206804,619291,221509,271284,174387,549450,291831,86452,21437,262541,103579,433247,127761,850121,325452,471972,132968,476679,135255,1059046,282128,308704,255460,938091,432067,1334165,712828,614713,440967,557483,331320
"gfcB",169611,36281,110049,25313,123753,49127,96533,22526,122419,27426,55957,9078,55015,29716,50216,7711,217094,39345,136173,22166,116343,18125,163240,44653,80442,20769,99777,55861,242253,101286,93578,42554,120015,59166
"yceF",397428,114892,254300,63866,448416,106954,227021,103825,362723,145956,66154,9900,302644,186911,79245,19834,632239,239303,384452,82917,353463,106933,557499,286537,222937,108293,288460,151283,816926,422816,423268,174395,395154,351972
"dsbB",325318,93583,195265,35463,413903,148128,281811,60158,336496,126192,37993,6609,280266,94740,26947,7043,512065,141496,340430,88249,301044,95722,320835,116245,284732,117664,258889,163043,498638,179922,348258,139016,241587,161801
"cydC",809394,191453,278925,91662,604243,81606,424295,102529,596374,383026,40167,8296,903726,190378,39247,8940,1198253,344144,599319,126494,675078,161559,900390,204517,468933,404619,639114,320952,1018160,795002,543078,271339,609976,386730
"etp",234197,49406,114875,24251,172206,42750,126382,29279,173363,62069,54960,7752,116750,24064,321626,39283,326140,92792,230150,32761,166160,24925,183599,48029,113674,55361,133473,70612,183596,101204,184814,61836,156426,91950
"flgL",125883,19838,68763,17498,53044,13286,67390,17369,96715,22350,40997,5449,72401,19398,227936,67343,164256,24676,301933,39137,133819,20722,136066,25380,80806,23745,76638,51634,103995,35082,108384,12587,98849,31685
"ycgN",273449,55589,165423,32084,350939,141589,394456,55116,352641,98014,75018,11979,329390,74126,156692,15962,711703,145123,471118,81282,321639,75699,419967,140481,316921,113139,251453,150699,595263,205683,350704,125663,402726,179302
"clpS",3199491,1232551,2856055,1028253,3197454,1273121,3491664,858617,3371757,1195892,199169,32377,360039,217220,194146,48220,5211211,2688662,3411329,858830,4706591,1420081,4421233,2072873,1861438,2134654,3677688,1763764,9835741,6565646,6007272,2366458,3101947,1909499
"appC",176772,27749,121520,41735,147822,28179,191111,58428,150683,30246,73401,8540,84253,23953,60206,9359,313152,69623,188350,25760,168707,23632,485927,137646,143948,43050,195370,66890,995946,356446,549409,203862,550740,212441
"flgH",112645,24418,174850,55198,97718,19108,82925,14670,86275,20617,42074,7928,38401,15318,39579,9642,193392,36658,131984,10732,97482,13024,145824,34789,89006,21636,138823,54675,153883,59645,85952,29572,144687,74408
"ycgJ",523435,159378,142597,25165,448672,79526,500705,76412,198715,52709,62876,6834,39072,11329,80599,17347,975369,366108,744599,183726,425908,84567,984127,199833,361922,197424,364274,136069,828443,499928,11700000,1970334,502674,334343
"ybjX",410783,191977,164075,20979,424191,36209,296179,47097,464571,97812,43150,8272,24953,9047,130563,38669,579303,226042,438234,100182,277013,67395,426117,69079,178671,133255,354093,111965,400796,234724,398421,68897,175278,147432
"hyaC",155927,35017,67010,19443,118131,29794,72759,16578,119178,26672,47408,8394,33388,11978,84886,23504,225527,44710,158959,29303,89516,13392,188278,35466,90518,21495,90194,31699,219739,112163,164420,62386,113459,57325
"flgD",169388,32719,109177,21746,135053,27561,118163,12272,161262,46045,52105,7319,44508,9642,41618,8523,255247,68025,160606,21148,155006,19910,180176,39830,154933,31522,108003,57237,297374,81112,152649,46341,132964,56389
"ymgG",254952,48741,218696,46684,219591,113957,582260,26989,256208,531594,67223,9933,45709,12432,284618,72988,693522,98714,176907,19101,146038,20002,221425,131075,292379,27735,140488,187667,901126,64270,279988,246407,353684,75713
"ycjD",287801,38435,169989,49192,198656,83510,131612,52641,162210,63246,49059,8925,161565,50296,128081,31279,318080,58245,311968,73068,182317,48721,265839,63265,132849,83112,131768,65503,173669,81808,102109,44083,153357,77193
"paaA",156853,27842,99705,17849,114683,50783,80195,27026,115450,22146,52300,7783,55007,23157,65963,21785,193787,44034,152676,47377,124604,30146,138633,21242,96193,25987,94736,45611,89384,31373,96047,44168,108076,55189
"ddpA",211051,32023,131316,39336,224737,98693,99726,23785,188520,34392,127881,14611,74235,43285,155832,31673,271141,88136,249288,57441,201120,39252,299185,63859,140991,34482,112228,37594,221293,76764,202517,72283,156992,109549
"ynfH",139939,29694,83579,16924,68002,22054,75292,19415,98256,29644,55738,8528,57912,20284,55873,10963,211391,27647,295201,25690,117747,22695,132672,27695,86503,16870,63606,37981,83854,31719,63174,25035,62475,21790
"pdeR",204884,46516,139046,25602,147490,43193,113203,27683,129003,28439,58942,10141,107322,40151,59431,14411,306143,48039,258407,23127,163389,32645,216211,48075,121844,28201,120901,52994,200336,77885,133030,75574,247623,94494
"feaR",454738,54636,160636,39049,208259,36689,134929,33708,193270,62273,67433,8764,189682,32973,61417,7551,422875,132338,377855,78365,328771,67535,480177,49938,196994,114202,240843,101769,330055,178716,153137,110751,306072,107096
"ddpF",391597,68932,164233,34691,248728,26270,131781,44387,265697,40674,54356,8228,117394,44274,58961,10687,266156,76316,273451,48568,214729,38419,219418,42885,123050,59627,139872,62091,161788,76563,150662,49293,115980,39916
"ynfD",880395,224435,352211,93441,597328,752908,1008570,112879,719654,829507,50301,8597,1628328,160064,65409,12091,1852104,330525,541768,130137,326202,111003,525965,339819,668114,225873,249792,415647,1350351,317999,273396,498077,759916,194209
"pyrF",362381,179226,265881,21791,857595,199809,619467,128532,593140,192856,60594,5936,763013,155179,58043,8709,2360549,487741,297672,85193,433336,47702,482249,220967,629301,167919,136513,90461,864250,145695,443798,223802,595345,294730
"ldhA",253515,42766,138441,24013,326943,85975,259719,34245,248501,108486,66475,7702,404490,54981,155232,32102,604792,155920,314961,27502,271880,60003,310087,53655,208933,96506,184859,103068,367280,108892,235178,65832,220041,92817
"maeA",320071,43614,202296,40209,515969,58907,209316,59237,272841,86993,57029,8762,230638,60420,71962,12116,385231,157989,219506,48812,267782,48444,342018,73282,165747,126570,281673,90921,228545,139954,239157,52107,158158,59480
"ynfA",202840,43401,179594,31920,216968,89477,250228,27481,175098,67303,41169,9641,36548,8455,49577,10410,298060,45938,176954,23169,157568,28015,188210,48415,119870,26926,221466,144213,310373,70477,160261,66597,120493,44675
"ribA",203136,32170,166076,26373,285610,45464,241642,31743,180814,48015,70748,6695,75442,16960,67421,10068,1090636,179593,310680,28784,240565,38262,303672,65829,211026,62577,227554,105988,357283,143334,224814,93453,220431,82542
"uspF",3098818,500389,904623,260750,1724228,174696,796453,129435,1245168,417678,84455,15893,59700,9860,44467,10812,1762453,852014,3315203,509936,1376651,621477,2156033,131511,487080,671712,1187462,194008,821603,1056046,911801,251326,398558,295534
"fdnG",193611,22782,100974,18141,119267,21286,120029,15306,156511,15814,76942,5262,65258,15007,75821,12472,256837,45052,215316,23847,147950,19329,195647,25378,142355,17946,124748,49811,155301,39286,172011,59656,135218,58656
"insD7",539783,169775,180314,26711,446083,107562,413555,47210,617245,175234,62311,11296,49721,12565,149413,55372,909080,330895,563733,114246,375361,70439,541875,106417,255467,138913,349737,122435,584388,210487,470494,138514,305854,173357
"yciN",1112256,347130,298148,52331,941876,182591,804021,87019,993532,437321,59310,10456,63242,9949,66870,19188,1942776,492968,996907,186469,622887,145886,939203,126172,413929,312033,657798,259239,1030630,499989,754262,334218,464426,252051
"stfR",176414,26928,855439,42208,127391,30883,113120,26243,154932,24326,54339,7507,50880,11246,102811,34613,218237,53358,165078,32321,138534,20030,177121,25271,80273,15650,159115,51099,152728,35700,149360,37295,146941,59120
"yddJ",121923,28755,73735,15134,138543,14868,69823,16245,73680,25347,37224,5329,32458,10138,159055,43738,137096,21698,129806,21486,80651,10663,95019,18966,57137,14180,60225,34503,70529,31563,40709,21055,36267,15442
"dicA",339638,118958,267216,62789,307062,341170,380214,93121,445390,159489,73411,12439,332989,243033,388874,116813,812425,353811,488013,154729,344171,136499,478204,147381,239425,300197,285596,149929,499491,451957,333951,235295,447661,410700
"rluB",268199,56886,149100,26822,237641,88985,229758,51624,218149,50650,58550,10045,187633,94824,143913,32169,322903,87867,279477,43828,228075,49619,251677,81153,229084,68025,173768,90041,442985,97780,243652,65591,218696,156193
"ynaA",193441,41132,105789,26913,258088,58729,80130,28388,137158,33844,64855,10036,63630,35056,116566,29520,242160,105003,165240,34477,127139,29390,188295,60932,78370,20320,115717,49569,198848,76263,114133,38846,111139,72617
"narW",750702,217178,322492,154834,809036,436810,213404,70980,340070,151122,200415,38729,298042,118995,284123,82226,688962,274517,422409,82671,244319,44358,764723,374572,228934,94634,152441,111060,2592133,1175500,462473,234970,935728,550153
"flxA",292177,41616,175213,31819,192156,36608,138407,24812,194613,33060,78011,12154,63064,41185,146818,26755,334328,65129,257204,25692,212880,35192,219409,35721,138698,43840,157163,61285,121880,191426,167301,27006,161368,67881
"ydiK",253874,48409,101092,25608,83298,28864,99253,26175,175901,40733,46816,8529,88460,20968,60887,20216,226611,54261,232310,49446,161203,48406,183375,55730,114873,65740,157866,89266,138180,71337,126956,45740,131266,73019
"mipA",967625,294130,462261,68548,1302032,362084,689450,192711,907119,371208,78873,8124,1645296,300190,83932,16225,2225773,602679,639318,185588,669425,126088,893251,410821,899480,339978,568694,404048,2099114,600640,1225748,432009,1108385,709553
"cheB",214996,33243,254377,98587,227642,36924,106338,36923,649543,106838,58798,10466,70324,21795,93899,19671,259497,75252,146079,17362,143145,17767,219932,71853,96750,25604,161288,85705,450821,194667,176648,72770,210584,65287
"cobT",286994,53636,138836,31659,365143,32191,174549,53134,229327,65508,54141,8447,277600,60929,67061,24858,574382,186310,249546,67152,297213,61685,419106,91800,204082,135315,126862,48886,342696,155471,276576,97883,259818,133991
"sufA",633748,111431,269342,76361,680474,91884,297917,124009,273020,26570,59873,10040,147982,120543,54066,9985,2171534,410242,608267,96747,514354,185808,639061,93092,191864,197250,315238,71891,248605,349669,465955,205120,367942,246273
"msrB",3564025,1145783,2538880,730995,4474303,842833,2497182,814845,2500063,719464,70867,12472,3672600,1190340,96527,18917,3735495,3623535,4122476,1063059,3145680,1704927,4709179,1042599,2137636,2845937,4506527,1381261,4323580,4363612,3828690,1705711,1828911,1287107
"flhA",124431,32823,134223,65769,92949,16779,104635,23975,100069,23139,57750,11785,92048,44130,54813,10583,274708,93184,128507,16909,89943,24322,944806,285214,92436,31422,90870,37728,536348,207755,275384,139330,241175,122626
"yeeO",258627,41804,110887,21641,150202,23376,135329,20927,133276,25744,66563,10692,46903,6844,280591,64151,360921,84066,291965,60316,179556,29099,252139,29569,131547,49699,175247,106957,268224,165073,185767,54356,191578,91190
"sufS",637210,134807,88926,20280,383091,30377,182363,25628,321698,55533,28024,6692,25049,8237,249508,87932,819531,202522,280020,73040,258742,53673,382134,40460,152771,107899,151283,37117,210202,174824,231316,70116,152650,96435
"ydjJ",92866,28522,49873,14437,66817,24030,52310,11042,84641,23472,35804,7367,25121,7156,81046,24161,111017,28287,135648,16252,74740,11368,110439,16142,70496,18392,180045,75769,135646,45384,70003,16059,72696,36048
"cutC",1507842,470748,425910,90158,973732,1296562,3568112,83096,768082,2356255,120529,9537,64585,7106,85687,18133,3801030,530649,1989978,280732,873112,407459,899971,813790,2204497,401880,785223,1475926,6035249,689741,797087,1128297,1743149,264705
"pykF",1920388,579234,725683,223173,1683014,685885,781704,474370,1135515,541389,792197,161909,2296817,771783,1037912,267277,1999601,960188,1183056,299995,926750,303842,2092159,537563,948801,841934,774803,326431,1415234,729849,1070466,451785,938054,794312
"ydjF",374736,54424,182965,38908,212818,56429,148897,58583,213557,52328,97526,15107,138246,46696,176576,39886,422894,113619,364809,38246,291938,68468,430738,53122,162874,126337,246406,63011,260314,166456,218821,76292,283181,144174
"cmoA",444840,161496,234909,34407,170995,70727,350437,110209,299648,102806,54573,8863,495136,280788,281044,69987,562935,185101,363323,55734,302661,81891,378909,129601,250690,136339,206489,139299,558639,188180,303697,101735,267855,255356
"yodB",355922,188731,314685,60912,419687,200846,349587,133572,404061,202860,44010,5447,585037,220609,366771,235546,1905267,180682,538818,120908,398347,122302,338081,143459,316315,144639,171823,168204,588977,227917,219279,301210,659889,208266
"ydhW",200194,48573,108026,22924,132300,58348,102623,24501,133013,27580,45551,5971,104066,48105,102274,18497,252512,67955,198899,29962,160141,32224,179538,37549,131883,37227,116192,47899,180936,73961,139563,50327,162155,69963
"sppA",306471,78983,185652,29039,311012,173556,319236,56658,300095,125261,74273,10414,455883,109061,87969,21409,1026973,127668,232536,44349,206206,31279,279113,223757,452733,65605,164555,187858,769408,85994,242675,151189,504741,143431
"aspS",1096558,296286,488996,106032,1156126,328409,538375,157505,676102,426685,77761,8090,1447835,257992,57881,12345,1801232,417087,812785,311695,941531,189993,1236433,434276,857018,361927,847307,539094,2031531,648369,943354,692727,1541035,508530
"hiuH",218479,28730,146266,25491,151945,39332,115225,26871,156456,61276,110081,17986,131245,18033,100791,18381,744650,92050,215391,27927,155454,25476,272341,97053,136367,42635,190640,100104,347989,103859,148208,114956,307389,66467
"ydhS",310583,68676,137105,35120,124521,30347,184309,57110,186267,29197,46668,6533,73204,39235,56627,10609,230214,89078,327607,50976,231560,80936,239154,37798,146819,82629,159987,46180,159491,97408,222769,35205,130409,100608
"ynjI",201853,24144,120008,22273,139796,20352,119176,19872,118670,23169,72597,9185,64684,9373,75346,13002,223545,29285,211125,25738,173917,21761,182887,38039,116894,28766,175148,86362,196712,65942,182739,52978,226385,71471
"yebB",406360,103555,396469,234442,410251,165875,243060,166610,268361,111880,103671,18424,156609,69405,129161,31684,430316,170263,266128,43908,225633,52990,405844,219586,149656,54052,189908,92763,423985,198154,662984,337305,641935,341408
"gatZ",6729506,6637258,6115143,5198395,6154000,6155418,5177265,5032253,4980660,5509672,169960,49469,6582625,6036047,345307,73930,7182494,7088801,7132502,5748377,7311144,6681994,5242800,6185041,6854331,7222400,15200000,14700000,15100000,1.5e+07,1.4e+07,9908529,3875533,6174352
"narP",760413,256180,342029,95696,929848,236423,1034457,96571,678319,443479,77727,8896,95768,15416,73386,11501,1442764,517075,736455,175377,573525,124921,885524,255058,748438,232976,1020540,616493,2245783,625022,928591,323007,413185,227155
"nuoB",3284182,1001967,719218,147073,2455072,440484,2078814,289511,1950899,419051,103382,24827,52036,15845,253327,71798,4179102,1633526,2630524,732482,1742278,367376,3700525,511574,1551613,1004965,1473244,520093,4134901,2190339,2496785,553873,1151785,1005615
"ypdE",233828,40375,146301,24958,126585,22792,103123,16893,142896,38916,67851,8668,65760,8200,125319,34841,467527,44017,256503,33167,165829,21882,232381,38761,160172,32904,97676,43312,263749,42521,140779,70174,186842,47491
"gatD",5574110,4228358,1533460,520945,3211215,1309774,3021948,763945,3211215,1464040,100680,20364,48308,15100,117948,26370,5351041,4808807,5982321,2101018,5162815,2852677,3538890,1540848,4663660,3524441,12600000,2276308,12500000,6746327,9313122,1798736,3506023,2423418
"yejL",456955,141277,340925,54028,396264,69499,319357,20336,419454,136063,61564,8424,48018,8918,46746,7142,716668,186190,453050,81292,356587,68856,515049,67859,336732,126872,409605,172069,818482,221590,557720,179039,471079,249276
"nuoG",1543732,339279,556149,200745,767109,324940,537842,252318,626217,256610,709690,130330,1039245,432747,798330,136976,1369445,683274,1201642,321065,938434,287734,1252811,357253,743995,496404,560106,253518,1413789,748261,892095,356511,1046795,688124
"pyrS",429939,99286,193061,64576,275551,69050,180402,69189,220641,72928,185602,41123,226487,120594,215160,50583,499341,161541,397014,100864,271062,80479,347101,87554,166272,127509,114921,53654,291975,150392,216938,104313,272244,187264
"yegR",172273,34460,90344,18366,130702,25775,79044,25628,124622,22402,56365,10353,70679,32842,96610,20489,232290,60842,200771,30402,148029,31830,202000,39026,112055,49995,111871,51026,143002,60564,111012,29420,132825,81620
"rsuA",695029,278698,554979,82986,887783,514381,721976,232821,849046,224711,67708,12679,718127,436150,579053,143441,1162187,392431,542153,146406,526747,171766,632526,304962,595690,191424,338159,287752,1150028,316596,642496,205727,495976,523290
"nuoK",1048991,239452,535178,124195,683777,265784,471419,141559,596205,207949,66349,8899,723340,340110,615836,115588,1019307,374035,865465,209899,625682,192880,918087,227722,547816,193811,596948,301771,1291918,378095,878656,244087,677430,544444
"ypdI",146614,20660,118543,29551,91907,21902,71862,22863,93412,22779,55840,7519,52323,19343,71165,14136,176899,47364,127962,20066,84661,24766,121809,19694,198861,84084,101993,65037,93458,32897,73307,18364,72430,31839
"trhP",714406,356575,566067,98197,983149,338321,734011,212218,739552,518414,107733,14416,1880489,275155,75424,17677,1336433,344978,454073,142629,444885,104600,810035,468639,699854,222239,446853,482235,1510973,315277,446305,224788,569600,238917
"yejE",256811,36201,133658,27755,209351,49204,102052,27250,179010,44574,100017,10368,159921,27933,55634,10076,387577,104605,238392,32657,182269,47008,307666,48273,192832,81045,142111,67773,372655,137812,329359,136240,386429,142105
"yfbP",151812,19362,95674,16736,125123,32549,107554,16551,113479,21194,51612,7713,67607,15442,50170,8379,177930,38049,178779,20099,116215,14427,146954,22507,104983,34523,116664,75017,112532,40423,100035,31181,108773,53312
"yfdV",142537,12710,117769,21845,115383,20591,92070,16519,124838,21455,67456,8884,56207,12126,44613,9867,227838,32840,165616,18547,135010,22231,147121,25618,114388,27036,134595,96255,141406,50020,125538,38448,170200,74584
"mdtD",183904,33803,114373,20189,144939,83998,225415,25442,135814,48181,71380,10322,139541,14246,86518,22929,444777,43996,175062,35688,149552,24316,163626,44779,133788,19670,77907,85206,298434,42721,109461,99551,262063,61250
"mepS",3255690,1060927,2503599,453202,3286931,934199,2788457,417283,1711919,1578383,90028,13300,4332357,706800,78080,15999,3145680,2386553,3981599,1241851,3153121,660462,3693386,1664449,3805478,1470657,2182738,1871823,7864225,2062959,2824246,1239086,2325131,1127536
"yfbL",1090197,33980,130846,25649,151258,27034,146361,21383,175066,35548,70237,11809,87887,22783,98764,29345,352733,81402,233858,28502,165715,23781,411689,109315,149581,47044,243996,115436,379590,148221,280318,71597,250463,103746
"emrK",220202,50729,144847,22986,183735,43049,160814,26320,170170,41589,93972,12015,119598,22603,139757,27445,321804,87184,380362,64281,195088,26097,263699,41235,179242,40563,159418,63308,296957,82038,212328,72977,236134,79968
"yegL",188675,64658,126800,54086,216502,92904,120701,41935,190543,80439,125096,16456,116173,59964,264593,82229,322926,88360,168542,28880,141353,27802,441773,147440,92225,31566,143713,72160,561079,202222,761131,331173,868910,395564
"yeiP",534854,319553,360538,35015,1129572,215808,830672,76840,1248444,486445,57283,8367,33370,9814,54221,12297,1772474,531304,445545,162623,577154,94404,686667,171139,694355,229780,418762,340374,1669626,369895,822649,268297,504683,338846
"elaA",298723,62328,87555,16417,226490,29037,100645,21208,216379,49709,67363,9265,40847,9128,68077,26104,310163,117937,327179,53337,211217,46884,275554,38112,154366,68027,192826,53493,228065,69974,261699,46633,229208,109275
"dsdC",268596,44748,153673,44123,179357,25948,105620,21948,226378,54959,68771,9417,99884,32436,64510,11588,398535,46963,271580,50573,161465,27379,356181,42059,202213,75269,193131,54158,252668,71444,295131,89814,215046,69265
"hyfF",120078,24091,71395,17006,88370,21757,78673,28669,73615,18593,55569,9113,45398,18094,77714,27012,180220,78504,166584,26388,115429,22315,124665,31780,70773,22997,132598,74663,96819,40479,88832,33788,105420,61966
"pssA",1587232,742736,1384193,338123,1640113,1167164,1669307,612984,1944698,714990,858898,322070,1230201,764538,1264699,338039,1966585,886208,1539318,533720,1379321,598228,1876818,610972,1046550,1028915,836338,675217,1855859,862904,1168307,404658,580469,831075
"yqaA",1276873,384143,552277,128278,918329,366959,680595,270022,778505,256167,794544,209856,866331,448178,824025,219020,1636761,626090,845484,199501,742924,256022,1292338,295846,598238,464429,541365,299663,1831680,985274,1431757,655548,1041995,1061844
"yqcA",1509983,104656,1071907,93170,1056254,84469,922563,95415,1275243,115702,857106,52178,597617,103913,983034,91288,2597165,205229,1801846,99326,1667173,108099,2001543,174559,1368363,197875,329422,119320,404089,176530,389110,133619,393652,226373
"hyfB",114764,26227,94388,17330,90135,19584,82033,15102,95360,32706,54035,16232,78071,21105,65117,19778,162314,38855,142085,22007,112248,17545,144328,26268,118315,25953,117323,80202,171499,44587,100598,54378,167490,56277
"yfiF",268782,75633,153933,27274,230111,80934,168055,52118,303157,70516,80073,15143,239408,114000,175851,54065,530612,151550,309699,73974,273586,51492,322968,120426,279714,75561,195563,127783,538621,138568,343441,139035,415802,227941
"emrA",221859,43272,141180,21585,154607,24412,80432,26536,147984,34104,65681,15870,135318,31778,108278,21123,298505,83228,206637,40571,163766,23423,216936,38531,137730,46217,147617,68450,203019,66471,166611,52830,167191,68565
"rlmD",976442,126467,337873,76809,775370,207841,528222,115838,567722,230154,69805,11315,691281,110128,112428,22147,1592991,381416,861764,263518,798181,183452,1326543,305143,695875,367223,669622,306973,1252938,487140,794619,479689,1129162,459195
