"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"betI",257728,130709,179520,74349,216375,66133,126750,130139,213323,69579,81497,37406,66658,65426,129561,69308,351860,232938,173353,131563,159950,105841,181972,90633,89468,102467,125441,110933,157006,138436,158083,98387,123573,134715
"bolA",704946,357649,506849,358206,515139,247221,327379,386489,480543,145079,139892,99045,152664,200811,234991,65716,476239,348749,827679,309615,530802,699803,481783,324028,215764,370737,346360,145206,273927,434185,425599,175286,173049,347301
"sfmC",90807,27160,57336,24187,59669,27984,60025,16854,69875,22644,45150,14340,31025,16082,42215,11680,128127,30458,115768,42907,76244,20786,79862,40875,52902,24436,38973,36419,72837,38340,38600,25664,84385,41450
"rlpA",425013,176923,325935,163003,444849,220033,308713,289079,390120,460063,551448,96784,791391,225915,253885,169735,877796,312587,333269,278049,328041,284719,405060,532938,418724,317948,155205,224010,692198,236473,415371,414335,229450,145474
"tolB",4579885,3822026,4346976,3861288,3145680,2796336,3418602,4346345,4641309,3784760,3787312,1785269,4460587,3817440,4062951,1656894,4544172,4206879,4114583,4181746,4215046,4368515,3966078,3690096,2522943,4542296,1677734,1462154,4125824,4542147,4053479,3658445,1410303,1695611
"cyoB",3059540,1026674,1532905,1852067,1822710,719457,1426315,2425745,2590344,787486,855041,799144,1194821,1741013,2079326,582948,2794006,2530401,2524383,2422576,2877862,2506384,3894642,3145123,1893931,3833872,789106,376598,1511325,2243619,2906063,1049998,417054,798054
"ybcI",484419,225704,543089,415738,459610,412140,286008,249705,660243,446215,136495,54924,639129,288410,106227,103004,1372226,856059,743062,891407,1175266,1116817,314013,263864,574640,892875,1540841,1669889,2655759,1600095,1414386,1407575,2909695,2195865
"ybeF",150363,80466,119439,50410,97174,60673,105398,78902,112102,54924,335688,141164,111841,79594,107536,71129,841087,586655,134618,84559,103535,61696,143490,103874,89660,72516,198777,242024,333717,242041,148183,146244,285873,291860
"ybgC",408052,323231,579166,172492,634872,825675,937894,475849,611902,404997,340715,129743,571715,329505,359336,239146,770004,438648,421536,224249,322575,254414,456975,626061,459347,220958,133496,227963,826341,247207,384769,321859,268725,213378
"yajR",133391,37037,106696,28283,87904,62385,99441,38247,122833,80200,554415,163571,113187,31751,62254,45644,234732,52778,131632,60722,88861,37230,102646,102591,101189,39490,65809,41999,220165,67812,77287,97812,106454,43450
"purE",257556,222858,453174,107683,551115,52836,103661,437294,678248,315556,390104,142075,723632,425044,331004,200869,774371,345212,166410,301950,491981,47926,449685,904240,588432,169141,168612,227014,888385,276089,595467,330290,296242,242291
"mngB",210829,56917,177935,81342,164630,77751,141397,71737,204051,96081,71643,18366,109270,33873,85732,23076,249001,92002,187618,52032,140256,54738,183080,122500,105919,69139,91337,39878,145692,61050,129719,77725,101409,49750
"thiI",317211,278038,551726,73853,681858,349762,623076,285617,920754,579456,541301,161780,737089,350407,289418,138419,419285,138116,301936,224614,260778,190080,295039,319605,424697,152917,122968,231472,554864,167243,233093,221813,170455,125440
"dcuC",140941,52453,107015,41202,91725,24096,86819,35477,105973,67488,73644,23015,90352,50114,204149,100004,189298,100359,170937,95523,138105,110745,99428,56401,80821,74879,63832,51397,108555,82706,84275,56827,71586,51334
"sucC",4478069,3251900,4279925,2704581,4236473,2105495,3952697,3138883,4516298,3197234,2457269,1075662,3263651,2450466,2806514,727815,4544203,4270981,4250597,2463157,4037571,4101049,3724513,3819653,3627899,3039547,2394187,1938035,5010287,4437141,4979401,1795155,893516,1724127
"yajO",3323283,2385997,2187562,1546500,3294349,1735739,1981604,3349414,3516329,3440319,1885431,774906,2894137,1632149,1411218,944229,4494287,3959550,2716311,3945666,3986754,4187562,4172801,3902880,2197421,3336286,1424646,2433811,4980606,4069077,3010086,3906679,1918056,1763938
"allE",184662,111244,187689,64990,164181,66655,118296,120947,214888,90190,391883,58828,102204,77141,107153,20955,224290,135275,211010,68434,148328,113129,155081,93270,101281,82926,90872,83788,108687,94873,109008,48020,84496,52983
"citD",123449,41523,88921,27524,74815,27031,43493,26419,67480,33618,35692,13121,53536,18779,43061,16784,138446,63831,116611,53188,104104,53172,106174,66763,80176,46255,65554,63235,128868,70914,80056,65378,111320,73060
"sdhB",2218770,628458,1101729,1010560,1913299,632629,861147,1292102,1573760,317390,286434,319533,317217,601342,983474,168552,1053746,1575528,1768052,1330087,1822876,1722518,2517109,1404884,1006186,1812625,694721,297055,820167,1105784,1419759,210253,157530,509540
