"","0","7200","14400","21600","28800","0 | 1","7200 | 1","14400 | 1","21600 | 1","28800 | 1","0 | 2","7200 | 2","14400 | 2","21600 | 2","28800 | 2"
"gcvB",1712.07160931373,3416.93751421195,2075.211853521,1791.23933574468,2414.05503279634,857.896700035475,1649.42981996607,1281.39658019325,2181.5437933271,1475.28449869185,1584.73029074293,1590.92138316751,1743.99514674895,1941.5601262605,2352.35996965895
"mazG",561.896812479698,555.160777549856,540.744926483495,526.228679718025,525.547800013589,631.406032890941,634.101791233189,497.431137166754,486.623610872132,482.134486018425,696.152035813729,594.649586025351,566.065992748555,521.83280617504,542.169853350778
"norV",18.5514891471604,27.006541859849,18.5854679356357,22.5810174959297,25.0570391947349,35.2814684147162,39.9682706953326,35.7974339480586,35.6863302121265,37.4446894106814,17.0750438102667,19.6321781821877,17.5928229063436,16.0640712813975,22.6513679766628
"cobC",288.274470174754,263.364950609629,246.878853847838,246.388361723334,279.169406591971,289.704986148447,239.876307341707,245.827937817896,242.935519835972,231.39730503607,311.171419413216,271.045894024056,268.938841070043,257.359189069561,254.882490564107
"katG",1331.35417356925,1755.23870630781,2242.37919694254,2406.09271461237,2633.45464979483,1827.1056208746,2102.84510482496,2504.85076989409,2471.04938755772,2547.94404534543,1445.88809159317,2069.9954769143,2086.66976030529,2292.70056391158,2125.73082662763
"yiaW",28.2531067922105,30.2713733574119,33.1108509635285,22.6347926896636,24.0405217333351,46.4272044011597,36.3102172516876,33.725112883346,37.5781266759426,28.7964698126256,25.7432460670027,19.3203318459678,28.7215851724565,20.9768553363752,22.0982516018385
"lipA",2399.96405005895,3094.91291508365,2795.79080542302,2665.80049549687,2850.31065172039,5112.54630693784,6954.28872438128,6948.41920233093,7386.80547134686,6855.04812993899,4854.44954592395,6748.21456179433,6499.5263009174,7084.68380190653,7004.44617819784
"yraI",21.2077431702021,30.6063012796068,21.3912499126105,22.5518284268427,32.3194861356667,20.6623909456104,21.5976932814213,23.4486432174906,28.0811645583252,19.6110392181486,27.4064806488134,19.8335626885326,21.2695753077117,18.6160555406102,31.4253359580667
"asr",45.8618429686123,51.5184643330788,54.2569797429951,51.7196284909441,60.9342187936601,67.6373172937415,94.4384537983817,71.344724095502,99.1846548385739,68.2327163435377,55.7056985499188,62.4488630883005,62.4034789305644,61.521855178238,67.4630820381876
"yeaE",275.101507285615,227.533101574121,214.691971980777,201.951070883844,189.51204528286,152.261070577771,138.671730035057,167.190924896073,153.946958991412,162.674387218654,223.546391380909,208.169161763021,233.589371544082,193.811196818378,189.121062025113
"mlaD",2165.77613283547,2093.08830036863,2165.25061090505,2185.93618643415,2077.78234579871,2304.29402620042,2092.63486722846,2139.20227576376,2144.58007583417,2413.17952262675,2496.98171267982,2448.27016173398,2326.28927123875,2419.60053590975,2404.55564937574
"cueO",263.360878665796,297.300607704706,312.046334991334,303.936634715204,372.635496035718,302.299511411271,259.772414963957,341.690702751373,419.911271465672,335.108034367181,257.803894566079,298.712582598357,338.703952920191,348.832806096086,371.870914697787
"dnaE",581.035203736853,752.119212998279,769.081275959949,669.718389179015,529.151147690257,897.035333726772,826.403527999162,771.711924911649,780.076388667233,862.568278625522,630.322463786331,704.26457609403,636.516607024464,695.274140598573,642.49583063814
"cbl",140.59614143995,407.38836179838,446.114514418302,270.493288685229,177.943918845284,107.939907135714,120.016878965217,112.505387685185,127.129286503955,174.048958880098,147.62391653721,164.499484762363,219.924562219604,132.304894997258,126.633392752427
"yeiR",665.787298673194,569.881894156646,579.848946575801,623.461130829642,572.295216888736,987.977088212375,958.977057170427,1189.79519356848,1124.17552860134,1248.65985207507,701.354299550052,959.517006646431,970.723847873523,1105.86587231557,1151.06989995733
"yiiS",414.370600630777,365.998337742596,290.981203861012,293.36310261623,340.339488483292,173.876387257023,226.963163110008,131.126937168369,160.012440769018,173.227065582207,455.186843795536,291.636190635516,290.060776920945,262.68245473558,278.006251917438
"hcaD",85.279197683061,97.0569254293827,102.633204183266,100.146629784484,86.0479132055556,100.178571884189,117.471031576261,108.666093806007,96.5286153983844,103.692064396069,84.3574003479984,90.8204603255204,101.614652937844,90.6519604445044,95.8270649851574
"sucD",1194.87929397628,1194.1784218377,1419.88160289562,1625.43867351337,2019.88835784733,1985.80364250369,1846.01739217464,1984.6061857169,1893.60377245427,2228.89011857946,1381.74623869174,1584.97297919239,1637.11874142465,1837.12462179573,1715.31995617377
"rbsR",266.184724741408,241.670581054993,272.055028439977,263.683052003345,268.710131721502,279.452207069782,265.961482069326,222.577863926823,206.024003803111,193.938937230209,299.450444373655,261.939990826774,286.798405708516,242.071621291967,277.2060958653
"tynA",72.2202044329043,51.0496587115765,55.7160868309066,56.7790828756191,54.6314875380024,50.6216166877215,56.7790828756191,59.5831187824065,65.6027655381422,63.080330070567,71.5396168255532,56.2304617947038,55.7618322243637,71.7666955406445,92.5249917644417
"rsmG",1762.47336509838,1789.30723141892,1729.89925976676,1688.83280196808,1515.30959763034,785.446668919018,855.953230301563,704.888361570745,789.277250771343,871.200027277076,1453.46178024635,1265.49947184201,1300.58136277627,1174.95964361489,1131.93401125806
"yicR",179.960296403962,188.956524473323,162.086536153394,149.888451334861,145.75604480581,137.832101514261,156.058829697542,137.077946635583,152.868629362595,130.69298737947,218.684130762613,144.013956213458,166.33888600432,173.916414182587,187.719188295247
"gcl",57.5436121411766,46.4818208507452,52.3606713857705,56.5710755430943,57.7466887786854,65.908557256158,55.1276853863038,62.6557389898028,56.8491499130977,49.8795591100881,73.6320364633621,55.2101682668774,55.5523402843998,53.9873748514113,46.242952813009
"infB",8399.00865740308,7307.76628761552,8025.09402416461,7986.16613992208,7791.2382145444,5716.86703265765,6197.38903682053,6336.4710795421,6265.66612349666,6533.80407991808,7213.77724829652,7419.80234354152,7495.80148207856,7359.85149017437,7299.87745525516
"ilvN",782.967099983483,739.332806291865,635.971682603611,614.012215741735,512.024202388062,305.001201349584,269.713582719945,236.417839079831,199.800816279631,184.662123278709,307.498245791807,229.666139582587,237.914977564223,202.670991361754,192.822788984177
"dut",3364.11264799426,3173.03931171388,3219.31468396981,3060.55686869049,2972.84067320296,3928.84397423279,3426.36454855713,3563.11993445479,3503.66533000408,3840.02274254747,3596.02531072578,3586.93413812163,3439.75231569196,3721.4270495365,3450.76649963137
"nlpE",435.666139385517,460.225393181154,407.191738022362,421.669646190323,392.100077287152,587.055028226388,561.610583838959,486.747975087462,554.396869177175,524.519021005491,535.125830047424,536.102114804509,519.610583906531,507.749171416785,498.002185707254
"ilvC",987.302890018479,1033.33602684547,758.255429972066,651.446613699966,516.685758919173,268.59893588667,269.081756379082,277.59947610669,239.09577689657,202.831059390231,309.67321690251,298.790021512593,257.917983095293,235.784181577784,232.863954368631
