"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"torS",161.767502117907,220.035882320453,248.908553887262,241.647624115124,281.496075739528,317.388929997211,220.925784978341,284.109842131286,277.748440311751,225.133665971063,199.507199658117,208.771215116579,221.156065440341,160.049903854521,168.679051020435,164.497631339439,128.013664046492,206.700346931669,186.669317029535,212.280641001827,229.945156613054,299.036131380882,336.190465615649,387.178491455522,276.05597171525,314.542248727833,377.039535790077,185.13668697307,202.229688692599,235.414439052394,248.204936670131,256.562232061476,242.139897129134,184.249258108206,254.592833614063,308.774114112314
"glnG",2147.96980872234,1886.05365047044,1125.57618963847,909.858256253256,823.863775679299,746.353347565195,775.927474175485,785.384872540034,799.257740063507,558.410786770245,556.963509659074,541.145222696956,752.969177645592,626.160199752189,654.799767804725,658.904239906664,673.870238346971,671.643098983437,2161.54926127235,1929.06093434803,1532.23832842224,1594.08959255272,1197.87030604054,1178.46892386961,1352.48323913897,890.251406706427,583.525138930942,904.567906036014,862.331039293751,860.98840581302,1027.35210015598,993.584598244994,559.168003693813,709.072826876059,402.956138302867,308.926752298592
"rcnA",322.05136578073,325.85176517758,260.701848124511,252.451773100637,272.236556922087,222.067275738134,267.752456343353,232.219932433414,232.559811984573,311.497764631253,231.678763905315,298.406055083443,268.976999221558,248.172078717787,312.205901928385,299.436856970119,332.163329552094,294.549440017701,375.477591486056,314.301206509028,289.516748481387,267.170702001125,288.77579273733,256.394588085976,295.787443596037,297.19849501524,348.345230500245,445.934188199218,333.306813666652,386.856043041174,424.891301956493,437.245582978471,379.306425222671,506.807828753318,363.955183146976,368.131655085458
"ucpA",3522.02882209715,3438.76068026312,3341.7613674,4155.58249261847,4359.8778485663,4680.0719688307,4239.15793082756,5757.23345826452,5697.30134199885,5543.52142913949,5872.13328768839,5952.78882345764,5309.55044819052,4783.86512560503,4935.85740208152,5301.06310673314,5358.99219675447,5439.79285511441,2488.66443694799,2438.85285110873,2317.10547168951,2840.71621608614,3639.81648994979,3628.79036630455,3138.02906600988,4191.04413811657,4447.25988888768,2842.4652568902,3135.29613595311,3151.14625332891,3104.95146108463,3167.78125278917,3963.87018408243,3149.2662111796,3127.69257523699,3487.68251088309
"hemF",2381.64554375916,2333.14782171616,2099.88994056482,2768.34493839099,2700.50780007492,2658.72896728773,2807.35929276938,2435.40332464364,2472.98024551158,1792.10940669123,1902.09026952324,1961.10219169011,2319.798851285,2260.59839726585,2230.21951081518,1652.49592641867,1879.87497458635,1966.4175753616,2363.95359501441,2487.47963668976,2464.02127952163,4146.17702594477,3311.49967200911,3287.46085392616,3103.78734546775,2652.93571173371,2781.66313143394,2195.78791520684,2449.19682051885,2539.35256840362,2930.07727897438,2778.22359769183,2748.15374041346,2375.11227828696,2189.99521151585,2412.58992175978
"lsrA",246.791517829315,261.997820475122,347.372804267573,561.166470194878,652.970950466729,639.318042864607,408.922319806892,540.852729010538,662.609923633678,656.955117389269,683.960879765759,595.382909787844,760.087658831288,799.701065567329,693.537460656374,621.346407083584,573.427784713961,625.961449602527,258.292152221256,255.75754664219,217.276750757672,446.352593993099,426.955529398102,565.763384457642,432.475321551088,507.085777245384,454.100558212258,372.210256464819,459.505398215294,503.812811942955,592.13692040373,572.546477052443,568.06728093393,496.930402737462,715.233747576865,904.725923507123
"hypF",349.18093962379,341.528697934966,344.590232894106,403.761628391768,464.332032450627,447.130143830287,338.564523955671,476.090819722649,493.513589029647,450.920409406135,457.539662265857,486.613319566228,422.274699285536,453.539376052999,486.284568382588,414.278459846122,500.636268376129,522.820173607003,361.351732227814,345.717302655253,312.484105770525,402.261819086162,315.552228098707,436.595061106711,365.525691141171,398.3666322297,465.841706939459,330.026943244777,383.789651228913,425.462155238881,412.708402259703,401.109965540753,472.314821977696,358.45171884783,522.59807491028,1262.63505893568
"lgoR",289.711270509049,391.673849964834,406.311672329598,641.261507486992,973.03844691514,910.622944223575,630.290016032098,1512.33286829,2175.29296713459,2046.78804986731,3509.91651396324,3596.79445199896,2984.86506793966,2638.21422144916,2587.78312724631,4098.94239590374,4085.39823385849,3869.16355637806,350.30238490332,253.034799492192,231.907071135764,415.583049033944,520.679212585087,531.273521159533,375.900233155369,529.380777706148,521.79452632533,309.7881179919,411.100124901509,447.817159391809,481.163701183841,566.04109996098,553.102096389929,342.212346315047,667.994771352967,733.845221593007
"tqsA",433.298670578737,430.123456610762,522.457545703878,553.123182755592,524.428398020903,453.734012550323,565.247932564913,572.505205206513,575.83074112055,557.365154402971,770.92836484486,747.414633477706,529.116280933869,568.596339081417,641.152172611776,584.352864142681,786.539276824821,672.824299403973,446.691192875166,431.716373495472,551.442251256158,929.928509762359,909.80780439729,937.581309514222,967.032120381778,920.809558962439,945.038962219792,1145.40016415494,1054.56623853697,1012.48512685676,1245.95996732612,954.655896139943,1026.8921825203,1541.67505567406,979.921926857414,826.08418397008
"rclC",11.8036324680559,12.6795883217411,13.4615907731397,12.4342449524915,11.9435681324736,11.3349254706859,13.9064280748764,14.4528990385105,11.7600476445904,12.2125367631248,13.7752824960738,11.9435681324736,13.2994806140513,10.4588911479869,15.5721473919037,15.2572389380905,9.49821227983855,10.8163587290762,11.8636414790509,10.1543078557799,11.7869128371899,10.4384239695586,12.1485312642062,10.1389334988103,10.4484714875151,13.0488883314924,12.9583039674256,10.6205972988573,12.0546094033675,11.7101934179361,10.4182134820996,11.7569749517423,11.2569259202171,12.478918485642,12.5175559606742,10.3269262275921
"nusG",8939.56551979319,8994.38547502573,7798.93817955475,7389.25397121563,7002.84771784745,6717.40826897442,6779.79530050761,6116.73474939277,6080.16179750193,6808.73467719619,5810.33648793909,5424.40055401087,5944.90071262943,5719.78815795447,5804.23010530133,5530.81741185056,5522.5964707833,5760.23517933996,9054.20339165906,8727.04184882262,8848.25961083064,6991.11572020886,6794.85476761967,6808.37600804487,6219.37546387231,6590.32546710884,7483.44058264145,6848.01905126337,6567.78870957148,6606.46132370937,6454.87302073634,6578.16280962282,7080.46306075556,6305.37299274402,6328.31193712817,6249.53875167285
"astC",396.374955462587,300.767526669067,334.019379788509,408.459152427027,297.551792782436,256.561520720911,424.486246354043,175.43952489931,226.224441869557,287.922555088098,207.772513412264,177.530734689304,278.192362034661,285.008077996373,246.243869946998,266.247837979519,260.397538363427,272.317521260078,549.816350389599,432.827693659488,438.754770063498,287.113030919407,224.40826477623,190.552272049794,368.588436330732,248.694018748352,241.931028224902,468.900497654981,336.742499110276,274.351185570121,300.380427277859,232.82690943213,300.970233777795,320.527871141019,365.993445096152,534.033709143214
"cmtA",167.091206437836,202.322646034796,224.55390490258,177.10093272195,215.126732399152,212.724442295324,195.874393858585,184.482223975332,178.058562052751,195.195096343163,186.840448093601,185.733983861338,204.584636753358,224.076104861794,172.805940111901,177.459992204068,193.070107105131,270.830423184014,192.866397649738,272.635005228423,195.369574598472,189.896170268554,192.62084144086,180.345548118557,157.41235832923,161.293780621385,158.637166063868,169.420072293676,175.743314724677,187.358029817605,172.902389877975,186.449355509437,268.739764956178,183.594496196206,495.840395308559,756.823984705587
"torY",411.431658727246,585.573314903834,442.031079558786,232.781887840472,283.867131251403,256.2561822105,284.577146900934,181.23402209282,210.26326365023,205.614614414895,242.540355100374,205.435116110381,275.858954212089,303.962386555724,266.189711409927,317.971576842938,264.986306812303,274.552074115489,550.243352205683,700.121256996329,529.321703856677,230.204783215113,224.407953680534,197.684233243542,221.78838443291,211.32241616573,206.322593073833,246.500369678435,221.428175734847,202.11701943967,346.740609141667,307.45042694253,238.608065494355,372.024287469362,398.004518668498,518.798320877088
"omrB",2938.15542609509,3368.01301948655,3641.45928704691,1942.38436687559,2622.48717112404,2317.09262296413,2668.30709451604,1890.98735407589,1439.6296445348,1704.78962148342,1312.34743607168,1612.38773632756,2090.42707471906,2318.9339289916,1755.0397606468,1531.87302103941,1399.94069796402,1524.53124173037,4429.96013267578,3915.39460890524,4342.92101710835,7419.14900367255,9428.28726136792,7308.1777075405,5665.70197380738,4979.99645508154,4831.24064455924,4021.20452365692,3314.75608782975,2918.47905671154,2499.04471461024,2373.16385590108,1975.30264954413,3306.14205752213,2661.11658190079,2057.32357093676
"yjeJ",572.169585128317,665.508369729031,695.344928721391,452.124096607805,486.966932779927,530.893990272324,489.39854431727,440.400714717563,478.106761983043,604.815373103957,503.467555247705,521.189785715205,486.657507171578,557.386789643645,521.641919514977,487.191786153959,543.158332643046,586.203999123778,683.118948353165,684.762553810749,653.296907377743,575.620435149451,565.821426714377,560.701453707638,571.696243333094,535.313416134725,628.225633381073,612.738630673484,559.115682068941,577.807852394262,686.38727661886,647.365647209577,598.025834728447,566.36998459539,553.817180724121,723.607223655373
"ompN",179.804834301645,209.400633988099,191.706972574781,146.055006322666,156.900593576001,168.814966101439,176.451881086703,127.174093460603,126.730854284476,184.726623788265,155.791855088523,179.459563873318,101.401557381588,145.359545142409,142.644271482698,133.572943939305,178.047577941226,208.059593287591,195.912277291262,217.445041423352,190.671446155504,200.582926555223,196.67080487245,191.212761304634,169.227591522234,169.354557324949,180.101202045638,186.089649086787,173.416696835987,154.293235215673,163.105995067653,142.265496621905,180.193230153877,157.133284577767,332.758336547666,431.863626152363
"speB",1450.55069345822,1714.49739866902,1998.9823243173,1705.68319819908,1744.69120577831,1509.86620796247,1496.12811017999,1974.44162589067,2088.01013602817,2307.5576883664,2214.61008820859,1953.04977152621,1823.26809900785,2153.38565049157,2192.27793785825,1932.96526834658,2090.04023455647,1639.71003837162,2033.78999245472,1712.40115690456,1832.3711015908,1807.73438607258,1650.89311218557,1724.9705308888,1568.89925609192,1817.86581979193,1950.72811591806,1380.3084702033,1457.53013835929,1649.14895851948,1885.1949415223,1867.21455924517,1934.88217428767,1727.07377966107,1238.02522954789,649.400641705903
"glgA",8139.13069823975,8730.44211900716,10314.8984676199,7874.76415030842,7340.52228256329,7551.65426278698,7552.58080981484,7229.89009043321,7929.16372446421,6977.28959915312,8726.83618101474,8534.96191330723,8834.23809376648,8741.53547475574,9122.81913627679,8984.1792689141,8986.34665107477,8871.35646651924,6541.11561895981,8082.34937061885,10124.2190012995,7094.94605624378,6699.87748904877,7648.18656184318,7699.41970198555,7609.79566354039,7032.15424539892,8116.83178636497,8217.98510327705,8824.19526240159,7781.02769861873,8005.08496458439,7960.62506666227,7762.41580555793,7766.57604388697,8752.65506004948
"hslR",3989.8533368225,4399.23818837278,5470.28013310349,2970.60897794845,2968.94983164922,2936.33529280781,3498.77457542697,2705.66029500233,2807.15887086654,2826.12193938886,2885.98882867831,2729.24841741438,3042.72872389313,2799.27789398097,2758.01578779228,2868.31151077343,2947.15658743859,3017.87011449276,4436.52997309235,3985.27620420072,4967.0136632329,9957.01784220791,8075.8533636213,9729.04174870285,11291.2688749214,10658.7526880076,8807.18344019225,11519.184783985,10219.9605011318,10455.6490376657,12113.5239447931,11047.3674437834,9329.06642435266,12384.7403337515,9701.78168353986,8396.63756084726
"kdpA",121.928197793304,121.768148546295,132.303920249645,134.293903273505,145.255300536359,156.376617832825,118.067738650221,134.527471351822,154.316337696009,164.908162528601,141.424082383565,151.812102801603,165.122853822587,236.400782385216,145.43785329719,122.187932600824,138.150981341539,186.0105965356,148.904856742364,170.534520907797,122.043445061456,126.994657874501,117.094621507002,141.972628197847,143.785561314119,145.477174448547,154.042112183557,139.179604242689,182.486129395688,166.459223251745,141.61212639738,159.701826208538,223.020110713029,184.800775412552,221.377992705046,325.062652630056
